en,hi,confidence
shrouds have no pockets,कफ़न में जेब नहीं होती,8
shy bairns get noot,मुँह में ज़ुबान है तो माँग ले,7
shy bairns get nowt,मुँह में ज़ुबान है तो माँग ले,8
silence is consent,चुप्पी भी सहमति मानी जाती है,6
silence is golden,बोलने से पहले सौ बार सोचो,5
sit crooked and talk straight,"टेढ़ी बैठ, सीधी बात कर",10
slow and steady wins the race,"धीमी गति से ही सही, पर जीत उसी की होती है जो लगातार चलता है",5
slow but sure,"धीमी गति से सही, पर पक्की",4
small rain lays great dust,चिंगारी से आग भड़कती है,6
snake in the grass,घास में छुपा साँप,7
"softly, softly, catchee monkey","धीरे-धीरे रे मना, धीरे सब कुछ होय",7
some are more equal than others,कानून सबके लिए बराबर नहीं होता,3
some days you eat the bear and some days the bear eats you,"कभी दिन तुम्हारा, कभी जमाने का",6
"some days you get the bear, other days the bear gets you","कभी दिन तुम्हारा, कभी जमाने का",6
something is better than nothing,कुछ न होने से कुछ होना अच्छा,9
sometimes you eat the bear and sometimes the bear eats you,"कभी दिन तुम्हारा, कभी जमाने का",6
sow the wind and reap the whirlwind,जैसी करनी वैसी भरनी,9
"sow the wind, reap the whirlwind",जैसी करनी वैसी भरनी,9
spare the rod and spoil the child,"लाठी की मार, गुरु का प्यार",7
spare the rod and you will spoil the child,"लाठी की मार, गुरु का प्यार",7
"spare the rod, spoil the child","लाठी की मार, गुरु का प्यार",7
speak as you find,जैसा देखा वैसा कहना,5
speak of the devil and he appears,"जिसका नाम लो, हाज़िर",8
speak of the devil and he shall/is sure/will appear,"जिसका नाम लो, हाज़िर",8
speech is silver but) silence is golden,"कम बोलो, ज़्यादा सुनो",4
"speech is silver, but silence is golden","कम बोलो, ज़्यादा सुनो",4
"speech is silver, silence is gold","कम बोलो, ज़्यादा सुनो",4
"speech is silver, silence is golden","कम बोलो, ज़्यादा सुनो",4
squeaky wheels get oiled,रोता बच्चा ही दूध पीता है,9
start from where you are,जैसा देश वैसा भेष,3
sticks in a bundle are unbreakable,एकता में बल है,10
sticks in a bundle can't be broken,एकता में बल है,10
sticks in a bundle cannot be broken,एकता में बल है,10
still water runs deep,खामोश दरिया गहरा होता है,7
still waters run deep,खामोश दरिया गहरा होता है,7
strike while the iron is hot,लोहे को गरम हो तो ही पीटना चाहिए,10
stupid is as stupid does,कर्म ही इंसान की औकात बताते हैं,4
"success depends on your backbone, not your wishbone",मेहनत का फल मीठा होता है,7
"success has many fathers, failure is an orphan","सफलता के सौ बाप, असफलता अनाथ",8
"success has many fathers, while failure is an orphan","सफलता के सौ बाप, असफलता अनाथ",8
sunlight is the best disinfectant,"धूप में लाओ, सच सामने आ जाएगा",4
take care of the pence and the pounds will take care of themselves,बूंद-बूंद से घड़ा भरता है,9
take care of the pennies and the pounds will take care of themselves,बूंद-बूंद से घड़ा भरता है,9
"take care of the pennies, and the pounds will take care of themselves",बूंद-बूंद से घड़ा भरता है,9
take the cash and let the credit go,नौ नगद न तेरह उधार,10
takes one to know one,चोर-चोर मौसेरे भाई,8
talk is cheap,"कहने से कुछ नहीं होता, करने से होता है",6
"talk of the devil, and he is bound to appear","जिसका नाम लो, वही हाज़िर",9
tall oaks from little acorns grow,बड़ी-बड़ी बातें छोटी शुरुआत से होती हैं,5
teamwork makes the dream work,एक और एक ग्यारह होते हैं,8
"tell me who your friends are, and i'll tell you who you are",जैसे संग वैसे रंग,10
tell the truth and shame the devil,सच्चाई के आगे शैतान भी हार जाता है,5
tempus fugit,समय पंख लगाकर उड़ जाता है,6
that which doesn't kill you makes you stronger,जो नहीं मारता वह मजबूत बनाता है,4
that's how the cookie crumbles,जैसा भाग्य वैसा फल,4
that's the way it goes,"जैसा चलता है, वैसा ही चलता रहेगा",3
that's the way life is,ज़िंदगी ऐसी ही है,5
that's the way the ball bounces,जैसा भाग्य वैसा फल,4
that's the way the cookie crumbles,जैसा भाग्य वैसा फल,4
that's the way the mop flops,जैसा भाग्य वैसा फल,3
the apple does not fall far from the stem,जैसा बाप वैसा बेटा,9
the apple does not fall far from the tree,जैसा बाप वैसा बेटा,10
the apple does not fall far from the trunk,जैसा बाप वैसा बेटा,9
the apple does not fall/never falls far from the tree,जैसा बाप वैसा बेटा,10
the apple doesn't fall far from the tree,जैसा बाप वैसा बेटा,10
the apple never falls far from the tree,जैसा बाप वैसा बेटा,10
the apples on the other side of the wall are the sweetest,दूर के ढोल सुहावने,10
the bad penny always comes back,बुरा हमेशा लौटकर आता है,4
the bad penny always turns up,बुरा हमेशा लौटकर आता है,4
the best defence is attack,आक्रमण ही सर्वोत्तम रक्षा है,8
the best defense is a good offense,आक्रमण ही सर्वोत्तम रक्षा है,8
the best is the enemy of the good,अति सर्वत्र वर्ज्या,5
the best laid plans of mice and men go oft astray,मनुष्य सोचता कुछ है होता कुछ और है,4
the best laid plans of mice and men often go awry,मनुष्य सोचता कुछ है होता कुछ और है,4
the best things in life are free,ज़िंदगी की सबसे कीमती चीज़ें मुफ़्त मिलती हैं,6
the best things in life aren't things,ज़िंदगी की सबसे कीमती चीज़ें वस्तुएँ नहीं होतीं,5
the best-laid schemes of mice and men often go awry,मनुष्य सोचता कुछ है होता कुछ और है,4
the better is the enemy of the good,अति सर्वत्र वर्ज्या,5
"the bigger they are, the harder they fall","जितना ऊँचा चढ़ो, गिरोगे उतना ज़ोर से",4
"the bigger they come, the harder they fall","जितना ऊँचा चढ़ो, गिरोगे उतना ज़ोर से",4
the boy is father to the man,चाल चलन बचपन से ही दिख जाता है,4
the bread never falls but on its buttered side,मुसीबत कभी अकेली नहीं आती,6
the burnt child dreads the fire,दूध का जला छाछ भी फूँक-फूँक कर पीता है,10
the burnt child fears the fire,दूध का जला छाछ भी फूँक-फूँक कर पीता है,10
the candle that burns twice as bright burns half as long,जो जल्दी चमकता है वो जल्दी बुझ जाता है,5
the captain goes down with the ship,सच्चा सरदार अपनी टोली के साथ डूबता है,3
the cat would eat fish but would not wet her feet,मुंह में राम बगल में छुरी,3
the chickens come home to roost,जैसा करोगे वैसा भरोगे,9
the child is the father of the man,चाल चलन बचपन से ही दिख जाता है,4
the cobbler always wears the worst shoes,मोची के घर में ही जूते फटे होते हैं,4
the cobbler's children are the worst shod,मोची के घर में ही जूते फटे होते हैं,4
the cobbler's children go barefoot,मोची के घर में ही जूते फटे होते हैं,4
the course of true love never did run smooth,सच्चे प्यार की राहें आसान नहीं होतीं,6
the cow knows not the worth of its tail till it loses it,जब तक चीज़ हाथ में रहती है उसकी क़दर नहीं होती,4
the cowl does not make the monk,चोला बदलने से चित्त नहीं बदलता,7
the customer is always right,ग्राहक भगवान होता है,10
the darkest hour is always just before the dawn,सुबह होने से पहले सबसे ज़्यादा अँधेरा होता है,7
the darkest hour is just before the dawn,सुबह होने से पहले सबसे ज़्यादा अँधेरा होता है,7
the darkest place is under the candlestick,दीया तले अँधेरा,10
the devil finds work for idle hands,खाली दिमाग शैतान का घर,10
the devil finds work for idle hands to do,खाली दिमाग शैतान का घर,10
the devil makes work for idle hands,खाली दिमाग शैतान का घर,10
the devil that you know is better than the devil that you don't know,"जाना दुश्मन बेहतर, अनजाने से",6
the devil we know is better than the devil we don't,"जाना दुश्मन बेहतर, अनजाने से",6
the devil we know is better than the devil we don't know,"जाना दुश्मन बेहतर, अनजाने से",6
the devil you know,जाना दुश्मन,5
the devil you know is better than the devil you don't,"जाना दुश्मन बेहतर, अनजाने से",6
the devil you know is better than the devil you don't know,"जाना दुश्मन बेहतर, अनजाने से",6
the die is cast,अब पछताए क्या होत जब चिड़िया चुग गई खेत,6
"the dogs bark, but the caravan goes on","कुत्ते भौंकते रहते हैं, हाथी चलता रहता है",9
"the dogs bark, but the caravan moves on","कुत्ते भौंकते रहते हैं, हाथी चलता रहता है",9
the early bird catches the worm,"जो सोवत है सो खोवत है, जो जागत है सो पावत है",9
the early bird gets the worm,"जो सोवत है सो खोवत है, जो जागत है सो पावत है",9
the enemy of my enemy is my friend,दुश्मन का दुश्मन दोस्त,9
the female of the species is more deadly than the male,नारी की नाराज़गी से बचो,3
the fewer the better fare,कम में ही सुख है,3
the first step is always the hardest,शुरुआत हमेशा कठिन होती है,5
the fish rots from the head,जैसा राजा वैसी प्रजा,8
the forbidden fruit tastes the sweetest,निषिद्ध फल ही मीठा लगता है,4
the fox may grow grey but never good,चोर की दाढ़ी में तिनका,3
the game is not worth the candle,"न नौ मन तेल होगा, न राधा नाचेगी",6
the good die young,अच्छों की उम्र कम होती है,4
the grass is always greener,दूर के ढोल सुहावने,10
the grass is always greener (on the other side,दूर के ढोल सुहावने,9
the grass is always greener on the other side,दूर के ढोल सुहावने,10
the grass is always greener on the other side of the fence,दूर के ढोल सुहावने,10
the grass is always greener on the other side of the road,दूर के ढोल सुहावने,9
the hand that rocks the cradle is the hand that rules the world,हाथ जो पालना झुलाता है वही दुनिया चलाता है,6
the hand that rocks the cradle rules the world,हाथ जो पालना झुलाता है वही दुनिया चलाता है,6
the heart wants what it wants,दिल तो बच्चा है जी,6
the heart wants what the heart wants,दिल तो बच्चा है जी,6
the hit dog hollers,चोर की दाढ़ी में तिनका,8
the innocent seldom find an uncomfortable pillow,चोर की नींद हराम होती है,7
the jug goes to the well until it breaks,"चोर चोर मौसेरे भाई, अंत में पकड़े जाएँ",3
the laborer is worthy of his hire,मज़दूर की मज़दूरी पसीना सूखने से पहले देनी चाहिए,8
the labourer is worthy of his hire,मज़दूर की मज़दूरी पसीना सूखने से पहले देनी चाहिए,8
the last drop makes the cup run over,बूँद बूँद से घड़ा भरता है,4
the left hand doesn't know what the right hand is doing,दाएँ हाथ को पता नहीं बाएँ हाथ क्या कर रहा है,5
the leopard does not change his spots,चोर चोर ही रहता है,7
the longest day must have an end,हर रात के बाद सवेरा होता है,8
the longest journey starts with a single step,हज़ार मील की यात्रा भी पहले क़दम से शुरू होती है,9
the lord helps those that help themselves,भगवान उसी की मदद करता है जो अपनी मदद खुद करता है,9
the lord helps those who help themselves,भगवान उसी की मदद करता है जो अपनी मदद खुद करता है,10
the lord works in mysterious ways,ईश्वर की लीला न्यारी,8
the love of money is the root of all evil,धन का लोभ सर्वनाश का कारण है,6
the mills of the gods grind slowly,भगवान के घर देर है अंधेर नहीं,10
the more the merrier,जितने लोग उतनी रौनक,7
"the more things change, the more they stay the same",जैसा था वैसा ही है,4
"the more you know, the higher you go",विद्या ही शक्ति है,7
the nail that sticks out gets hammered down,सीधी उंगली से घी नहीं निकलता,5
the nail that sticks up gets hammered down,सीधी उंगली से घी नहीं निकलता,5
the nut does not fall far from the tree,जैसा बाप वैसा बेटा,9
the only disability in life is a bad attitude,"मन के हारे हार है, मन के जीते जीत",8
the only way to find a friend is to be one,जैसा संग वैसा रंग,6
the pen is mightier than the sword,कलम की ताकत तलवार से ज़्यादा होती है,9
the perfect is the enemy of the good,अति सर्वत्र वर्ज्या,6
the pitcher goes so often to the well that it is broken at last,चोर की दाढ़ी में तिनका,2
the poor we will always have with us,दुनिया दुखियों से खाली नहीं,5
the pot calling the kettle black,ऊँट दूसरे ऊँट को कहे तेरी गर्दन टेढ़ी,9
the proof is in the eating,खाने से ही पता चलता है,7
the proof is in the pudding,खाने से ही पता चलता है,7
the proof of the pudding is in the eating,खाने से ही पता चलता है,8
the rich get richer,अमीर अमीर होता जाता है,7
the rich get richer and the poor get poorer,"अमीर और अमीर, गरीब और गरीब होता जाता है",8
the road to hell is paved with good intentions,नरक का रास्ता अच्छे इरादों से भी बनता है,4
the shoemaker always wears the worst shoes,मोची के घर ही जूते फटे,6
the shoemaker's children go barefoot,मोची के घर ही जूते फटे,8
the shoemaker's son always goes barefoot,मोची के घर ही जूते फटे,8
the sky is the limit,आसमान ही सीमा है,7
the sky's the limit,आसमान ही सीमा है,7
the spirit is strong but the flesh is weak,मन तो करता है पर तन साथ नहीं देता,7
"the spirit is strong, but the flesh is weak",मन तो करता है पर तन साथ नहीं देता,7
the spirit is willing but the flesh is weak,मन तो करता है पर तन साथ नहीं देता,8
"the spirit is willing, but the flesh is weak",मन तो करता है पर तन साथ नहीं देता,8
the squeaky wheel gets the grease,रोता बच्चा ही दूध पीता है,9
the squeaky wheel gets the oil,रोता बच्चा ही दूध पीता है,9
the streets are paved with gold,परदेस की सड़कें सोने की लगती हैं,6
the strong do what they can and the weak suffer what they must,जिसकी लाठी उसकी भैंस,9
"the strong do what they can, the weak suffer what they must",जिसकी लाठी उसकी भैंस,9
the tongue wounds more than a lance,जुबान का घाव तलवार से गहरा होता है,8
the truth is effortless,सच्चाई अपने आप बोलती है,8
the truth will set you free,"सच की राह पर चलो, मुक्ति मिलेगी",6
the victor gets the spoils,जिसकी लाठी उसकी भैंस,9
"the voice of the people, the voice of god",जनता की आवाज ही भगवान की आवाज है,7
the way to a man's heart is through his stomach,पेट का रास्ता दिल से होकर जाता है,6
the wheel turns,समय एक सा नहीं रहता,8
the whistle does not pull the train,ढोल की पोल खोलने से काम नहीं चलता,3
the whistle doesn't pull the train,"कहने से नहीं, करने से होता है",5
the winner takes it all,जीतने वाला ही बाज़ी मारता है,6
the wolf may lose his teeth but never his nature,चोर की दाढ़ी में तिनका,3
the work praises the man,कर्म ही इंसान की पहचान है,8
the world is someone's oyster,दुनिया उसके लिए खुली किताब है,4
the) truth will out,सच्चाई छुप नहीं सकती,10
them that has gets,"अमीर और अमीर, गरीब और गरीब",9
"them that has, gets","जिसके पास है, उसी के पास और आता है",8
"them that has, gets more",धनवान के धन में ही बढ़ोतरी होती है,7
them what has gets,अमीर की झोली हमेशा भरी रहती है,6
"them what has, gets","जिसके पास है, उसी को और मिलता है",8
"them what has, gets more",अमीर के घर और बरसात,7
there ain't no such thing as a free lunch,"मुफ़्त का चंदन, घिस मेरे नंदन",8
there are always more fish in the sea,समंदर में मछलियों की कमी नहीं,7
there are bad apples in every orchard,हर जगह कुछ काले भेड़ होते हैं,9
there are many ways to skin a cat,एक काम के कई तरीके होते हैं,6
there are more ways of killing a cat than choking it with cream,नदी पार करने के कई घाट होते हैं,6
there are no atheists in foxholes,डूबते को भगवान ही याद आता है,9
there are none so blind as those who will not see,"जिसे देखना ही नहीं, उसे क्या दिखाना",8
there are none so deaf as those who will not hear,"जिसे सुनना ही नहीं, उसे क्या सुनाना",8
there are plenty more fish in the sea,समंदर में मछलियों की कमी नहीं,9
there are plenty more pebbles on the beach,समंदर में मोतियों की कमी नहीं,5
there are plenty of fish in the sea,समंदर में मछलियों की कमी नहीं,9
there are plenty of pebbles on the beach,दुनिया में किसी की कमी नहीं,6
there are two sides to every question,हर बात के दो पहलू होते हैं,10
there are two sides to every story,हर कहानी के दो पहलू होते हैं,10
there but for the grace of god go i,ऊपरवाले की मेहर न होती तो मेरा भी यही हाल होता,6
there is a lid for every pot,हर मटके का ढक्कन होता है,5
there is a place and time for everything,हर काम का एक समय और जगह होती है,9
there is a time and a place for everything,हर काम का एक समय और जगह होती है,10
there is a time and place for everything,हर बात की एक जगह और एक समय होता है,8
there is an exception to every rule,हर नियम के कुछ अपवाद होते हैं,7
there is honour among thieves,चोरों में भी कुछ उसूल होते हैं,8
there is many a good tune played on an old fiddle,पुराना चावल ज़्यादा फूलता है,6
there is more than one way to skin a cat,एक से भले दो,5
there is no accounting for tastes,रुचि–रुचि में फर्क होता है,7
there is no fool like an old fool,बूढ़ा शेर पिंजरे में ही अच्छा,4
there is no honor among thieves,चोरों में भी कुछ उसूल होते हैं,6
there is no i in team,एक और एक ग्यारह होते हैं,6
there is no place like home,घर जैसा सुख कहीं नहीं,9
there is no shame in not knowing; the shame lies in not finding out,पूछने में किसी की माँ नहीं मरती,8
"there is no smoke without fire/where there is smoke, there is fire",बिना आग के धुआँ नहीं उठता,10
there is no such thing as a free lunch,मुफ़्त की दाल भी हज़म नहीं होती,7
there is no time like the present,आज का काम कल पर मत टालो,10
there is nothing new under the sun,सूरज के नीचे कुछ नया नहीं,5
there is one born every minute,दुनिया में कमी किस चीज़ की नहीं,3
there is safety in numbers,संगठन में शक्ति है,9
there is strength in numbers,एकता में बल है,10
there's a first time for everything,हर काम की एक पहली बार होती है,8
there's a lid for every pot,ढाक के तीन पात,2
there's a place and time for everything,हर बात की एक जगह और एक समय होता है,9
there's a rotten apple in every barrel,हर जगह कुछ काले भेड़िए होते हैं,7
there's a sucker born every minute,दुनिया में कमी किस चीज़ की नहीं,4
there's a time and a place for everything,हर बात की एक जगह और एक समय होता है,9
there's a time and place for everything,हर बात की एक जगह और एक समय होता है,9
there's always a bigger fish,पर्वत के ऊपर भी पर्वत होता है,6
there's many a good tune played on an old fiddle,पुराना चावल ज़्यादा फूलता है,6
there's many a slip 'twixt the cup and the lip,हाथों की लकीरें भी धोखा दे जाती हैं,5
there's many a slip between the cup and the lip,हाथों की लकीरें भी धोखा दे जाती हैं,5
there's many a slip twixt cup and lip,हाथों की लकीरें भी धोखा दे जाती हैं,5
there's many a slip twixt the cup and the lip,हाथों की लकीरें भी धोखा दे जाती हैं,5
there's more than one way to cook an egg,एक से भले दो,5
there's more than one way to crack an egg,एक से भले दो,5
there's more than one way to feed a cat,एक ही काम के कई तरीके होते हैं,7
there's more than one way to fuck a cat,एक ही काम के कई तरीके होते हैं,5
there's more than one way to peel an orange,एक ही काम के कई तरीके होते हैं,7
there's more than one way to skin a cat,एक ही काम के कई तरीके होते हैं,8
there's no accounting for taste,जिसकी जो पसंद उसकी वही सुंदर,6
there's no fool like an old fool,बूढ़ा बुढ़ापा और बच्चा बचपना नहीं छोड़ता,5
there's no i in team,एक और एक ग्यारह होते हैं,7
there's no need to wear a hair shirt,बेकार का रोना रोने से क्या फायदा,4
there's no place like home,घर जैसा सुख कहीं नहीं,9
there's no point crying over spilt milk,अब पछताए होत क्या जब चिड़िया चुग गई खेत,10
there's no smoke without fire,बिना आग के धुआँ नहीं उठता,10
there's no time like the present,आज का काम आज ही करो,10
there's no use crying over spilt milk,अब पछताए होत क्या जब चिड़िया चुग गई खेत,10
there's none so blind as those who will not see,जिसे जागना ही न हो उसे कैसे जगाएँ,6
there's nowt so queer as folk,न जाने कैसे कैसे लोग,3
there's one born every minute,दुनिया में मूर्खों की कमी नहीं,7
they hate us 'cause they ain't us,निंदक वही जिसके पास न हो,3
they that sow the wind shall reap the whirlwind,जैसी करनी वैसी भरनी,10
they'll do it every time,आदत से मजबूर,5
third time is a charm,तीसरी बार किस्मत खुलती है,4
third time pays for all,तीसरी बार किस्मत खुलती है,4
third time's a charm,तीसरी बार किस्मत खुलती है,4
third time's the charm,तीसरी बार किस्मत खुलती है,4
this too shall pass,यह वक्त भी गुजर जाएगा,8
this too shall pass away,यह वक्त भी गुजर जाएगा,8
those that have get,जिसके पास धन है धन उसी के पास आता है,6
those that have get more,जिसके पास धन है धन उसी के पास आता है,7
"those that have, get",जिसके पास धन है धन उसी के पास आता है,6
"those that have, get more",जिसके पास धन है धन उसी के पास आता है,7
those who do not learn from history are doomed to repeat it,इतिहास से न सीखने वाले वही गलती दोहराते हैं,6
those who have get,जिसके पास धन है धन उसी के पास आता है,6
those who have get more,जिसके पास धन है धन उसी के पास आता है,7
"those who have, get",जिसके पास धन है धन उसी के पास आता है,6
"those who have, get more",जिसके पास धन है धन उसी के पास आता है,7
those who know many languages live as many lives as the languages they know,जितनी भाषाएँ जानो उतनी दुनिया जानो,4
those who live in glass houses should not throw stones,जिसके घर काँच के हों वह दूसरों पर पत्थर नहीं फेंकता,8
those who live in glass houses shouldn't throw stones,जिसके घर काँच के हों वह दूसरों पर पत्थर नहीं फेंकता,8
those who say it cannot be done should not interrupt those doing it,जो काम न कर सकें वे करने वालों का रास्ता न रोकें,5
those who sleep with dogs will rise with fleas,संगत का असर पड़ता है,9
"those who will not when they may, when they will they shall have nay",लोहे को गरम देख तभी चोट करनी चाहिए,7
three times a charm,तीसरी बार किस्मत खुलती है,5
"throw dirt enough, and some will stick",बार‑बार बदनामी करो तो दाग लग ही जाता है,6
throw enough mud at the wall and some of it will stick,झूठ को सौ बार बोलो तो सच लगने लगता है,8
"throw enough mud at the wall, some of it will stick",झूठ को सौ बार बोलो तो सच लगने लगता है,8
tide nor time tarrieth no man,समय और ज्वार किसी के लिए नहीं रुकते,6
time and tide,समय और ज्वार किसी के लिए नहीं रुकते,5
time and tide stay for no man,समय और ज्वार किसी के लिए नहीं रुकते,7
time and tide tarry for no man,समय और ज्वार किसी के लिए नहीं रुकते,7
time and tide wait for no man,समय और ज्वार किसी के लिए नहीं रुकते,8
time flies,समय पंख लगाकर उड़ जाता है,8
time flies when you're having fun,मौज‑मस्ती में समय कब निकल जाता है पता ही नहीं चलता,8
time heals,समय बड़ा मरहम है,8
time heals all hurts,समय हर घाव भर देता है,9
time heals all sorrows,समय हर दुख को हल्का कर देता है,8
time heals all things,समय हर घाव भर देता है,8
time heals all wounds,समय हर घाव भर देता है,9
time heals every wound,समय हर घाव भर देता है,9
time is a great healer,समय सबसे बड़ा वैद्य है,8
time is a great healer of all wounds,समय सबसे बड़ा वैद्य है,8
time is money,समय ही धन है,10
time is the great healer,समय सबसे बड़ा वैद्य है,8
time is wasted without purpose,बिना उद्देश्य के समय बरबाद हो जाता है,6
timing is everything,समय ही सब कुछ है,7
"to a hammer, everything looks like a nail",जिसके पास सिर्फ हथौड़ा हो उसे हर चीज कील दिखती है,5
to each his own,जैसी जिसकी रुचि वैसा उसका सुख,7
to each their own,जैसी जिसकी रुचि वैसा उसका सुख,7
to err is human,भूल करना इंसान की फितरत है,7
"to err is human, to forgive divine","भूल करना इंसानियत है, माफ़ करना ख़ुदाई है",8
"to err is human; to forgive, divine","भूल करना इंसानियत है, माफ़ करना ख़ुदाई है",8
to the victor go the spoils,जिसकी लाठी उसकी भैंस,8
to the victor the spoils,जिसकी लाठी उसकी भैंस,8
to thine own self be true,अपने आप से सच्चे रहो,6
to travel hopefully is a better thing than to arrive,यात्रा ही मंज़िल है,6
tomorrow is another day,कल फिर सूरज निकलेगा,8
tomorrow never comes,"कल करे सो आज कर, आज करे सो अब",10
"too little, too late",अब पछताए क्या होत जब चिड़िया चुग गई खेत,9
too many chefs spoil the broth,रसोइया ज़्यादा तो खाना ख़राब,8
too many cooks spoil the broth,रसोइया ज़्यादा तो खाना ख़राब,10
too many cooks spoil the soup,रसोइया ज़्यादा तो खाना ख़राब,9
too many cooks spoil the stew,रसोइया ज़्यादा तो खाना ख़राब,9
too many cooks spoils the broth,रसोइया ज़्यादा तो खाना ख़राब,10
too much bed makes a dull head,ज़्यादा आराम हराम है,9
too much pudding will choke a dog,अति सर्वत्र वर्ज्या,8
too much rain makes a flood,अति सर्वत्र वर्ज्या,8
too much water drowned the miller,अति सर्वत्र वर्ज्या,8
"trust every man, but cut the cards",विश्वास करो पर जांचकर,7
"trust everybody, but always cut the cards",विश्वास करो पर जांचकर,7
"trust everybody, but always cut the deck",विश्वास करो पर जांचकर,7
"trust everybody, but cut the cards",विश्वास करो पर जांचकर,7
"trust everybody, but cut the deck",विश्वास करो पर जांचकर,7
"trust your friends, but cut the cards",दोस्त पर भी भरोसा हो तो भी परख लो,6
"trust, but verify",विश्वास करो पर जांचकर,9
truth is stranger than fiction,सच कल्पना से भी अजीब होता है,6
truth will out,सच्चाई छुपाए नहीं छुपती,10
turnabout is fair play,जैसी करनी वैसी भरनी,9
two birds with one stone,एक तीर से दो निशाने,10
two can play at that game,जैसे को तैसा,9
two can play that game,जैसे को तैसा,9
two heads are better than one,एक से भले दो,10
"two is company, but three is a crowd",दोस्ती में तीसरा फ़ालतू,6
two wrongs do not make a right,दो ग़लतियाँ मिलकर सही नहीं बनतीं,7
two wrongs don't make a right,दो ग़लतियाँ मिलकर सही नहीं बनतीं,7
two's company and three is none,दोस्ती में तीसरा फ़ालतू,6
"two's company, three's a crowd",दोस्ती में तीसरा फ़ालतू,7
ugly is as ugly does,कर्म ही इंसान की असली पहचान है,6
underpromise and overdeliver,"कम बोलो, ज़्यादा करो",9
uneasy lies the head that wears a crown,"जितना ऊँचा पद, उतनी बड़ी चिंता",7
union is strength,एकता में बल है,10
union makes strength,एकता में बल है,10
united we bargain; divided we beg,"एकता में बल, फूट में विनाश",8
"united we stand, divided we fall","एकता में बल, फूट में विनाश",10
unity is strength,एकता में बल है,10
unity makes strength,एकता में बल है,10
"until the lions have their historians, tales of the hunt shall always glorify the hunter",इतिहास हमेशा विजेताओं के पक्ष में लिखा जाता है,7
up a creek without a paddle,"आसमान से गिरे, खजूर में अटके",5
use it or lose it,"जो चीज़ जितनी चलती है, उतनी ही चलती रहती है",4
variety is the spice of life,बदलाव ही जीवन का मसाला है,5
virtue is its own reward,नेकी कर दरिया में डाल,8
walk softly and carry a big stick,"धीमी बोली, कड़ा हाथ",4
walk softly but carry a big stick,"धीमी बोली, कड़ा हाथ",4
walls have ears,दीवारों के भी कान होते हैं,10
walnuts and pears you plant for your heirs,पेड़ वो लगाओ जिसकी छाँव अगली पीढ़ी को मिले,6
"waste not, want not",बूँद-बूँद से सागर भरता है,7
water finds its level,जैसा देश वैसा भेष,3
water finds its own level,जैसा देश वैसा भेष,3
water seeks its level,जैसा देश वैसा भेष,3
water seeks its own level,जैसा देश वैसा भेष,3
well begun is half done,अच्छी शुरुआत आधा काम पूरा,8
well done is better than well said,"कर्म बोलते हैं, वचन नहीं",8
what cannot be cured must be endured,"जिसका इलाज नहीं, उसका सब्र ही इलाज है",7
what comes around goes around,जैसा करोगे वैसा भरोगे,10
what does not kill me makes me stronger,"जो मारता नहीं, वो मज़बूत बनाता है",6
what doesn't kill you makes you stronger,"जो मारता नहीं, वो मज़बूत बनाता है",6
what go round come round,जैसा करोगे वैसा भरोगे,9
what goes around comes around,जैसा करोगे वैसा भरोगे,10
"what goes around, comes around",जैसा करोगे वैसा भरोगे,10
what goes round comes round,जैसा करोगे वैसा भरोगे,9
what goes up must come down,चढ़ते सूरज को सब सलाम करते हैं,4
what happens on the road stays on the road,"जो सफर में हुआ, सफर में ही रह गया",4
what has been seen cannot be unseen,देखा हुआ अनदेखा नहीं हो सकता,6
what is learnt in the cradle lasts to the tombs,"जैसी सीख बचपन में, वैसा साथ उम्र भर",4
what is sauce for the goose is sauce for the gander,"जो नियम एक के लिए, वही सबके लिए",6
"what the eye does not see, the heart does not grieve over","नज़र से दूर, दिल से दूर",8
"what the eye doesn't see, the heart doesn't grieve over","नज़र से दूर, दिल से दूर",9
what you gain on the swings you lose on the roundabouts,"जिधर से कमाया, उधर से गंवाया",4
what you lose on the swings you gain on the roundabouts,"इधर का घाटा, उधर का फायदा",6
what's bred in the bone will come out in the flesh,खून अपना रंग दिखाता है,7
what's done cannot be undone,"जो होना था हो गया, अब पछताए क्या होत है",8
what's done is done,जो होना था हो गया,8
what's good for the goose is good for the gander,"जो नियम एक के लिए, वही सबके लिए",8
what's old is new again,पुराना है पर आज भी नया लगता है,4
what's sauce for the goose is sauce for the gander,"जो नियम एक के लिए, वही सबके लिए",9
whatever floats your boat,जिसमें तुम्हारा मन लगे वही करो,5
"when all you have is a hammer, everything looks like a nail","जिसके हाथ में हथौड़ा हो, उसे हर चीज़ कील दिखती है",5
"when america sneezes, the world catches a cold",जब बड़ा हिलता है तो छोटे अपने आप हिलते हैं,3
"when i see a bird that walks like a duck and swims like a duck and quacks like a duck, i call that bird a duck","जैसा दिखता है, वैसा ही होता है",4
"when in doubt, do nowt",संदेह हो तो कदम रोक लो,4
