en,ja,confidence
money talks and bullshit walks,金の切れ目が縁の切れ目,5
"money talks, bullshit walks",金の切れ目が縁の切れ目,5
"move your feet, lose your seat",早い者勝ち,8
needs must,背に腹は代えられぬ,9
never give advice unless asked,聞くは一時の恥聞かぬは一生の恥,4
never let the truth get in the way of a good story,嘘も方便,8
never waste a crisis,ピンチはチャンス,10
"no names, no pack-drill",触らぬ神に祟りなし,6
no one ever went broke underestimating the intelligence of the american public,大衆は愚かである,4
no one ever went broke underestimating the taste of the american people,大衆は愚かである,3
no one ever went broke underestimating the taste of the american public,大衆は愚かである,3
nobody ever went broke underestimating the good taste of the american people,大衆は愚かである,3
nobody ever went broke underestimating the good taste of the american public,大衆は愚かである,3
nobody ever went broke underestimating the intelligence of the american people,大衆は愚かである,4
nobody ever went broke underestimating the intelligence of the american public,大衆は愚かである,4
nobody ever went broke underestimating the taste of the american people,大衆は愚かである,3
nobody ever went broke underestimating the taste of the american public,大衆は愚かである,3
old sins have long shadows,悪事千里を走る,7
"old soldiers never die, (they simply/just fade away)",老兵は死なずただ消え去るのみ,9
"once a man, twice a boy",一度大人二度子供,3
"once a man, twice a child",一度大人二度子供,4
"once a thief, always a thief",一度盗人は生涯盗人,6
"once a(n) _, always a(n",三つ子の魂百まで,8
once an adult and twice a child,一度大人二度子供,4
"once an adult, twice a child",一度大人二度子供,4
"once bitten, twice shy",羹に懲りて膾を吹く,10
"once burned, twice cautious",羹に懲りて膾を吹く,9
"once burned, twice shy",羹に懲りて膾を吹く,10
"once hurt, twice shy",羹に懲りて膾を吹く,9
"once on shore, we pray no more",喉元過ぎれば熱さを忘れる,10
one bad apple can spoil the barrel,一人の不心得が皆の迷惑,6
one bad apple can spoil the whole bunch,一人の不心得が皆の迷惑,6
one bad turn deserves another,やられたらやり返す,7
one can run but one can't hide,逃げるは一時の恥逃げぬは一生の恥,3
one can't break a stick in a bundle,三人寄れば文殊の知恵,4
one can't break a twig in a bundle,三人寄れば文殊の知恵,6
one can't break sticks in a bundle,三人寄れば文殊の知恵,6
one can't carry two watermelons under one arm,二兎を追う者は一兎をも得ず,10
one can't hold two watermelons in one hand,二兎を追う者は一兎をも得ず,10
one cannot break a stick in a bundle,三人寄れば文殊の知恵,6
one cannot break a twig in a bundle,三人寄れば文殊の知恵,6
one good turn deserves another,情けは人のためならず,9
one hair of a woman can draw more than a hundred pair of oxen,女心と秋の空,3
one half of the world does not know how the other half lives,隣の芝生は青い,4
one hand can't hold two watermelons,二兎を追う者は一兎をも得ず,10
one hand washes the other,持ちつ持たれつ,9
one kind word can warm three winter months,一言芳恩,5
one law for the rich and another for the poor,弱肉強食,6
one man's fish is another man's poison,蓼食う虫も好き好き,10
one man's fish is another man's poisson,蓼食う虫も好き好き,9
one man's loss is another man's gain,人の不幸は蜜の味,6
one man's meat is another man's poison,蓼食う虫も好き好き,10
out of sight is out of mind,去る者は日々に疎し,10
"out of sight, out of mind",去る者は日々に疎し,10
out of the frying pan and into the fire,弱り目に祟り目,7
out of the mouths of babes,小児の口に真理あり,3
out of the mouths of babes and sucklings,小児の口に真理あり,3
"outta sight, outta mind",去る者は日々に疎し,10
patience is a virtue,待てば海路の日和あり,9
pearls of wisdom,金言,8
penny wise and pound foolish,木を見て森を見ず,7
"penny, penny. makes many",塵も積もれば山となる,10
people that live in glass houses should not throw stones,人を呪わば穴二つ,7
people that live in glass houses shouldn't throw stones,人を呪わば穴二つ,7
"people who have, get",金持ち喧嘩せず,3
"people who have, get more",金は天下の回りもの,3
people who live in glass houses should not throw stones,人を呪わば穴二つ,7
people who live in glass houses shouldn't throw stones,人を呪わば穴二つ,7
perfect is the enemy of good,過ぎたるは及ばざるが如し,8
put one's hand to the plough,腹をくくる,7
put your best foot forward,全力を尽くす,9
put your money where your mouth is,言うは易く行うは難し,6
putting the cart before the horse,本末転倒,10
rain does not fall on one roof alone,禍は一人に来ず,5
"ready, fire, aim",見切り発車,9
"red sky at night shepherd's delight; red sky in the morning, shepherd's warning",夕焼けは晴れ,8
"red sky at night, sailors' delight; red sky at morn, sailors forlorn",夕焼けは晴れ,8
"red sky at night, sailors' delight; red sky at morning, sailors take warning",夕焼けは晴れ,8
"red sky at night, sailors' delight; red sky in the morn, sailors forlorn",夕焼けは晴れ,8
"red sky at night, shepherds' delight; red sky at morning, shepherds' warning",夕焼けは晴れ,8
"red sky at night, shepherds' delight; red sky in the morning, shepherds' warning",夕焼けは晴れ,8
render unto caesar the things which are caesar's,朱に交われば赤くなる,2
"repetition, repetition, repetition",習うより慣れろ,6
"respect is not given, it is earned",信頼は築くもの,6
revenge is a dish best served cold,仇討ちは忘れた頃にやれ,4
revenge is sweet,仇討ちは蜜の味,7
rome wasn't burned in a day,ローマは一日にして成らず,10
sex sells,エロは金になる,3
small rain lays great dust,小さな雨も積もれば大水,2
"sticks and stones may break my bones, but words will never hurt me",口は災いの元,3
"talk of angels, and hear the flutter of their wings",噂をすれば影,10
talk softly and carry a big stick,飴と鞭を使い分ける,6
tell its own story,物語るものがある,4
that which has been seen cannot be unseen,一度見たものは忘れられない,3
the apple does not fall far from the stem,蛙の子は蛙,10
the apple does not fall far from the tree,蛙の子は蛙,10
the apple does not fall far from the trunk,蛙の子は蛙,10
the apple does not fall/never falls far from the tree,蛙の子は蛙,10
the apple doesn't fall far from the tree,蛙の子は蛙,10
the apple never falls far from the tree,蛙の子は蛙,10
the apples on the other side of the wall are the sweetest,隣の芝生は青い,10
the bad penny always comes back,悪銭身につかず,4
the bad penny always turns up,憎まれっ子世にはばかる,6
the best condiments are authentic flavors,素材の味を生かす,3
the best defence is attack,攻撃は最大の防御,10
the best defense is a good offense,攻撃は最大の防御,10
the best is the enemy of the good,完璧を求めて善を失うな,3
the best laid plans of mice and men go oft astray,計画どおりにはいかないものだ,4
the best laid plans of mice and men often go awry,思いどおりにはいかないものだ,4
the best things in life are free,金で買えない大切なものがある,5
the best things in life aren't things,金で買えない大切なものがある,5
the best-laid schemes of mice and men often go awry,算盤づくはうまくいかぬ,4
the better is the enemy of the good,完璧を求めて善を失うな,3
"the bigger they are, the harder they fall",高ければ高いほど落ちるときは痛い,4
"the bigger they come, the harder they fall",大木倒れれば大きな音,4
the boy is father to the man,三つ子の魂百まで,9
the bread never falls but on its buttered side,弱り目に祟り目,6
the burnt child dreads the fire,羹に懲りて膾を吹く,10
the burnt child fears the fire,羹に懲りて膾を吹く,10
the candle that burns twice as bright burns half as long,盛者必衰,6
the captain goes down with the ship,船頭は最後まで船を守る,4
the cat would eat fish but would not wet her feet,虎穴に入らずんば虎子を得ず,9
the chickens come home to roost,自業自得,9
the child is the father of the man,三つ子の魂百まで,10
the cobbler always wears the worst shoes,紺屋の白袴,10
the cobbler's children are the worst shod,紺屋の白袴,10
the cobbler's children go barefoot,紺屋の白袴,10
the course of true love never did run smooth,恋路は険しい,9
the cow knows not the worth of its tail till it loses it,失って初めて有り難さが分かる,9
the cowl does not make the monk,見かけによらぬもの,8
the customer is always right,お客様は神様です,10
the darkest hour is always just before the dawn,明けない夜はない,10
the darkest hour is just before the dawn,明けない夜はない,10
the devil looks after his own,憎まれっ子世にはばかる,8
the devil takes care of his own,憎まれっ子世にはばかる,8
the dose makes the poison,過ぎたるは及ばざるが如し,9
the fox may grow grey but never good,三つ子の魂百まで,7
the grass is always greener (on the other side,隣の芝生は青い,10
the grass is always greener on the other side,隣の芝生は青い,10
the grass is always greener on the other side of the fence,隣の芝生は青い,10
the grass is always greener on the other side of the road,隣の芝生は青い,10
the hand that rocks the cradle is the hand that rules the world,三つ子の魂百まで,4
the hand that rocks the cradle rules the world,三つ子の魂百まで,4
the heart wants what it wants,恋は盲目,7
the heart wants what the heart wants,恋は盲目,7
the highest branch is not the safest roost,高きに登れば危うし,6
the hit dog hollers,図星をさされると腹が立つ,7
the house always wins,胴元が一番儲かる,8
the innocent seldom find an uncomfortable pillow,後ろ暗いところのない者はよく眠れる,4
the jug goes to the well until it breaks,釈迦も石の上にも三年,2
the laborer is worthy of his hire,働かざる者食うべからず,4
the labourer is worthy of his hire,働かざる者食うべからず,4
the last drop makes the cup run over,堪忍袋の緒が切れる,7
the left hand doesn't know what the right hand is doing,右手のすることを左手が知らず,5
the leopard does not change his spots,三つ子の魂百まで,8
the light is on but nobody is home,頭はあるが知恵がない,5
the longest day must have an end,明けない夜はない,9
the longest journey starts with a single step,千里の道も一歩から,10
the lord helps those that help themselves,天は自ら助くる者を助く,10
the lord helps those who help themselves,天は自ら助くる者を助く,10
the love of money is the root of all evil,金は天下の回りもの,4
the map is not the territory,机上の空論,6
the mill cannot grind with water that is past,覆水盆に返らず,9
the mills of the gods grind slowly,天網恢恢疎にして漏らさず,9
the moon is made of green cheese,絵に描いた餅,5
the more the merrier,大勢いれば賑やか,6
"the more things change, the more they stay the same",歴史は繰り返す,7
"the more you know, the higher you go",知識は力なり,6
the whistle does not pull the train,笛吹けど踊らず,4
the whistle doesn't pull the train,笛吹けど踊らず,4
there is nothing more permanent than a temporary solution,仮のものほど長持ちする,3
time and tide,歳月人を待たず,9
to travel hopefully is a better thing than to arrive,旅は道連れ世は情け,4
tomorrow is another day,明日は明日の風が吹く,10
tomorrow never comes,明日ありと思う心の仇桜,8
"too little, too late",後の祭り,9
too many chefs spoil the broth,船頭多くして船山に登る,10
too many cooks spoil the broth,船頭多くして船山に登る,10
too many cooks spoil the soup,船頭多くして船山に登る,10
too many cooks spoil the stew,船頭多くして船山に登る,10
too many cooks spoils the broth,船頭多くして船山に登る,10
too much bed makes a dull head,過ぎたるは及ばざるが如し,7
too much pudding will choke a dog,過ぎたるは及ばざるが如し,8
too much rain makes a flood,過ぎたるは及ばざるが如し,8
too much water drowned the miller,過ぎたるは及ばざるが如し,8
"trust every man, but cut the cards",信頼しても用心せよ,6
"trust everybody, but always cut the cards",信頼しても用心せよ,6
"trust everybody, but always cut the deck",信頼しても用心せよ,6
"trust everybody, but cut the cards",信頼しても用心せよ,6
"trust everybody, but cut the deck",信頼しても用心せよ,6
"trust your friends, but cut the cards",信頼しても用心せよ,6
"trust, but verify",信頼しても用心せよ,8
truth is stranger than fiction,事実は小説より奇なり,10
truth will out,嘘つきは泥棒の始まり,5
turn your face toward the sun and the shadows fall behind you,笑う門には福来たる,5
turnabout is fair play,やられたらやり返す,6
two birds with one stone,一石二鳥,10
two can play at that game,売り言葉に買い言葉,7
two can play that game,売り言葉に買い言葉,7
two heads are better than one,三人寄れば文殊の知恵,10
"two is company, but three is a crowd",二人連れに三人目は邪魔,7
two wrongs do not make a right,悪事は悪事をもって正せない,6
two wrongs don't make a right,悪事は悪事をもって正せない,6
two's company and three is none,二人連れに三人目は邪魔,7
"two's company, three's a crowd",二人連れに三人目は邪魔,7
wanton kittens make sober cats,若気の至り,6
watched toast never burns,見ている鍋は煮えない,8
what the eye does not see,見ぬが仏,9
"when you have seen one, you have seen them all",どんぐりの背比べ,6
where there is a will,意志あるところに道は開ける,9
why buy the cow when you can get the milk for free,ただより高いものはない,6
you can't be half pregnant,中途半端はよくない,5
you can't fix stupid,馬鹿は死ななきゃ治らない,9
"you can't live with 'em, you can't live without 'em",男と女は持ちつ持たれつ,5
"you can't live with them, you can't live without them",男と女は持ちつ持たれつ,5
you can't polish shit,腐っても鯛,2
you don't dip your pen in company ink,公私混同するな,6
you don't dip your pen in the company's ink,公私混同するな,6
you don't fish off the company pier,公私混同するな,6
you don't get your nookie where you get your cookies,公私混同するな,5
a bad excuse is better than none,"",1
a bad penny always comes back,"",1
a bad penny always turns up,"",1
a bad tree does not yield good apples,"",1
a bad workman always blames his tools,"",1
a bad workman blames his tools,"",1
a barking dog never bites,"",1
a barking dog seldom bites,"",1
a bird in the hand,"",1
a bird in the hand is worth two in the bush,"",1
a broken clock is right twice a day,"",1
a buck is a buck,"",1
a buck is a buck is a buck,"",1
a buck's a buck,"",1
a burnt child dreads the fire,"",1
a camel is a horse designed by a committee,"",1
a camel is a horse made by a committee,"",1
a camel is a horse made by committee,"",1
a cat can look at a king,"",1
a cat in gloves catches no mice,"",1
a cat may look at a king,"",1
a chain is as strong as its weakest link,"",1
a chain is no stronger than its weakest link,"",1
a chain is only as strong as its weakest link,"",1
a change is as good as a rest,"",1
a closed mouth catches no flies,"",1
a closed mouth doesn't get fed,"",1
a closed mouth gathers no feet,"",1
a contented mind is a perpetual feast,"",1
a creaking door hangs long on its hinges,"",1
a creaking door hangs longest,"",1
a danger foreseen is half avoided,"",1
a dog is a man's best friend,"",1
a drowning man will clutch at a straw,"",1
a drowning man will grab at a straw,"",1
a drowning man will grab at straws,"",1
a drowning man will grasp at a straw,"",1
a drowning man will grasp at straws,"",1
a dumb priest never got a parish,"",1
a fair booty makes many a thief,"",1
a fault confessed is half redressed,"",1
a fool and his money are soon parted,"",1
a foolish consistency is the hobgoblin of little minds,"",1
a friend in need,"",1
a friend in need is a friend indeed,"",1
a friend to everyone is a friend to no one,"",1
a golden key can open any door,"",1
a good beginning makes a good ending,"",1
a good conscience is a soft pillow,"",1
a good deed is its own reward,"",1
a healthy body is a healthy mind,"",1
a hit dog hollers,"",1
a hit dog will holler,"",1
a house divided against itself cannot stand,"",1
a house is not a home,"",1
a hungry man is an angry man,"",1
a journey of a thousand miles begins with a single step,"",1
a language is a dialect with an army and navy,"",1
a leopard cannot change its spots,"",1
a leopard does not change its spots,"",1
a lie can run around the world before the truth can get its boots on,"",1
a lie has no legs,"",1
a little knowledge is a dangerous thing,"",1
a little learning is a dangerous thing,"",1
a man can do what he wills but he cannot will what he wills,"",1
a man is known by the company he keeps,"",1
a man's home is his castle,"",1
a mill cannot grind with the water that is past,"",1
a mind is a terrible thing to waste,"",1
a miss is as good as a mile,"",1
"a moment on the lips, a lifetime on the hips","",1
a new broom sweeps clean,"",1
"a new broom sweeps clean, but an old broom knows all the corners","",1
"a new broom sweeps clean, but an old broom knows the corners","",1
"a new broom sweeps clean, but the old broom knows the corners","",1
a new language is a new life,"",1
a nod is as good as a wink,"",1
a nod is as good as a wink to a blind horse,"",1
a penny saved is a penny earned,"",1
a penny saved is a penny gained,"",1
a picture is worth a thousand words,"",1
a picture paints a thousand words,"",1
a problem shared is a problem halved,"",1
a promise is a promise,"",1
a promise made is a promise kept,"",1
a prophet has no honor in his own country,"",1
a prophet is not without honor save in his own country,"",1
a revolution is not a dinner party,"",1
a rising tide lifts all boats,"",1
a rolling stone gathers no moss,"",1
"a ship in a harbour is safe, but that's not what a ship is for","",1
a smooth sea never made a skilled sailor,"",1
a sorrow shared is a sorrow halved,"",1
a spoonful of sugar helps the medicine go down,"",1
a spoonful of sugar makes the medicine go down,"",1
a stick in a bundle cannot be broken,"",1
a stick in a bundle is unbreakable,"",1
a stitch in time,"",1
a stitch in time saves nine,"",1
a stopped clock is right twice a day,"",1
a straw shows how the wind blows,"",1
a straw shows which way the wind blows,"",1
a sucker is born every minute,"",1
a trouble shared is a trouble halved,"",1
a twig in a bundle cannot be broken,"",1
a twig in a bundle is unbreakable,"",1
a watched kettle never boils,"",1
a watched man never plays,"",1
a watched pot never boils,"",1
a watched pot never boils over,"",1
a watched pot/kettle never boils,"",1
a wild goose never laid a tame egg,"",1
a woman's work is never done,"",1
a worry shared is a worry halved,"",1
a) swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,"",1
absence makes the heart go yonder,"",1
absence makes the heart grow fonder,"",1
absolute power corrupts absolutely,"",1
accidents will happen,"",1
accidents will happen in the best regulated families,"",1
"all animals are equal, but some animals are more equal than others",弱い者いじめ,4
all politics are local,政治は生活なり,5
all politics is local,政治は生活なり,5
all that glitters,光るもの必ずしも金ならず,9
another day in paradise,"",1
another happy landing,"",1
any hole's a goal,"",1
ask my companion if i be a thief,"",1
bad facts make bad law,下手な考え休むに似たり,3
"beer before liquor, never been sicker; liquor before beer, you're in the clear","",1
being poor is a mindset,"",1
being poor is a state of mind,"",1
better dead than red,"",1
better to reign in hell than serve in heaven,地獄の沙汰も金次第,3
"bi now, gay later","",1
bis dat qui cito dat,善は急げ,9
buy the same horse twice,二度同じ川の水を飲む,2
caveat lector,本を信ずるなかれ,2
claret would be port if it could,"",1
"claw me, claw thee",やられたらやり返す,6
common sense is neither common nor sensical,常識は非常識,6
comparison is the thief of joy,隣の芝生は青い,6
comparisons are odious,比べるものではない,4
cool heads must prevail,頭を冷やせ,5
cool heads prevail,冷静な者が勝つ,5
cool heads will prevail,冷静な者が勝つ,5
cooler heads must prevail,頭を冷やせ,5
cooler heads prevail,冷静な者が勝つ,5
cooler heads will prevail,冷静な者が勝つ,5
count your blessings,有り難みを数えよ,4
"courage is the measure of a man, beauty is the measure of a woman","",1
cowards may die many times before their death,臆病者は何度も死ぬ,4
cream rises,良いものは必ず世に出る,8
crime does not pay,悪事千里を走る,6
crime doesn't pay,悪事千里を走る,6
criss-cross applesauce,"",1
cross my heart and hope to die stick a needle in my eye,嘘ついたら針千本飲ます,10
cross the stream where it is shallowest,浅い川を渡れ,3
curiosity killed the cat,知りすぎるのも身の毒,5
curses like chickens come home to roost,人を呪わば穴二つ,10
cut your coat according to your cloth,身の丈に合った暮らしをする,9
dance with the one that brought ya,義理を欠くな,7
dance with the one that brought you,義理を欠くな,7
dance with the one that brung ya,義理を欠くな,7
dance with the one that brung you,義理を欠くな,7
dance with the one what brought ya,義理を欠くな,6
dance with the one what brought you,義理を欠くな,6
dance with the one what brung ya,義理を欠くな,6
dance with the one what brung you,義理を欠くな,6
dance with the one who brought ya,義理を欠くな,7
dance with the one who brought you,義理を欠くな,7
dance with the one who brung ya,義理を欠くな,7
dance with the one who brung you,義理を欠くな,7
danger past and god forgotten,喉元過ぎれば熱さを忘れる,10
danger past god forgotten,喉元過ぎれば熱さを忘れる,10
danger past god is forgotten,喉元過ぎれば熱さを忘れる,10
dead men can tell no tales,死人に口なし,10
dead men tell no tales,死人に口なし,10
death is the great leveller,死の前には皆平等,8
denial is not a river in egypt,"",1
devil take the hindmost,我が身さえよければそれでよい,7
diamonds are a girl's best friend,"",1
dicks before chicks,"",1
different clowns same circus,同じ穴のむじな,7
do as i say and not as i do,"",1
do as i say not as i do,"",1
do not keep a dog and bark yourself,船頭多くして船山に登る,3
do not put new wine into old bottles,古い革袋に新しい酒を入れるな,8
do not sit in rome and strive with the pope,郷に入っては郷に従え,9
do not spend it all in one place,一度に使い果たすな,5
do not spoil the ship for a ha'porth of tar,安物買いの銭失い,9
do not sympathize with those who can not empathize,"",1
do not teach your grandmother to suck eggs,釈迦に説法,10
do not throw pearls to swine,猫に小判,10
do not throw the baby out with the bathwater,本末転倒,7
do not try to walk before you can crawl,急いては事を仕損じる,7
do not upset the apple-cart,波風を立てるな,8
do not wash your dirty linen in public,内輪の恥は外へ出すな,8
do unto others as you would have them do unto you,情けは人のためならず,8
"do what i say, not what i do","",1
"doctor, heal thyself","",1
doctors make the worst patients,"",1
does macy's tell gimbel's,"",1
"dogs have masters, cats have staff","",1
dogs have masters; cats have staff,"",1
"dogs have owners, cats have staff","",1
don't drop the soap,"",1
"drop acid, not bombs","",1
"early marriage, earlier pregnant","",1
"easy, times easy, is still easy","",1
"eat breakfast like a king, lunch like a prince and dinner like a pauper","",1
ecree,"",1
every accusation is a confession,"",1
every silver lining has a cloud,"",1
extraordinary claims require extraordinary evidence,"",1
facts don't care about your feelings,"",1
failing to plan is planning to fail,"",1
fake it till you make it,"",3
fat is flavor,"",1
fat is flavour,"",1
"february fill dyke, be it black or be it white","",1
"feed a cold, starve a fever","",1
"finders, keepers; losers, weepers","",2
fingers were made before forks,"",1
fish and company stink after three days,"",2
fish and guests smell after three days,"",2
fool me once,"",1
"fool me once, shame on you","",2
fortune favors the daring,"",1
fortune favours the bold,"",1
fortune favours the bold/brave,"",1
fortune favours the brave,"",1
fortune favours the daring,"",1
free is for me,"",1
freedom ain't free,"",1
freedom is not free,"",1
freedom isn't free,"",1
freedom's not free,"",1
from the sublime to the ridiculous,"",1
game is game,"",1
"garbage in, garbage out","",1
"gender is between your ears, not between your legs","",1
genius is an infinite capacity for taking pains,"",1
"genius is one percent inspiration, ninety-nine percent perspiration","",1
"get woke, go broke","",1
give a dog a bad name and hang him,"",1
give a man a fish,"",1
give a man a fish and you feed him for a day. teach a man to fish and you feed him for a lifetime,"",1
give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime,"",1
give a man rope enough and he will hang himself,"",1
give credit where credit is due,"",1
give him an inch and he will take a mile,"",1
give someone an inch and someone will take a mile,"",1
give someone enough rope and they'll hang themself,"",1
give the devil his/her due,"",1
give them an inch and they'll take a mile,"",1
give them an inch and they'll take an ell,"",1
"given enough eyeballs, all bugs are shallow","",1
"go fash, lose cash","",1
go hard or go home,"",1
"go woke, go broke","",1
god doesn't give with both hands,"",1
god helps them that help themselves,"",1
god helps them who help themselves,"",1
god helps those who help themselves,"",1
god is in the detail,"",1
god works in mysterious ways,"",1
gods may do what cattle may not,"",1
gold is where you find it,"",1
"good artists copy, great artists steal","",1
good fences make good neighbors,"",1
good fences make good neighbours,"",1
good talk saves the food,"",1
good things come in small packages,"",1
good things come in threes,"",1
good things come to those who wait,"",1
good wine needs no bush,"",1
"good work ain't cheap, cheap work ain't good","",1
"grasp all, lose all","",1
great haste makes great waste,"",1
great minds,"",1
great minds think alike,"",1
great oaks from little acorns grow,"",1
"hair today, gone tomorrow","",1
half a loaf is better than no bread,"",1
half a loaf is better than no loaf,"",1
half a loaf is better than none,"",1
handsome is as handsome does,"",1
handsome is that handsome does,"",1
"happy wife, happy life","",1
hard cases make bad law,"",1
hard work never did anyone any harm,"",1
haste makes waste,"",1
"hate the game, not the player","",1
haters gonna hate,"",1
he laughs best that laughs last,"",1
"he that goes a-borrowing, goes a-sorrowing","",1
"he that mischief hatches, mischief catches","",1
"he who can, does; he who cannot, teaches","",1
he who denied it supplied it,"",1
he who digs a pit for others falls in himself,"",1
"he who fails to prepare, prepares to fail","",1
he who hesitates is lost,"",1
he who knows does not speak. he who speaks does not know,"",1
he who laughs last laughs best,"",1
he who laughs last laughs hardest,"",1
he who laughs last laughs longest,"",1
"he who lives by the sword, dies by the sword","",1
he who loves the world as his body may be entrusted with the empire,"",1
he who makes a beast out of himself gets rid of the pain of being a man,"",1
he who said the rhyme did the crime,"",1
he who smelt it dealt it,"",1
here we are,"",1
hoes before bros,"",1
"horses, not zebras","",1
how long is a piece of string,"",1
"hunger never knows the taste, sleep never knows the comfort","",1
hurt people hurt people,"",1
hydrate or diedrate,"",1
"i before e, except after c","",1
i want doesn't get,欲しがりません勝つまでは,6
i'm going to have to give you the pink slip,"",1
iar,"",1
idle hands are the devil's playthings,小人閑居して不善をなす,10
idle hands are the devil's tools,小人閑居して不善をなす,10
idle hands are the devil's workshop,小人閑居して不善をなす,10
idle hands make work for the devil,小人閑居して不善をなす,10
"if a job is worth doing, it is worth doing well",どうせやるなら徹底的にやれ,7
"if all you have is a hammer, everything looks like a nail",弘法にも筆の誤り,3
"if all you've got is a hammer, everything looks like a nail",弘法にも筆の誤り,3
"if anything can go wrong, it will",弱り目に祟り目,7
"if at first you do not succeed, try, try again",七転び八起き,10
if at first you don't succeed,七転び八起き,9
"if at first you don't succeed, try try again",七転び八起き,10
"if god had meant us to fly, he would have given us wings",身の程を知れ,8
"if ifs and ands were pots and pans, there would be no work for tinkers",たらればを言っても始まらない,8
"if ifs and buts were candies and nuts, we'd all have a merry christmas",たらればを言っても始まらない,8
"if ifs and buts were candy and nuts, we'd all have a merry christmas",たらればを言っても始まらない,8
"if it ain't broke, don't fix it",触らぬ神に祟りなし,8
"if it ain't busted, don't fix it",触らぬ神に祟りなし,8
if it looks like a duck,"",1
"if it looks like a duck, swims like a duck, and quacks like a duck, then it probably is a duck",火のない所に煙は立たぬ,4
"if it looks like a duck, swims like a duck, and quacks like a duck, then it's probably a duck",火のない所に煙は立たぬ,4
"if it were a snake, it would have bit you",灯台下暗し,9
if it were not for hope the heart would break,待てば海路の日和あり,7
if pigs had wings they would fly,絵に描いた餅,6
"if the mountain will not come to mohammed, then mohammed must go to the mountain",来ぬなら来させてみせよう,3
if the mountain won't come to mohammed,来ぬなら来させてみせよう,3
if the mountain won't come to muhammad,来ぬなら来させてみせよう,3
"if the mountain won't come to muhammad, then muhammad must go to the mountain",来ぬなら来させてみせよう,3
"if the shoe fits, wear it",図星を刺される,6
"if there's grass on the field, play ball","",1
"if there's grass on the pitch, play ball","",1
"if there's grass on the wicket, let's play cricket","",1
"if we had ham we could have ham and eggs, if we had eggs",ない袖は振れぬ,8
"if we had some ham we could have some ham and eggs, if we had some eggs",ない袖は振れぬ,8
"if wealth is lost, nothing is lost. if health is lost, something is lost. if character is lost, everything is lost",名を失うは身を失うに等しい,7
"if you believe everything you read, better not to read",鵜呑みにするな,6
"if you go far enough left, you get your guns back","",1
"if you have never seen the bottom of the tree, you cannot know how tall it stands","",1
"if you must dance with the devil, you might as well know his favorite song",敵を知り己を知れば百戦危うからず,6
"if you steal from one author, it is plagiarism; if you steal from many, it is research","",1
"if you torture the data long enough, it will confess to anything","",1
ignore all rules,"",1
"in like a lion, out like a lamb",暑さ寒さも彼岸まで,4
"in the country of the blind, the one-eyed man is king",一つ目は王様,7
"in the kingdom of the blind, the one eyed man is king",一つ目は王様,7
"in the land of the blind, the one-eyed man is king",一つ目は王様,7
"in the midst of life, we are in death",生者必滅会者定離,6
"in the valley of the blind, the one-eyed man is king",一つ目は王様,7
"in unity, there is strength",三人寄れば文殊の知恵,7
in vino veritas,酒は本心を表す,6
"in wine, there is truth",酒は本心を表す,6
into every life a little rain must fall,雨降って地固まる,6
"islands depend on reeds, just as reeds depend on islands",持ちつ持たれつ,8
it ain't over 'til the fat lady sings,終わりよければすべてよし,5
it ain't over till it's over,終わりよければすべてよし,5
it ain't over till the fat lady sings,終わりよければすべてよし,5
it ain't over till/until it's over,終わりよければすべてよし,5
it ain't over until the fat lady sings,終わりよければすべてよし,5
"it ain't the meat, it's the motion","",1
it ain't the whistle that pulls the train,"",1
it ain't what you don't know that gets you into trouble. it's what you know for sure that just ain't so,"",1
it doesn't matter what they say about you as long as they spell your name right,"",1
it goes without saying,言わずもがな,10
it is a small world,世間は狭い,10
it is a wise child that knows his own father,親の心子知らず,5
it is all grist to the mill,転んでもただでは起きぬ,8
it is always darkest before the dawn,明けない夜はない,9
it is always darkest just before the dawn,明けない夜はない,9
it is an ill wind,災い転じて福となす,6
it is best to be on the safe side,石橋を叩いて渡る,9
it is better to be smarter than you appear than to appear smarter than you are,能ある鷹は爪を隠す,9
"it is better to cultivate a land with two bulls, rather working under boss who never gives wage when asked","",1
it is better to give than to receive,情けは人のためならず,7
it is better to have loved and lost than never to have loved at all,恋せぬ人は恋を語れず,4
it is better to light a candle than curse the darkness,悪を憎んで人を憎まず,3
it is better to travel hopefully than to arrive,旅は道連れ世は情け,3
it is darkest before the dawn,明けない夜はない,9
it is darkest just before the dawn,明けない夜はない,9
it is easier for a camel to go through the eye of a needle than for a rich man to enter into the kingdom of god,"",1
it is easy to be wise after the event,後知恵は誰でもつく,8
it is easy to find a stick to beat a dog,悪く思えばきりがない,4
it is like juggling sand,"",1
it is on,"",1
it takes a village,"",1
it takes a village to raise a child,"",1
it takes a whole village to raise a child,"",1
it took nixon to go to china,"",1
it wasn't only only,"",1
it's an ill wind,禍を転じて福となす,6
it's better to be judged by twelve than to be carried by six,"",1
"it's not the meat, it's the motion","",1
it's not the whistle that pulls the train,"",1
iura novit curia,"",1
joan's as good as my lady in the dark,暗闇では猫も杓子も同じ,7
kill the chicken to scare the monkey,一罰百戒,9
kill the goose that lays the golden egg,鶏を殺して卵を取る,7
kill two birds with one stone,一石二鳥,10
kindness in words creates confidence. kindness in thinking creates profoundness. kindness in giving creates love,"",1
