en,es,confidence
one swallow doesn't make a summer,una golondrina no hace verano,10
"one who believes in sword, dies by the sword",quien a hierro mata a hierro muere,10
one who hesitates is lost,"el que duda, pierde",9
"one who speaks only one language is one person, but one who speaks two languages is two people",quien sabe dos lenguas vale por dos,7
one woman's trash is another woman's treasure,la basura de unos es el tesoro de otros,8
only dead fish go with the flow,solo los peces muertos siguen la corriente,8
only the good die young,los mejores se van primero,7
only time will tell,el tiempo lo dirá,10
open confession is good for the soul,"confesión de parte, relevo de prueba",5
opinions are like assholes,sobre gustos no hay nada escrito,6
opportunity does not knock until you build a door,a Dios rogando y con el mazo dando,7
opportunity knocks at every man's door,a todos se nos presenta la ocasión,6
opportunity makes a thief,la ocasión hace al ladrón,10
opportunity makes the thief,la ocasión hace al ladrón,10
opportunity never knocks twice at any man's door,la ocasión la pintan calva,9
opportunity seldom knocks twice,la ocasión la pintan calva,9
opposites attract,los polos opuestos se atraen,10
"other days, other ways","otros tiempos, otras costumbres",9
other times other manners,"otros tiempos, otras costumbres",9
out of sight is out of mind,"Ojos que no ven, corazón que no siente",10
"out of sight, out of mind","Ojos que no ven, corazón que no siente",10
out of the frying pan and into the fire,Salir de Guatemala y entrar en Guatepeor,10
out of the mouths of babes,Los niños y los borrachos siempre dicen la verdad,8
out of the mouths of babes and sucklings,Los niños y los borrachos siempre dicen la verdad,7
"outta sight, outta mind","Ojos que no ven, corazón que no siente",10
patience is a virtue,La paciencia es la madre de la ciencia,9
pearls of wisdom,Perlas de sabiduría,5
penny wise and pound foolish,Pan para hoy y hambre para mañana,8
"penny, penny. makes many","Grano a grano, la gallina llena el buche",9
people that live in glass houses should not throw stones,"El que tenga techo de vidrio, que no tire piedras al del vecino",9
people that live in glass houses shouldn't throw stones,"El que tenga techo de vidrio, que no tire piedras al del vecino",9
"people who have, get",Dinero llama dinero,9
"people who have, get more",Dinero llama dinero,10
people who live in glass houses should not throw stones,"El que tenga techo de vidrio, que no tire piedras al del vecino",9
people who live in glass houses shouldn't throw stones,"El que tenga techo de vidrio, que no tire piedras al del vecino",9
perfect is the enemy of good,Lo mejor es enemigo de lo bueno,10
perfect is the enemy of good enough,Lo mejor es enemigo de lo bueno,9
perfection is the enemy of good,Lo mejor es enemigo de lo bueno,10
"physician, heal thyself","En casa de herrero, cuchillo de palo",7
"pink sky at night, sailors' delight; pink sky at morning, sailors take warning","Cielo rojo al anochecer, buen tiempo al amanecer; cielo rojo al amanecer, el mal tiempo va a volver",5
"pink sky at night, sailors' delight; pink sky in the morning, sailors take warning","Cielo rojo al anochecer, buen tiempo al amanecer; cielo rojo al amanecer, el mal tiempo va a volver",5
pitchers have ears,Las paredes oyen,10
"play stupid games, win stupid prizes","Quien siembra vientos, recoge tempestades",9
plus ça change,"Cuanto más cambian las cosas, más siguen igual",6
possession is nine points of the law,"Quien tiene, retiene",6
possession is nine-tenths of the law,"Quien tiene, retiene",6
"power corrupts, absolute power corrupts absolutely",El poder corrompe,6
power corrupts; absolute power corrupts absolutely,El poder corrompe,6
practice makes perfect,La práctica hace al maestro,10
practice makes progress,La práctica hace al maestro,7
practice what you preach,Haz lo que predicas,6
preaching to the choir,Predicar al convertido,5
pressure makes diamonds,No hay mal que por bien no venga,4
"right or wrong, my country","Con mi país, con razón o sin ella",9
risk it for a biscuit,"Quien no arriesga, no gana",10
rome was not built in a day,Zamora no se ganó en una hora,10
rome was not built in one day,Zamora no se ganó en una hora,10
rome wasn't built in a day,Zamora no se ganó en una hora,10
rome wasn't burned in a day,Zamora no se ganó en una hora,7
"rubbish in, rubbish out","De donde no hay, no se puede sacar",7
rules are made to be broken,"Hecha la ley, hecha la trampa",8
rules are meant to be broken,"Hecha la ley, hecha la trampa",8
rules are rules,Las reglas son las reglas,6
rules are there to be broken,"Hecha la ley, hecha la trampa",8
rules is rules,Las reglas son las reglas,6
rules were made to be broken,"Hecha la ley, hecha la trampa",8
"same shit, different toilet","Mismo perro, distinto collar",10
sauce for the goose,Lo que es igual no es ventaja,7
scientia potentia est,El saber es poder,10
see naples and die,Ver Nápoles y después morir,9
"see no evil, hear no evil, speak no evil","No ver, no oír, no hablar",9
seeing is believing,Ver para creer,10
seek and ye shall find,"Quien busca, encuentra",10
self-praise is no recommendation,La alabanza en boca propia es vituperio,10
set a beggar on horseback and he'll ride to the devil,Dale poder a un ruin y lo verás mandar,7
set a thief to catch a thief,Ladrón que roba a ladrón tiene cien años de perdón,7
sex sells,El morbo vende,7
shallow brooks are noisy,Mucho ruido y pocas nueces,9
shared joy is double joy,La alegría compartida se multiplica,6
shared sorrow is half sorrow,Las penas compartidas pesan menos,7
shiny are the distant hills,La gallina de mi vecino siempre pone más huevos,6
shirtsleeves to shirtsleeves in three generations,"Quien hereda no hurta, pero tampoco guarda",5
shit rolls downhill,La mierda siempre cae para abajo,7
"shoemaker, stick to your last","Zapatero, a tus zapatos",10
short accounts make long friends,Cuentas claras conservan la amistad,10
short reckonings make long friends,Cuentas claras conservan la amistad,10
shrouds have no pockets,La mortaja no tiene bolsillos,10
shy bairns get noot,El que no llora no mama,9
shy bairns get nowt,El que no llora no mama,10
silence is consent,Quien calla otorga,10
silence is golden,En boca cerrada no entran moscas,9
sit crooked and talk straight,"Al pan, pan y al vino, vino",6
slow and steady wins the race,Vísteme despacio que tengo prisa,7
slow but sure,Despacio y con buena letra,8
slow but sure wins the race,Vísteme despacio que tengo prisa,7
"slow is smooth, smooth is fast",Vísteme despacio que tengo prisa,9
small rain lays great dust,Grano a grano se hace granero,6
snake in the grass,Lobo con piel de cordero,8
"softly, softly, catchee monkey",Vísteme despacio que tengo prisa,7
some are more equal than others,"Todos somos iguales, pero unos más que otros",8
some days you eat the bear and some days the bear eats you,Unas veces se gana y otras se pierde,9
"some days you get the bear, other days the bear gets you",Unas veces se gana y otras se pierde,9
something is better than nothing,Peor es nada,10
sometimes you eat the bear and sometimes the bear eats you,Unas veces se gana y otras se pierde,9
sow the wind and reap the whirlwind,Quien siembra vientos recoge tempestades,10
"sow the wind, reap the whirlwind",Quien siembra vientos recoge tempestades,10
spare the rod and spoil the child,La letra con sangre entra,8
spare the rod and you will spoil the child,La letra con sangre entra,8
"spare the rod, spoil the child",La letra con sangre entra,8
speak as you find,"Al pan, pan y al vino, vino",7
speak of the devil and he appears,"Hablando del rey de Roma, por la puerta asoma",10
speak of the devil and he shall/is sure/will appear,"Hablando del rey de Roma, por la puerta asoma",10
speak softly and carry a big stick,Perro que ladra no muerde,4
speech is silver but) silence is golden,En boca cerrada no entran moscas,7
"speech is silver, but silence is golden",En boca cerrada no entran moscas,8
"speech is silver, silence is gold",En boca cerrada no entran moscas,8
"speech is silver, silence is golden",En boca cerrada no entran moscas,8
squeaky wheels get oiled,"El que no llora, no mama",10
sticks in a bundle are unbreakable,La unión hace la fuerza,10
sticks in a bundle can't be broken,La unión hace la fuerza,10
sticks in a bundle cannot be broken,La unión hace la fuerza,10
still water runs deep,"Agua mansa, gran correntía",8
still waters run deep,"Agua mansa, gran correntía",8
strike while the iron is hot,"Al hierro caliente, batir de repente",9
stupid is as stupid does,Obras son amores y no buenas razones,6
"success depends on your backbone, not your wishbone","Al que madruga, Dios le ayuda",6
"success has many fathers, failure is an orphan",La victoria tiene muchos padres y la derrota es huérfana,9
"success has many fathers, while failure is an orphan",La victoria tiene muchos padres y la derrota es huérfana,9
sufficient unto the day is the evil thereof,Cada día tiene su afán,10
sunlight is the best disinfectant,La luz del sol es el mejor desinfectante,5
take care of the pence and the pounds will take care of themselves,"Quien cuida lo poco, cuida lo mucho",9
take care of the pennies and the pounds will take care of themselves,"Quien cuida lo poco, cuida lo mucho",9
"take care of the pennies, and the pounds will take care of themselves","Quien cuida lo poco, cuida lo mucho",9
take the cash and let the credit go,Más vale pájaro en mano que ciento volando,10
takes one to know one,El ladrón cree que todos son de su condición,10
talk is cheap,Del dicho al hecho hay mucho trecho,9
"talk of the devil, and he is bound to appear","Hablando del rey de Roma, por la puerta asoma",10
talk softly and carry a big stick,Perro que ladra no muerde,5
tall oaks from little acorns grow,De pequeñitas bellotas nacen grandes encinas,5
teamwork makes the dream work,La unión hace la fuerza,9
"tell me who your friends are, and i'll tell you who you are",Dime con quién andas y te diré quién eres,10
tell the truth and shame the devil,Antes se coge al mentiroso que al cojo,6
tempus fugit,El tiempo vuela,8
that which doesn't kill you makes you stronger,"Lo que no mata, engorda",8
that's how the cookie crumbles,Así es la vida,8
that's the way it goes,Así es la vida,9
that's the way life is,Así es la vida,10
that's the way the ball bounces,Así es la vida,8
that's the way the cookie crumbles,Así es la vida,8
that's the way the mop flops,Así es la vida,7
the age of miracles is past,Se acabaron los milagros,7
the apple does not fall far from the stem,"De tal palo, tal astilla",10
the apple does not fall far from the tree,"De tal palo, tal astilla",10
the apple does not fall far from the trunk,"De tal palo, tal astilla",10
the apple does not fall/never falls far from the tree,"De tal palo, tal astilla",10
the apple doesn't fall far from the tree,"De tal palo, tal astilla",10
the apple never falls far from the tree,"De tal palo, tal astilla",10
the apples on the other side of the wall are the sweetest,La gallina de mi vecino pone más huevos que la mía,7
the bad penny always comes back,Hierba mala nunca muere,8
the bad penny always turns up,Hierba mala nunca muere,8
the best defence is attack,La mejor defensa es un buen ataque,9
the best defense is a good offense,La mejor defensa es un buen ataque,9
the best is the enemy of the good,Lo mejor es enemigo de lo bueno,10
the best laid plans of mice and men go oft astray,Del dicho al hecho hay mucho trecho,7
the best laid plans of mice and men often go awry,Del dicho al hecho hay mucho trecho,7
the best things in life are free,Lo mejor de la vida no se compra con dinero,8
the best things in life aren't things,Las mejores cosas de la vida no son cosas,8
the best-laid schemes of mice and men often go awry,Del dicho al hecho hay mucho trecho,7
the better is the enemy of the good,Lo mejor es enemigo de lo bueno,10
"the bigger they are, the harder they fall","Cuanto más alto se sube, más dura es la caída",10
"the bigger they come, the harder they fall","Cuanto más alto se sube, más dura es la caída",10
the boy is father to the man,De pequeño se ve el buen caballero,7
the bread never falls but on its buttered side,"Si algo puede salir mal, saldrá mal",7
the burnt child dreads the fire,Gato escaldado del agua fría huye,10
the burnt child fears the fire,Gato escaldado del agua fría huye,10
the candle that burns twice as bright burns half as long,Lo que mucho brilla pronto se apaga,7
the captain goes down with the ship,El capitán es el último en abandonar el barco,9
the cat would eat fish but would not wet her feet,"Quien algo quiere, algo le cuesta",8
the chickens come home to roost,"El que la hace, la paga",9
the child is the father of the man,De pequeño se ve el buen caballero,7
the cobbler always wears the worst shoes,"En casa de herrero, cuchillo de palo",10
the cobbler's children are the worst shod,"En casa de herrero, cuchillo de palo",10
the cobbler's children go barefoot,"En casa de herrero, cuchillo de palo",10
the course of true love never did run smooth,No hay amor sin espinas,8
the cow knows not the worth of its tail till it loses it,Nadie sabe lo que tiene hasta que lo pierde,10
the cowl does not make the monk,El hábito no hace al monje,10
the customer is always right,El cliente siempre tiene la razón,10
the darkest hour is always just before the dawn,No hay mal que cien años dure,7
the darkest hour is just before the dawn,No hay mal que dure cien años,7
the darkest place is under the candlestick,A veces lo que buscas está delante de tus narices,6
the devil finds work for idle hands,La ociosidad es la madre de todos los vicios,10
the devil finds work for idle hands to do,La ociosidad es la madre de todos los vicios,10
the devil is in the detail,El diablo está en los detalles,9
the devil is in the details,El diablo está en los detalles,9
the devil looks after his own,Hierba mala nunca muere,7
the devil makes work for idle hands,La ociosidad es la madre de todos los vicios,10
the devil takes care of his own,Hierba mala nunca muere,7
the devil that you know is better than the devil that you don't know,Más vale malo conocido que bueno por conocer,10
the devil we know is better than the devil we don't,Más vale malo conocido que bueno por conocer,10
the devil we know is better than the devil we don't know,Más vale malo conocido que bueno por conocer,10
the devil you know,Más vale malo conocido que bueno por conocer,9
the devil you know is better than the devil you don't,Más vale malo conocido que bueno por conocer,10
the devil you know is better than the devil you don't know,Más vale malo conocido que bueno por conocer,10
the die is cast,Alea iacta est,9
"the dogs bark, but the caravan goes on","Ladran, Sancho, señal que cabalgamos",9
"the dogs bark, but the caravan moves on","Ladran, Sancho, señal que cabalgamos",9
the dose makes the poison,Nada en exceso es bueno,6
the early bird catches the worm,"A quien madruga, Dios le ayuda",10
the early bird gets the worm,"A quien madruga, Dios le ayuda",10
the end justifies the means,El fin justifica los medios,9
the ends justify the means,El fin justifica los medios,9
the enemy of my enemy is my friend,El enemigo de mi enemigo es mi amigo,8
the exception which proves the rule,La excepción confirma la regla,10
the eyes are the window to the soul,Los ojos son el espejo del alma,10
the family that prays together stays together,Familia que reza unida permanece unida,8
the fewer the better fare,"A menos bocas, más larga la sopa",6
the first step is always the hardest,Todo comienzo es difícil,8
the fish rots from the head,El pez se pudre por la cabeza,9
the forbidden fruit tastes the sweetest,Lo prohibido es lo que más atrae,7
the fox may grow grey but never good,Genio y figura hasta la sepultura,8
the game is not worth the candle,La misa no vale la pena,5
the good die young,Los buenos se van pronto,6
the grass is always greener,La gallina de mi vecino pone más huevos que la mía,7
the grass is always greener (on the other side,Siempre la gallina de mi vecino me parece una sardina,7
the grass is always greener on the other side,Siempre la gallina de mi vecino me parece una sardina,8
the grass is always greener on the other side of the fence,Siempre la gallina de mi vecino me parece una sardina,8
the grass is always greener on the other side of the road,Siempre la gallina de mi vecino me parece una sardina,7
the hand that rocks the cradle is the hand that rules the world,La mano que mece la cuna gobierna el mundo,9
the hand that rocks the cradle rules the world,La mano que mece la cuna gobierna el mundo,9
the heart wants what it wants,El corazón tiene razones que la razón no entiende,9
the heart wants what the heart wants,El corazón tiene razones que la razón no entiende,9
the highest branch is not the safest roost,"Cuanto más alto se sube, más dura es la caída",6
the hit dog hollers,"El que se pica, ajos come",10
the house always wins,La banca siempre gana,10
the husband is always the last to know,El marido es el último en enterarse,8
the innocent seldom find an uncomfortable pillow,"Conciencia tranquila, la mejor almohada",9
the internet never forgets,Internet nunca olvida,8
the jug goes to the well until it breaks,Tanto va el cántaro a la fuente que al final se rompe,10
the laborer is worthy of his hire,El obrero es digno de su salario,9
the labourer is worthy of his hire,El obrero es digno de su salario,9
the last drop makes the cup run over,La gota que colma el vaso,10
the law is a ass,"Hecha la ley, hecha la trampa",6
the law is an arse,"Hecha la ley, hecha la trampa",6
the law is an ass,"Hecha la ley, hecha la trampa",6
the left hand doesn't know what the right hand is doing,La mano derecha no sabe lo que hace la izquierda,8
the leopard does not change his spots,Genio y figura hasta la sepultura,10
the light is on but nobody is home,Está pero no está,5
the longest day must have an end,No hay mal que cien años dure,7
the longest journey starts with a single step,Todo camino empieza con un primer paso,8
the lord helps those that help themselves,A Dios rogando y con el mazo dando,10
the lord helps those who help themselves,A Dios rogando y con el mazo dando,10
the lord works in mysterious ways,Dios escribe derecho con renglones torcidos,9
the love of money is the root of all evil,El amor al dinero es la raíz de todos los males,10
the mill cannot grind with water that is past,Agua pasada no mueve molino,10
the mills of the gods grind slowly,Las cosas de palacio van despacio,7
the more the merrier,"Cuantos más, mejor",10
"the more things change, the more they stay the same","Cuanto más cambian las cosas, más siguen igual",7
"the more you know, the higher you go",El saber no ocupa lugar,6
the nail that sticks out gets hammered down,"En tierra de ciegos, el tuerto es rey",4
the nail that sticks up gets hammered down,"En tierra de ciegos, el tuerto es rey",4
the nut does not fall far from the tree,"De tal palo, tal astilla",10
the only disability in life is a bad attitude,Querer es poder,6
the only way to find a friend is to be one,"Quien tiene un amigo, tiene un tesoro",5
the pen is mightier than the sword,Más se consigue con buenas palabras que con amenazas,7
the perfect is the enemy of the good,Lo mejor es enemigo de lo bueno,10
the pitcher goes so often to the well that it is broken at last,Tanto va el cántaro a la fuente que al final se rompe,10
the poor we will always have with us,Pobre siempre ha habido y siempre habrá,8
the pot calling the kettle black,El burro hablando de orejas,9
the proof is in the eating,El movimiento se demuestra andando,9
the proof is in the pudding,El movimiento se demuestra andando,9
the proof of the pudding is in the eating,El movimiento se demuestra andando,10
the rich get richer,Dinero llama dinero,9
the rich get richer and the poor get poorer,"Al rico, rico y al pobre, pobre",8
the road to hell is paved with good intentions,De buenas intenciones está empedrado el camino al infierno,10
the shoemaker always wears the worst shoes,"En casa de herrero, cuchillo de palo",10
the shoemaker's children go barefoot,"En casa de herrero, cuchillo de palo",10
the shoemaker's son always goes barefoot,"En casa de herrero, cuchillo de palo",10
the sky is the limit,El límite está en tu mente,6
the sky's the limit,El límite está en tu mente,6
the spirit is strong but the flesh is weak,"El espíritu es fuerte, pero la carne es débil",9
"the spirit is strong, but the flesh is weak","El espíritu es fuerte, pero la carne es débil",9
the spirit is willing but the flesh is weak,"El espíritu es fuerte, pero la carne es débil",9
"the spirit is willing, but the flesh is weak","El espíritu es fuerte, pero la carne es débil",9
the squeaky wheel gets the grease,"El que no llora, no mama",10
the squeaky wheel gets the oil,"El que no llora, no mama",10
the streets are paved with gold,Atado y bien atado,2
the tongue wounds more than a lance,La lengua hiere más que la espada,9
the truth is effortless,"La verdad no peca, pero incomoda",6
the truth is in the wine,El vino hace decir la verdad,9
the truth will set you free,La verdad os hará libres,10
the victor gets the spoils,"Al vencedor, el botín",7
"the voice of the people, the voice of god",La voz del pueblo es la voz de Dios,10
the way to a man's heart is through his stomach,"A hombre harto, corazón contento",6
the wheel turns,Unas veces se gana y otras se pierde,7
the whistle does not pull the train,Del dicho al hecho hay un gran trecho,5
the whistle doesn't pull the train,Del dicho al hecho hay un gran trecho,5
the winner takes it all,El ganador se lo lleva todo,6
the wolf may lose his teeth but never his nature,Genio y figura hasta la sepultura,9
the work praises the man,Por sus obras los conoceréis,9
the world is someone's oyster,El mundo está a sus pies,7
the) truth will out,La verdad siempre sale a la luz,10
them that has gets,Dinero llama dinero,9
"them that has, gets",Dinero llama dinero,9
"them that has, gets more",Dinero llama dinero,9
them what has gets,Dinero llama dinero,9
"them what has, gets",Dinero llama dinero,9
"them what has, gets more",Dinero llama dinero,9
there ain't no such thing as a free lunch,Nadie da duros a cuatro pesetas,10
there are always more fish in the sea,No hay mal que por bien no venga,5
there are bad apples in every orchard,En todas partes cuecen habas,8
there are many ways to skin a cat,Todos los caminos llevan a Roma,8
there are more horses' asses than horses,Hay más tontos que botellines,7
there are more ways of killing a cat than choking it with cream,Más de una manera hay de matar pulgas,6
there are no atheists in foxholes,En la guerra no hay ateos,7
there are none so blind as those who will not see,No hay peor ciego que el que no quiere ver,10
there are none so deaf as those who will not hear,No hay peor sordo que el que no quiere oír,10
there are plenty more fish in the sea,No hay mal que por bien no venga,5
there are plenty more pebbles on the beach,Sobrados hay en la viña del Señor,6
there are plenty of fish in the sea,No hay mal que por bien no venga,5
there are plenty of pebbles on the beach,Sobrados hay en la viña del Señor,6
there are two sides to every question,Cada moneda tiene dos caras,8
there are two sides to every story,Cada historia tiene dos versiones,8
there but for the grace of god go i,Por la gracia de Dios no soy yo,6
there is a lid for every pot,Siempre hay un roto para un descosido,10
there is a place and time for everything,Cada cosa a su tiempo y en su lugar,10
there is a time and a place for everything,Cada cosa a su tiempo y en su lugar,10
there is a time and place for everything,Cada cosa a su tiempo y lugar,9
there is an exception to every rule,No hay regla sin excepción,10
there is honour among thieves,Entre ladrones hay códigos,5
there is many a good tune played on an old fiddle,Gallina vieja da buen caldo,9
there is more than one way to skin a cat,Todos los caminos llevan a Roma,8
there is no accounting for tastes,Sobre gustos no hay nada escrito,10
there is no fool like an old fool,No hay peor ciego que el que no quiere ver,4
there is no honor among thieves,Ladrón que roba a ladrón tiene cien años de perdón,6
there is no i in team,La unión hace la fuerza,7
there is no place like home,"Como en casa, en ningún sitio",10
there is no shame in not knowing; the shame lies in not finding out,Preguntando se llega a Roma,7
"there is no smoke without fire/where there is smoke, there is fire","Cuando el río suena, agua lleva",10
there is no such thing as a free lunch,Nadie da duros a cuatro pesetas,10
there is no such thing as bad press,"Que hablen de uno, aunque sea mal",8
there is no such thing as bad publicity,"Que hablen de uno, aunque sea mal",10
there is no time like the present,No dejes para mañana lo que puedas hacer hoy,10
there is nothing new under the sun,Nada nuevo hay bajo el sol,9
there is one born every minute,Siempre hay un tonto para cada listo,7
there is safety in numbers,La unión hace la fuerza,9
there is strength in numbers,La unión hace la fuerza,10
there may be snow on the mountaintop but there's fire in the valley,Gallina vieja da buen caldo,7
there may be snow on the rooftop but there is fire in the furnace,Gallina vieja da buen caldo,7
there's a first time for everything,Siempre hay una primera vez,10
there's a lid for every pot,Siempre hay un roto para un descosido,10
there's a place and time for everything,Cada cosa a su tiempo y lugar,9
there's a rotten apple in every barrel,En todas partes cuecen habas,7
there's a sucker born every minute,Siempre hay un tonto para cada listo,8
there's a time and a place for everything,Cada cosa a su tiempo y lugar,9
there's a time and place for everything,Cada cosa a su tiempo y lugar,9
there's always a bigger fish,Siempre hay un pez más grande,6
there's many a good tune played on an old fiddle,Gallina vieja da buen caldo,9
there's many a slip 'twixt the cup and the lip,Del dicho al hecho hay mucho trecho,10
there's many a slip between the cup and the lip,Del dicho al hecho hay mucho trecho,10
there's many a slip twixt cup and lip,Del dicho al hecho hay mucho trecho,10
there's many a slip twixt the cup and the lip,Del dicho al hecho hay mucho trecho,10
there's more than one way to cook an egg,Todos los caminos llevan a Roma,8
there's more than one way to crack an egg,Todos los caminos llevan a Roma,8
there's more than one way to feed a cat,Todos los caminos llevan a Roma,7
there's more than one way to fuck a cat,Todos los caminos llevan a Roma,6
there's more than one way to peel an orange,Todos los caminos llevan a Roma,8
there's more than one way to skin a cat,Todos los caminos llevan a Roma,9
there's no accounting for taste,Sobre gustos no hay nada escrito,10
there's no fool like an old fool,No hay peor ciego que el que no quiere ver,4
there's no i in team,La unión hace la fuerza,8
there's no place like home,"Como en casa, en ningún sitio",10
there's no point crying over spilt milk,"A lo hecho, pecho",10
there's no smoke without fire,"Cuando el río suena, agua lleva",10
there's no time like the present,No dejes para mañana lo que puedas hacer hoy,10
there's no use crying over spilt milk,"A lo hecho, pecho",10
there's none so blind as those who will not see,No hay peor ciego que el que no quiere ver,10
there's nowt so queer as folk,De todo hay en la viña del Señor,8
there's one born every minute,Siempre hay un tonto para cada listo,7
they hate us 'cause they ain't us,La envidia es el deporte nacional,6
they that sow the wind shall reap the whirlwind,Quien siembra vientos recoge tempestades,10
third time is a charm,A la tercera va la vencida,10
third time pays for all,A la tercera va la vencida,9
third time's a charm,A la tercera va la vencida,10
third time's the charm,A la tercera va la vencida,10
this too shall pass,No hay mal que cien años dure,9
this too shall pass away,No hay mal que cien años dure,9
those that have get,Dinero llama dinero,8
those that have get more,Dinero llama dinero,9
"those that have, get",Dinero llama dinero,8
"those that have, get more",Dinero llama dinero,9
those who do not learn from history are doomed to repeat it,El pueblo que olvida su historia está condenado a repetirla,9
those who have get,Dinero llama dinero,8
those who have get more,Dinero llama dinero,9
"those who have, get",Dinero llama dinero,8
"those who have, get more",Dinero llama dinero,9
those who know many languages live as many lives as the languages they know,"Quien sabe muchos idiomas, vive muchas vidas",6
those who live in glass houses should not throw stones,"Quien tenga techo de vidrio, que no tire piedras al del vecino",7
those who live in glass houses shouldn't throw stones,"Quien tenga techo de vidrio, que no tire piedras al del vecino",7
those who say it cannot be done should not interrupt those doing it,Obras son amores y no buenas razones,6
those who sleep with dogs will rise with fleas,"Quien con perros se acuesta, con pulgas se levanta",10
"those who will not when they may, when they will they shall have nay","A quien no quiere caldo, se le dan dos tazas",5
three strikes and you're out,Tanto va el cántaro a la fuente que al final se rompe,6
three times a charm,A la tercera va la vencida,10
"throw dirt enough, and some will stick","Calumnia, que algo queda",10
throw enough mud at the wall and some of it will stick,"Calumnia, que algo queda",10
"throw enough mud at the wall, some of it will stick","Calumnia, que algo queda",10
tide nor time tarrieth no man,El tiempo no espera a nadie,8
time and tide stay for no man,El tiempo no espera a nadie,9
time and tide tarry for no man,El tiempo no espera a nadie,9
time and tide wait for no man,El tiempo no espera a nadie,9
time flies,El tiempo vuela,9
time flies when you're having fun,El tiempo pasa volando cuando uno se divierte,8
time heals,El tiempo todo lo cura,9
time heals all hurts,El tiempo todo lo cura,9
time heals all sorrows,El tiempo todo lo cura,9
time heals all things,El tiempo todo lo cura,9
time heals all wounds,El tiempo todo lo cura,10
time heals every wound,El tiempo todo lo cura,10
time is a great healer,El tiempo es el mejor remedio,8
time is a great healer of all wounds,El tiempo es el mejor remedio,8
time is money,El tiempo es oro,10
time is the great healer,El tiempo es el mejor remedio,8
time is wasted without purpose,"El tiempo perdido, hasta los santos lo lloran",7
timing is everything,Cada cosa a su tiempo,7
tis better to have loved and lost than never to have loved at all,Más vale haber amado y perdido que no haber amado nunca,7
"to a hammer, everything looks like a nail",Según el cristal con que se mira,5
to each his own,Sobre gustos no hay nada escrito,8
to each their own,Sobre gustos no hay nada escrito,8
to err is human,Errar es humano,10
"to err is human, to forgive divine","Errar es humano, perdonar es divino",10
"to err is human; to forgive, divine","Errar es humano, perdonar es divino",10
to the victor go the spoils,El que gana se lo lleva todo,7
to the victor the spoils,El que gana se lo lleva todo,7
to thine own self be true,Sé fiel a ti mismo,6
to travel hopefully is a better thing than to arrive,"Lo importante es el camino, no la meta",8
today is a good day to die,"A lo hecho, pecho",5
tomorrow is another day,Mañana será otro día,10
tomorrow never comes,El mañana nunca llega,8
"too little, too late","A buenas horas, mangas verdes",9
too many chefs spoil the broth,Muchos cocineros dañan la sopa,7
too many cooks spoil the broth,Muchos cocineros dañan la sopa,7
too many cooks spoil the soup,Muchos cocineros dañan la sopa,7
too many cooks spoil the stew,Muchos cocineros dañan la sopa,7
too many cooks spoils the broth,Muchos cocineros dañan la sopa,7
too much bed makes a dull head,"Quien mucho duerme, poco aprende",7
too much pudding will choke a dog,Lo mucho hasta Dios lo aborrece,8
too much rain makes a flood,Lo mucho hasta Dios lo aborrece,7
too much water drowned the miller,Lo mucho hasta Dios lo aborrece,8
treat 'em mean to keep 'em keen,"Amor de lejos, felices los cuatro",4
"treat 'em mean, keep 'em keen","Amor de lejos, felices los cuatro",4
"treat them mean, keep them keen","Amor de lejos, felices los cuatro",4
"trust every man, but cut the cards","Confía, pero no te fíes",7
"trust everybody, but always cut the cards","Confía, pero no te fíes",7
"trust everybody, but always cut the deck","Confía, pero no te fíes",7
"trust everybody, but cut the cards","Confía, pero no te fíes",7
"trust everybody, but cut the deck","Confía, pero no te fíes",7
"trust your friends, but cut the cards","Confía, pero no te fíes",7
"trust, but verify","Confía, pero verifica",6
truth is more valuable if it takes you a few years to find it,Más sabe el diablo por viejo que por diablo,6
truth is stranger than fiction,La realidad supera la ficción,10
truth will out,La verdad siempre sale a la luz,10
turn your face toward the sun and the shadows fall behind you,"Al mal tiempo, buena cara",7
turnabout is fair play,"Donde las dan, las toman",10
two birds with one stone,Matar dos pájaros de un tiro,10
two can play at that game,Dos pueden jugar ese juego,5
two can play that game,Dos pueden jugar ese juego,5
two heads are better than one,Cuatro ojos ven más que dos,10
"two is company, but three is a crowd",Dos son compañía y tres son multitud,8
two wrongs do not make a right,Un error no se corrige con otro error,6
two wrongs don't make a right,Un error no se corrige con otro error,6
two's company and three is none,Dos son compañía y tres son multitud,8
"two's company, three's a crowd",Dos son compañía y tres son multitud,9
"two's company, three's trumpery","Donde hay confianza, da asco",5
ugly is as ugly does,La belleza está en el interior,6
underpromise and overdeliver,Obras son amores y no buenas razones,7
uneasy lies the head that wears a crown,No es oro todo lo que reluce,6
union is strength,La unión hace la fuerza,10
union makes strength,La unión hace la fuerza,10
united we bargain; divided we beg,La unión hace la fuerza,8
"united we stand, divided we fall",La unión hace la fuerza,9
unity is strength,La unión hace la fuerza,10
unity makes strength,La unión hace la fuerza,10
"until the lions have their historians, tales of the hunt shall always glorify the hunter",La historia la escriben los vencedores,10
up a creek without a paddle,Estar entre la espada y la pared,7
use it or lose it,Órgano que no se usa se atrofia,8
variety is the spice of life,En la variedad está el gusto,10
virtue is its own reward,Obra bien y no mires a quién,7
walk softly and carry a big stick,Perro que ladra no muerde,4
