en,ar,confidence
one swallow does not make a spring,زهرة واحدة لا تصنع الربيع,10
one swallow does not make a summer,زهرة واحدة لا تصنع الربيع,10
one swallow doesn't a spring make,زهرة واحدة لا تصنع الربيع,10
one swallow doesn't a summer make,زهرة واحدة لا تصنع الربيع,10
one swallow doesn't make a spring,زهرة واحدة لا تصنع الربيع,10
one swallow doesn't make a summer,زهرة واحدة لا تصنع الربيع,10
"one who believes in sword, dies by the sword",من حفر حفرة لأخيه وقع فيها,7
one who hesitates is lost,فرصة العمر لا تعود,7
"one who speaks only one language is one person, but one who speaks two languages is two people",من تعلم لغة قوم أمن مكرهم,8
one woman's trash is another woman's treasure,مصائب قوم عند قوم فوائد,8
one year's seeding makes seven years weeding,كما تزرع تحصد,8
one's time is one's own,الوقت كالسيف إن لم تقطعه قطعك,6
only dead fish go with the flow,خالف تُعرَف,6
only the good die young,الطيّبون يرحلون سريعًا,5
only time will tell,الأيام كفيلة بكشف الحقائق,9
open confession is good for the soul,الاعتراف بالحق فضيلة,10
opinions are like assholes,لكلٍّ رأيٌ ووجهةُ نظر,4
opportunity does not knock until you build a door,اسعَ يا عبد وأنا أسعى معاك,7
opportunity knocks at every man's door,لكل جواد كبوة ولكل إنسان فرصة,4
opportunity makes a thief,الفرصة تصنع اللص,6
opportunity makes the thief,الفرصة تصنع اللص,6
opportunity never knocks twice at any man's door,الفرصة لا تأتي مرتين,10
opportunity seldom knocks twice,الفرصة لا تأتي مرتين,10
opposites attract,الاختلاف لا يفسد للود قضية,3
"other days, other ways",لكل زمان دولة ورجال,9
other times other manners,لكل زمان دولة ورجال,9
"right or wrong, my country",بلادي وإن جارت علي عزيزة,9
risk it for a biscuit,من لا يغامر لا يغنم,8
rome was not built in a day,روما لم تُبنَ في يوم واحد,10
rome was not built in one day,روما لم تُبنَ في يوم واحد,10
rome wasn't built in a day,روما لم تُبنَ في يوم واحد,10
rome wasn't burned in a day,ما خربت روما في يوم ولا في ليلة,7
"rubbish in, rubbish out",كما تزرع تحصد,7
rules are made to be broken,القانون وُضع ليُخترق,7
rules are meant to be broken,القانون وُضع ليُخترق,7
rules are rules,القانون لا يحمي المغفلين,6
rules are there to be broken,القانون وُضع ليُخترق,7
rules is rules,القانون قانون,6
rules were made to be broken,القانون وُضع ليُخترق,7
"same shit, different toilet",نفس الطاسه ونفس الميه,8
sauce for the goose,ما جاز على السادة جاز على العبيد,7
scientia potentia est,العلم قوة,9
see naples and die,من رأى الإسكندرية فلا يشتاق إلى الجنة,6
"see no evil, hear no evil, speak no evil",لا أرى لا أسمع لا أتكلم,10
seeing is believing,ليس من رأى كمن سمع,10
seek and ye shall find,من جد وجد,8
self-praise is no recommendation,مدّاح نفسه كذّاب,10
set a beggar on horseback and he'll ride to the devil,اتق شر من أحسنت إليه,7
set a thief to catch a thief,ما يقطع على اللص إلا لص مثله,8
shallow brooks are noisy,أوعى الأواني أكثرها ضجيجًا,9
shared joy is double joy,الفرحة فرحتين لما تتقاسم,6
shared sorrow is half sorrow,المصيبة إذا عمت هانت,8
shiny are the distant hills,الجار قبل الدار,2
shirtsleeves to shirtsleeves in three generations,ما بيطلع من الفقير إلا الفقير,4
shit rolls downhill,الضرب في الميت حرام,3
"shoemaker, stick to your last",ألزمْ ما تُحسن,6
short accounts make long friends,حساب قريب ولا عتاب بعيد,9
short reckonings make long friends,حساب قريب ولا عتاب بعيد,9
shrouds have no pockets,الكفن ما له جيوب,10
shy bairns get noot,اللي يستحي ما ينولش,8
shy bairns get nowt,اللي يستحي ما ينولش,9
silence is consent,السكوت علامة الرضا,10
silence is golden,إذا كان الكلام من فضة فالسكوت من ذهب,10
sit crooked and talk straight,اقعد أعوج واحكي عدل,9
slow and steady wins the race,في التأني السلامة وفي العجلة الندامة,8
slow but sure,من سار على الدرب وصل,9
slow but sure wins the race,من سار على الدرب وصل,8
"slow is smooth, smooth is fast",في التأني السلامة وفي العجلة الندامة,8
snake in the grass,ثعبان في ثوب إنسان,7
"softly, softly, catchee monkey",بالرفق تُنال الأمور,7
some are more equal than others,الناس سواسية لكن في الحقيقة درجات,4
some days you eat the bear and some days the bear eats you,يوم لك ويوم عليك,10
"some days you get the bear, other days the bear gets you",يوم لك ويوم عليك,10
something is better than nothing,نص الخبزة ولا خبزة,9
sometimes you eat the bear and sometimes the bear eats you,يوم لك ويوم عليك,10
sow the wind and reap the whirlwind,من حفر حفرة لأخيه وقع فيها,7
"sow the wind, reap the whirlwind",كما تزرع تحصد,8
spare the rod and spoil the child,اضرب ابنك إن أحسنت تربيته,6
spare the rod and you will spoil the child,العصا لمن عصى,7
"spare the rod, spoil the child",العصا لمن عصى,8
speak as you find,قل الحق ولو على نفسك,6
speak of the devil and he appears,اذكر القط يجي ينط,8
speak of the devil and he shall/is sure/will appear,اذكر القط يجي ينط,8
speak softly and carry a big stick,اتق شر الحليم إذا غضب,5
speech is silver but) silence is golden,إذا كان الكلام من فضة فالسكوت من ذهب,10
"speech is silver, but silence is golden",إذا كان الكلام من فضة فالسكوت من ذهب,10
"speech is silver, silence is gold",إذا كان الكلام من فضة فالسكوت من ذهب,10
"speech is silver, silence is golden",إذا كان الكلام من فضة فالسكوت من ذهب,10
squeaky wheels get oiled,من يصرخ يُسمَع صوته,7
start from where you are,ما لا يُدرَك كلّه لا يُترَك جلّه,6
"sticks and stones may break my bones, but words will never hurt me",الكلام لا يقدّم ولا يؤخّر,5
sticks in a bundle are unbreakable,الاتحاد قوة,10
sticks in a bundle can't be broken,الاتحاد قوة,10
sticks in a bundle cannot be broken,الاتحاد قوة,10
still water runs deep,اتق شر الحليم إذا غضب,6
still waters run deep,اتق شر الحليم إذا غضب,6
strike while the iron is hot,اضرب الحديد وهو حامٍ,10
stupid is as stupid does,العمل أبلغ من الكلام,4
"success depends on your backbone, not your wishbone",ما نيل المطالب بالتمني ولكن تؤخذ الدنيا غلابا,9
"success has many fathers, failure is an orphan",النجاح له ألف أب والفشل يتيم,7
"success has many fathers, while failure is an orphan",النجاح له ألف أب والفشل يتيم,7
sufficient unto the day is the evil thereof,لكل يومٍ همّه,8
sunlight is the best disinfectant,ما خفي كان أعظم,3
take care of the pence and the pounds will take care of themselves,قرش توفره خير من دينار تقترضه,6
take care of the pennies and the pounds will take care of themselves,قرش توفره خير من دينار تقترضه,6
"take care of the pennies, and the pounds will take care of themselves",قرش توفره خير من دينار تقترضه,6
take the cash and let the credit go,عصفور في اليد خير من عشرة على الشجرة,9
takes one to know one,لا يعرف الشوق إلا من يكابده,6
talk is cheap,العمل أبلغ من الكلام,9
"talk of the devil, and he is bound to appear",اذكر القط يجي ينط,8
talk softly and carry a big stick,إياك أعني واسمعي يا جارة,4
tall oaks from little acorns grow,رحلة الألف ميل تبدأ بخطوة,9
teamwork makes the dream work,يد واحدة لا تصفق,9
"tell me who your friends are, and i'll tell you who you are",الطيور على أشكالها تقع,10
tell the truth and shame the devil,قل الحق ولو على نفسك,10
tempus fugit,الوقت كالسيف إن لم تقطعه قطعك,10
that which doesn't kill you makes you stronger,رب ضارة نافعة,8
that's how the cookie crumbles,هذه حال الدنيا,7
that's the way it goes,هذه حال الدنيا,8
that's the way life is,هذه حال الدنيا,8
that's the way the ball bounces,هذه حال الدنيا,7
that's the way the cookie crumbles,هذه حال الدنيا,8
that's the way the mop flops,هذه حال الدنيا,6
the age of miracles is past,ذهب زمن المعجزات,9
the apple does not fall far from the stem,هذا الشبل من ذاك الأسد,10
the apple does not fall far from the tree,هذا الشبل من ذاك الأسد,10
the apple does not fall far from the trunk,هذا الشبل من ذاك الأسد,10
the apple does not fall/never falls far from the tree,هذا الشبل من ذاك الأسد,10
the apple doesn't fall far from the tree,هذا الشبل من ذاك الأسد,10
the apple never falls far from the tree,هذا الشبل من ذاك الأسد,10
the apples on the other side of the wall are the sweetest,الجار قبل الدار,2
the bad penny always comes back,الطبع غلّاب,7
the bad penny always turns up,الطبع غلّاب,7
the best defence is attack,الهجوم خير وسيلة للدفاع,10
the best defense is a good offense,الهجوم خير وسيلة للدفاع,10
the best is the enemy of the good,الكمال عزيز,6
the best laid plans of mice and men go oft astray,تجري الرياح بما لا تشتهي السفن,10
the best laid plans of mice and men often go awry,تجري الرياح بما لا تشتهي السفن,10
the best things in life are free,أفضل الأشياء لا تُشترى بالمال,6
the best things in life aren't things,أفضل الأشياء لا تُشترى بالمال,6
the best-laid schemes of mice and men often go awry,تجري الرياح بما لا تشتهي السفن,10
the better is the enemy of the good,الكمال عزيز,6
"the bigger they are, the harder they fall",على قدر الرفعة تكون السقطة,7
"the bigger they come, the harder they fall",على قدر الرفعة تكون السقطة,7
the boy is father to the man,من شبّ على شيء شاب عليه,9
the bread never falls but on its buttered side,المصائب لا تأتي فرادى,7
the burnt child dreads the fire,من جرّب المجرَّب عقله مخرَّب,5
the burnt child fears the fire,من جرّب المجرَّب عقله مخرَّب,5
the candle that burns twice as bright burns half as long,ما طار طير وارتفع إلا كما طار وقع,4
the captain goes down with the ship,ربّان السفينة آخر من يغادرها,8
the cat would eat fish but would not wet her feet,يريدها مطبوخة في فمه,5
the chickens come home to roost,كما تدين تدان,10
the child is the father of the man,من شبّ على شيء شاب عليه,9
the cobbler always wears the worst shoes,باب النجار مخلّع,10
the cobbler's children are the worst shod,باب النجار مخلّع,10
the cobbler's children go barefoot,باب النجار مخلّع,10
the course of true love never did run smooth,ما في حب إلا وفيه تعب,6
the cow knows not the worth of its tail till it loses it,لا يُعرَف قدر النعمة إلا بعد زوالها,9
the cowl does not make the monk,ليس كل ما يلمع ذهبًا,8
the customer is always right,الزبون على حق,10
the darkest hour is always just before the dawn,اشتدّي أزمة تنفرجي,9
the darkest hour is just before the dawn,اشتدّي أزمة تنفرجي,9
the darkest place is under the candlestick,ربّ ضالّةٍ في بيتك وأنت تطلبها في السوق,6
the devil finds work for idle hands,النفس إن لم تشغلها بالحق شغلتك بالباطل,10
the devil finds work for idle hands to do,النفس إن لم تشغلها بالحق شغلتك بالباطل,10
the devil is in the detail,الشيطان يكمن في التفاصيل,9
the devil is in the details,الشيطان يكمن في التفاصيل,9
the devil looks after his own,الطيور على أشكالها تقع,6
the devil makes work for idle hands,النفس إن لم تشغلها بالحق شغلتك بالباطل,10
the devil takes care of his own,الطيور على أشكالها تقع,6
the devil that you know is better than the devil that you don't know,اللي تعرفه أحسن من اللي ما تعرفوش,10
the devil we know is better than the devil we don't,اللي تعرفه أحسن من اللي ما تعرفوش,10
the devil we know is better than the devil we don't know,اللي تعرفه أحسن من اللي ما تعرفوش,10
the devil you know,اللي تعرفه أحسن من اللي ما تعرفوش,9
the devil you know is better than the devil you don't,اللي تعرفه أحسن من اللي ما تعرفوش,10
the devil you know is better than the devil you don't know,اللي تعرفه أحسن من اللي ما تعرفوش,10
the die is cast,جرت المقادير بما لا تشتهي السفن,7
"the dogs bark, but the caravan goes on",القافلة تسير والكلاب تنبح,10
"the dogs bark, but the caravan moves on",القافلة تسير والكلاب تنبح,10
the early bird catches the worm,البكور نصف الرزق,9
the early bird gets the worm,البكور نصف الرزق,9
the end justifies the means,الغاية تبرر الوسيلة,10
the ends justify the means,الغاية تبرر الوسيلة,10
the enemy of my enemy is my friend,عدو عدوي صديقي,10
the eyes are the window to the soul,العين مرآة القلب,8
the fewer the better fare,الزحام يقلل اللقمة,5
the first step is always the hardest,أول الغيث قطرة,6
the fish rots from the head,إذا فسد الراعي فسد الرعية,8
the forbidden fruit tastes the sweetest,كل ممنوع مرغوب,10
the fox may grow grey but never good,الطبع غلاب,9
the game is not worth the candle,التعب لا يساوي الغنيمة,6
the grass is always greener,الجار دائمًا عشبه أخضر,6
the grass is always greener (on the other side,القناعة كنز لا يفنى,7
the grass is always greener on the other side,القناعة كنز لا يفنى,8
the grass is always greener on the other side of the fence,القناعة كنز لا يفنى,8
the grass is always greener on the other side of the road,القناعة كنز لا يفنى,7
the hand that rocks the cradle is the hand that rules the world,الأم مدرسة إذا أعددتها أعددت شعبًا طيب الأعراق,7
the hand that rocks the cradle rules the world,الأم مدرسة إذا أعددتها أعددت شعبًا طيب الأعراق,7
the heart wants what it wants,القلب وما يهوى,8
the heart wants what the heart wants,القلب وما يهوى,8
the highest branch is not the safest roost,كلما علا السهل بان انحداره,4
the hit dog hollers,اللي على راسه بطحة يتحسسها,10
the house always wins,دائمًا الغلبة لصاحب المال,5
the husband is always the last to know,أهل البيت أدرى بما فيه,3
the innocent seldom find an uncomfortable pillow,من نام مظلوم لا يستيقظ إلا منصورًا,4
the jug goes to the well until it breaks,ما طار طير وارتفع إلا كما طار وقع,5
the laborer is worthy of his hire,أعطِ الأجير أجره قبل أن يجف عرقه,10
the labourer is worthy of his hire,أعطِ الأجير أجره قبل أن يجف عرقه,10
the last drop makes the cup run over,القشة التي قصمت ظهر البعير,10
the left hand doesn't know what the right hand is doing,تضارب الأيدي يفسد العمل,4
the leopard does not change his spots,الطبع يغلب التطبع,10
the light is on but nobody is home,شكله شكل عالم وعقله عقل طفل,4
the longest day must have an end,ما بعد الضيق إلا الفرج,7
the longest journey starts with a single step,رحلة الألف ميل تبدأ بخطوة,10
the lord helps those that help themselves,اسعَ يا عبد وأنا أسعى معاك,9
the lord helps those who help themselves,اسعَ يا عبد وأنا أسعى معاك,9
the lord works in mysterious ways,لله في خلقه شؤون,8
the love of money is the root of all evil,حب المال رأس كل خطيئة,9
the mill cannot grind with water that is past,لا يُغني حذر من قدر,3
the mills of the gods grind slowly,إن الله يمهل ولا يهمل,10
the moon is made of green cheese,يبيعك كلامًا في الهوا,3
the more the merrier,اللمة تحلى بكثرة أهلها,6
"the more things change, the more they stay the same",ما أشبه اليوم بالبارحة,9
"the more you know, the higher you go",اطلبوا العلم من المهد إلى اللحد,6
the nail that sticks out gets hammered down,امشِ مع الناس يا شقرا,7
the nail that sticks up gets hammered down,امشِ مع الناس يا شقرا,7
the nut does not fall far from the tree,هذا الشبل من ذاك الأسد,10
the only disability in life is a bad attitude,العبرة بعقل الرجل لا بجسمه,7
the only way to find a friend is to be one,كما تدين تدان,6
the pen is mightier than the sword,القلم أصدق إنباءً من السيف,10
the perfect is the enemy of the good,خير الأمور أوسطها,7
the pitcher goes so often to the well that it is broken at last,ما أكثر الدق يفلق الحجر,8
the poor we will always have with us,الناس درجات,5
the pot calling the kettle black,رمتني بدائها وانسلت,10
the proof is in the eating,الجواب يظهر من عنوانه,6
the proof is in the pudding,الجواب يظهر من عنوانه,6
the proof of the pudding is in the eating,الجواب يظهر من عنوانه,6
the rich get richer,المال يجر المال,9
the rich get richer and the poor get poorer,المال يجر المال والفقر يجر الفقر,7
the road to hell is paved with good intentions,النية وحدها لا تكفي,6
the second mouse gets the cheese,في التأني السلامة,6
the shoemaker always wears the worst shoes,باب النجار مخلّع,10
the shoemaker's children go barefoot,باب النجار مخلّع,10
the shoemaker's son always goes barefoot,باب النجار مخلّع,10
the sky is the limit,الطموح بلا حدود,8
the sky's the limit,الطموح بلا حدود,8
the spirit is strong but the flesh is weak,الهوى يغلب القوى,7
"the spirit is strong, but the flesh is weak",الهوى يغلب القوى,7
the spirit is willing but the flesh is weak,الهوى يغلب القوى,7
"the spirit is willing, but the flesh is weak",الهوى يغلب القوى,7
the squeaky wheel gets the grease,اللي يِبكي ياخد لبن,8
the squeaky wheel gets the oil,اللي يِبكي ياخد لبن,8
the streets are paved with gold,يظن أن الفلوس تنبت على الشجر,6
the strong do what they can and the weak suffer what they must,القوي يأكل الضعيف,9
"the strong do what they can, the weak suffer what they must",القوي يأكل الضعيف,9
the tongue wounds more than a lance,جراحات السنان لها التئام ولا يلتام ما جرح اللسان,10
the truth is effortless,حبل الكذب قصير,6
the truth is in the wine,إذا سكر قال الحق,7
the truth will set you free,الصدق منجاة,10
the victor gets the spoils,الغنيمة لمن سبق,7
"the voice of the people, the voice of god",رضا الناس من رضا الله,6
the way to a man's heart is through his stomach,أقرب طريق لقلب الرجل معدته,10
the wheel turns,تلك الأيام نداولها بين الناس,9
the whistle does not pull the train,ليس الكلام كالفعل,6
the whistle doesn't pull the train,ليس الكلام كالفعل,6
the winner takes it all,الغالب يأكل الشحم,8
the wolf may lose his teeth but never his nature,الذئب ما يهرول عبث,5
the work praises the man,الرجال أعمال لا أقوال,8
the world is someone's oyster,الدنيا قدامك,5
the) truth will out,لا يضيع حق وراءه مطالب,7
them that has gets,المال يجلب المال,9
"them that has, gets",المال يجلب المال,9
"them that has, gets more",المال يجلب المال,9
them what has gets,المال يجلب المال,9
"them what has, gets",المال يجلب المال,9
"them what has, gets more",المال يجلب المال,9
there ain't no such thing as a free lunch,ما في شيء ببلاش,10
there are always more fish in the sea,الباب اللي يجيك منه الريح سده واستريح,4
there are bad apples in every orchard,في كل بلد الصالح والطالح,9
there are many ways to skin a cat,الطرق إلى الله بعدد أنفاس الخلائق,6
there are more horses' asses than horses,الحمقى أكثر من الهم على القلب,5
there are more ways of killing a cat than choking it with cream,تعددت الوسائل والموت واحد,7
there are no atheists in foxholes,إذا ضاق الأمر اتسع باب الدعاء,6
there are none so blind as those who will not see,من لا يريد أن يفهم لا تنفعه ألف كلمة,7
there are none so deaf as those who will not hear,لا حياة لمن تنادي,10
there are plenty more fish in the sea,الباب اللي يجيك منه الريح سده واستريح,5
there are plenty more pebbles on the beach,ما أكثر الخيل وما أقل الفرسان,4
there are plenty of fish in the sea,الباب اللي يجيك منه الريح سده واستريح,5
there are plenty of pebbles on the beach,ما أكثر الخيل وما أقل الفرسان,4
there are two sides to every question,لكل قصة وجهان,8
there are two sides to every story,لكل قصة وجهان,10
there but for the grace of god go i,لولا ستر الله لكنت في حالٍ أسوأ,6
there is a lid for every pot,كل فولة ولها كيّال,7
there is a place and time for everything,لكل مقام مقال,10
there is a time and a place for everything,لكل مقام مقال,10
there is a time and place for everything,لكل مقام مقال,10
there is an exception to every rule,لكل قاعدة شواذ,10
there is many a good tune played on an old fiddle,العتيق تحلى به ولو كان خِرقة,7
there is more than one way to skin a cat,الطرق إلى الله بعدد أنفاس الخلائق,6
there is no accounting for tastes,لولا اختلاف الأذواق لبارت السلع,10
there is no fool like an old fool,كبر الجمل وكبرت علاته,7
there is no honor among thieves,من خان مرة خان ألف مرة,6
there is no i in team,يد واحدة لا تصفق,8
there is no place like home,ما في أحلى من الدار ولو كانت من قش,9
there is no shame in not knowing; the shame lies in not finding out,من قال لا أعلم فقد أفتى,8
"there is no smoke without fire/where there is smoke, there is fire",ما في دخان من غير نار,10
there is no such thing as a free lunch,ما في شيء ببلاش,8
there is no time like the present,ما بعد العسر إلا ما هو أعسر إلا ما كان من أمر هذا اليوم,3
there is nothing new under the sun,ما أشبه اليوم بالبارحة,9
there is one born every minute,ما ينقطع النصب من الدنيا,4
there is safety in numbers,في الاتحاد قوة,9
there is strength in numbers,في الاتحاد قوة,10
there's a first time for everything,لكل شيء بداية,9
there's a lid for every pot,كل فولة ولها كيّال,7
there's a place and time for everything,لكل مقام مقال,10
there's a rotten apple in every barrel,في كل بيت عيب,6
there's a sucker born every minute,الدنيا ما تخلى من المغفلين,7
there's a time and a place for everything,لكل مقام مقال,10
there's a time and place for everything,لكل مقام مقال,10
there's always a bigger fish,فوق كل ذي علم عليم,6
there's many a good tune played on an old fiddle,العتيق تحلى به ولو كان خِرقة,7
there's many a slip 'twixt the cup and the lip,ما تقول فول حتى يصير بالمكيول,10
there's many a slip between the cup and the lip,ما تقول فول حتى يصير بالمكيول,10
there's many a slip twixt cup and lip,ما تقول فول حتى يصير بالمكيول,10
there's many a slip twixt the cup and the lip,ما تقول فول حتى يصير بالمكيول,10
there's more than one way to cook an egg,الطرق إلى الله بعدد أنفاس الخلائق,6
there's more than one way to crack an egg,الطرق إلى الله بعدد أنفاس الخلائق,6
there's more than one way to feed a cat,الطرق إلى الله بعدد أنفاس الخلائق,6
there's more than one way to peel an orange,كل الطرق تؤدي إلى روما,7
there's more than one way to skin a cat,تعددت الوسائل والهدف واحد,8
there's no accounting for taste,لولا اختلاف الأذواق لبارت السلع,10
there's no fool like an old fool,ما يطيح إلا الشاطر,6
there's no i in team,يد واحدة لا تصفق,9
there's no need to wear a hair shirt,لا تحمل نفسك ما لا تطيق,7
there's no place like home,ما في أحلى من البيت,9
there's no point crying over spilt milk,لا تبك على اللبن المسكوب,10
there's no smoke without fire,ما في دخان من غير نار,10
there's no time like the present,ما حك جلدك مثل ظفرك فَتَوَلَّ أنت جميع أمرك,6
there's no use crying over spilt milk,فات الفوت ما ينفع الصوت,10
there's none so blind as those who will not see,من لا يريد أن يفهم لا تنفع معه ألف كلمة,6
there's nowt so queer as folk,لولا اختلاف العقول لبارت السلع,7
there's one born every minute,ما خلى من الهبل بلد,6
they hate us 'cause they ain't us,الناس أعداء ما جهلوا,7
they that sow the wind shall reap the whirlwind,من حفر حفرة لأخيه وقع فيها,7
they'll do it every time,الطبع يغلب التطبع,8
third time is a charm,الثالثة ثابتة,9
third time pays for all,الثالثة ثابتة,9
third time's a charm,الثالثة ثابتة,10
third time's the charm,الثالثة ثابتة,10
this too shall pass,دوام الحال من المحال,9
this too shall pass away,ما بعد الضيق إلا الفرج,8
those that have get,المال يجلب المال,8
those that have get more,المال يجلب المال,9
"those that have, get",المال للمال,7
"those that have, get more",المال يجلب المال,9
those who do not learn from history are doomed to repeat it,التاريخ يعيد نفسه,9
those who have get,المال يجلب المال,8
those who have get more,المال يجلب المال,9
"those who have, get",المال للمال,7
"those who have, get more",المال يجلب المال,9
those who know many languages live as many lives as the languages they know,من تعلم لغة قوم أمن مكرهم,7
those who live in glass houses should not throw stones,من كان بيته من زجاج فلا يرشق الناس بالحجارة,10
those who live in glass houses shouldn't throw stones,من كان بيته من زجاج فلا يرشق الناس بالحجارة,10
those who say it cannot be done should not interrupt those doing it,من جد وجد ومن زرع حصد,6
those who sleep with dogs will rise with fleas,من عاشر القوم أربعين يومًا صار منهم,8
"those who will not when they may, when they will they shall have nay",إذا هبَّت رياحك فاغتنمها,7
three times a charm,الثالثة ثابتة,10
"throw dirt enough, and some will stick",رُبَّ كلمةٍ قالت لصاحبها دعني,5
throw enough mud at the wall and some of it will stick,رُبَّ كلمةٍ قالت لصاحبها دعني,5
"throw enough mud at the wall, some of it will stick",رُبَّ كلمةٍ قالت لصاحبها دعني,5
tide nor time tarrieth no man,الوقت كالسيف إن لم تقطعه قطعك,8
time and tide stay for no man,الوقت كالسيف إن لم تقطعه قطعك,9
time and tide tarry for no man,الوقت كالسيف إن لم تقطعه قطعك,9
time and tide wait for no man,الوقت كالسيف إن لم تقطعه قطعك,9
time flies,الأيام تجري,7
time flies when you're having fun,ساعات الفرح تمر كلمح البصر,7
time heals,الزمن كفيل بجبر الخواطر,8
time heals all hurts,الزمن كفيل بجبر الخواطر,8
time heals all sorrows,الزمن كفيل بجبر الخواطر,8
time heals all things,الزمن كفيل بجبر الخواطر,8
time heals all wounds,الزمن كفيل بجبر الخواطر,9
time heals every wound,الزمن كفيل بجبر الخواطر,9
time is a great healer,الزمن كفيل بجبر الخواطر,9
time is a great healer of all wounds,الزمن كفيل بجبر الخواطر,9
time is money,الوقت من ذهب,10
time is the great healer,الزمن كفيل بجبر الخواطر,9
time is wasted without purpose,الوقت كالسيف إن لم تقطعه قطعك,7
timing is everything,لكل شيء أوان,9
tis better to have loved and lost than never to have loved at all,ما الحب إلا للحبيب الأول,5
"to a hammer, everything looks like a nail",كلٌ يرى الناس بعين طبعه,8
to each his own,لولا اختلاف الأذواق لبارت السلع,9
to each their own,لولا اختلاف الأذواق لبارت السلع,9
to err is human,الإنسان خطّاء,9
"to err is human, to forgive divine",العفو عند المقدرة من شيم الكرام,8
"to err is human; to forgive, divine",العفو عند المقدرة من شيم الكرام,8
to the victor go the spoils,الغنيمة لمن سبق,7
to the victor the spoils,الغنيمة لمن سبق,7
to thine own self be true,من عرف قدر نفسه ما ظلمها,7
to travel hopefully is a better thing than to arrive,لذة الطريق في السير لا في الوصول,7
today is a good day to die,الموت مع العز ولا الحياة مع الذل,7
tomorrow is another day,لا تحزن فالغد يوم جديد,6
tomorrow never comes,لا تؤجل عمل اليوم إلى الغد,9
"too little, too late",بعد فوات الأوان,8
too many chefs spoil the broth,كثرة الطباخين تحرق الطبخة,10
too many cooks spoil the broth,كثرة الطباخين تحرق الطبخة,10
too many cooks spoil the soup,كثرة الطباخين تحرق الطبخة,10
too many cooks spoil the stew,كثرة الطباخين تحرق الطبخة,10
too many cooks spoils the broth,كثرة الطباخين تحرق الطبخة,10
too much bed makes a dull head,كثرة النوم تفسد العقل,6
too much pudding will choke a dog,كل ما زاد عن حده انقلب إلى ضده,9
too much rain makes a flood,كل ما زاد عن حده انقلب إلى ضده,9
too much water drowned the miller,كل ما زاد عن حده انقلب إلى ضده,9
"trust every man, but cut the cards",اعقلها وتوكل,8
"trust everybody, but always cut the cards",اعقلها وتوكل,8
"trust everybody, but always cut the deck",اعقلها وتوكل,8
"trust everybody, but cut the cards",اعقلها وتوكل,8
"trust everybody, but cut the deck",اعقلها وتوكل,8
"trust your friends, but cut the cards",اعقلها وتوكل,8
"trust, but verify",اعقلها وتوكل,9
truth is more valuable if it takes you a few years to find it,من جد وجد ومن سار على الدرب وصل,5
truth is stranger than fiction,واقع أغرب من الخيال,8
truth will out,لا يضيع الحق وراءه مطالب,8
turn your face toward the sun and the shadows fall behind you,تفاءلوا بالخير تجدوه,7
turnabout is fair play,كما تدين تدان,9
two birds with one stone,ضرب عصفورين بحجر واحد,10
two can play at that game,كما تدين تدان,7
two can play that game,كما تدين تدان,7
two heads are better than one,يد واحدة لا تصفق,8
"two is company, but three is a crowd",الزيادة عن الحد تولِّد الملل,5
two wrongs do not make a right,لا تُصلَح الخطيئة بالخطيئة,7
two wrongs don't make a right,لا تُصلَح الخطيئة بالخطيئة,7
two's company and three is none,الزيادة عن الحد تولِّد الملل,5
"two's company, three's a crowd",الزيادة عن الحد تولِّد الملل,5
"two's company, three's trumpery",الزيادة عن الحد تقلب إلى الضد,6
ugly is as ugly does,الجمال جمال الروح والأخلاق,7
underpromise and overdeliver,وعد الحر دين عليه,6
uneasy lies the head that wears a crown,مع كثرة النعم تكثر الهموم,6
union is strength,الاتحاد قوة,10
union makes strength,الاتحاد قوة,10
united we bargain; divided we beg,يدٌ واحدة لا تصفّق,7
"united we stand, divided we fall",الاتحاد قوة والفرقة ضعف,10
unity is strength,في الاتحاد قوة,10
unity makes strength,في الاتحاد قوة,10
"until the lions have their historians, tales of the hunt shall always glorify the hunter",التاريخ يكتبه المنتصرون,9
up a creek without a paddle,وقع الفأس في الرأس,8
use it or lose it,من جدّ وجد,5
variety is the spice of life,التغيير راحة,6
virtue is its own reward,افعل الخير وارمه في البحر,8
walk softly and carry a big stick,اتق شر الحليم إذا غضب,6
walk softly but carry a big stick,اتق شر الحليم إذا غضب,6
walls have ears,للحيطان آذان,10
walnuts and pears you plant for your heirs,ازرع خيرًا تجنِ خيرًا,5
"waste not, want not",القرش الأبيض ينفع في اليوم الأسود,9
water finds its level,الطيور على أشكالها تقع,7
water finds its own level,الطيور على أشكالها تقع,7
water seeks its level,الطيور على أشكالها تقع,7
water seeks its own level,الطيور على أشكالها تقع,7
we are where we are,اللي فات مات,5
well begun is half done,الخير في أوله,7
well done is better than well said,الأفعال أبلغ من الأقوال,10
what cannot be cured must be endured,ما لا يُدرك كله لا يُترك جله,6
what comes around goes around,كما تدين تدان,10
what does not kill me makes me stronger,الضربة التي لا تميت تقوّي,9
what doesn't kill you makes you stronger,الضربة التي لا تميت تقوّي,9
what go round come round,كما تدين تدان,10
what goes around comes around,كما تدين تدان,10
"what goes around, comes around",كما تدين تدان,10
what goes round comes round,كما تدين تدان,10
what goes up must come down,ما طار طير وارتفع إلا كما طار وقع,10
what happens in las vegas stays in las vegas,ما يحدث في الخفاء يبقى في الخفاء,6
