en,fr,confidence
"no matter how thin you slice it, it's still baloney",On ne fait pas d’un âne un cheval de course,7
"no matter how thin you slice it, it's still boloney",On ne fait pas d’un âne un cheval de course,7
"no matter how you slice it, it's still the same old baloney",On ne fait pas d’un âne un cheval de course,7
"no mill, no meal",On ne fait pas de pain sans farine,8
no news is good news,"Pas de nouvelles, bonnes nouvelles",10
no one can make you feel inferior without your consent,On n’est jamais servi que par soi-même,3
no one is born a master,C’est en forgeant qu’on devient forgeron,10
no one should be judge in his own case,Nul ne peut être juge et partie,10
no one should be judge in his own cause,Nul ne peut être juge et partie,10
"no pain, no gain",On n’a rien sans rien,9
no peace for the weary,Pas de repos pour les braves,7
no rest for the weary,Pas de repos pour les braves,7
no rest for the wicked,Pas de repos pour les méchants,9
no rose without a thorn,Il n’y a pas de rose sans épines,10
no sleep for the wicked,Pas de repos pour les méchants,9
no smoke without fire,Il n’y a pas de fumée sans feu,10
no time like the present,Il n’y a pas de temps comme le présent,6
nothing gold can stay,Toutes les bonnes choses ont une fin,6
nothing is certain but death and taxes,On n’échappe ni à la mort ni aux impôts,5
nothing is said that has not been said before,Rien de nouveau sous le soleil,8
nothing new under the sun,Rien de nouveau sous le soleil,10
nothing succeeds like success,Le succès attire le succès,8
"nothing ventured, nothing gained",Qui ne tente rien n’a rien,10
oil and water do not mix,L’eau et l’huile ne se mélangent pas,7
oil and water don't mix,L’eau et l’huile ne se mélangent pas,7
old habits die hard,"Chassez le naturel, il revient au galop",10
old sins cast long shadows,Les vieilles fautes laissent de longues ombres,4
old sins have long shadows,Qui a bu boira,6
"once a man, twice a boy","Deux fois enfant, une fois homme",7
"once a man, twice a child","Deux fois enfant, une fois homme",8
"once a thief, always a thief","Voleur un jour, voleur toujours",10
"once a woman, twice a child","Deux fois enfant, une fois femme",6
once an adult and twice a child,"Deux fois enfant, une fois adulte",7
"once an adult, twice a child","Deux fois enfant, une fois adulte",8
"once bitten, twice shy",Chat échaudé craint l’eau froide,10
"once burned, twice cautious",Chat échaudé craint l’eau froide,9
"once burned, twice shy",Chat échaudé craint l’eau froide,10
"once hurt, twice shy",Chat échaudé craint l’eau froide,9
"once on shore, we pray no more","Passé le danger, on oublie le saint",9
one bad apple can spoil the barrel,Une pomme pourrie gâte tout le panier,9
one bad apple can spoil the whole bunch,Une pomme pourrie gâte tout le panier,9
one bad turn deserves another,Un prêté pour un rendu,8
one can run but one can't hide,On peut fuir mais pas se cacher,5
one can't break a stick in a bundle,L’union fait la force,9
one can't break a twig in a bundle,L’union fait la force,9
one can't break sticks in a bundle,L’union fait la force,9
one can't carry two watermelons under one arm,On ne peut pas être au four et au moulin,8
one can't hold two watermelons in one hand,On ne peut pas être au four et au moulin,8
one cannot break a stick in a bundle,L’union fait la force,9
one cannot break a twig in a bundle,L’union fait la force,9
one good turn deserves another,Un service en vaut un autre,10
one hair of a woman can draw more than a hundred pair of oxen,Cheveux de femme tirent plus que cordes de pendu,7
one half of the world does not know how the other half lives,Un monde ignore comment vit l’autre,4
one hand can't hold two watermelons,On ne peut pas être au four et au moulin,8
one hand washes the other,Une main lave l’autre,10
one law for the rich and another for the poor,"Selon que vous serez puissant ou misérable, les jugements de cour vous rendront blanc ou noir",9
one man's fish is another man's poison,Les goûts et les couleurs ne se discutent pas,8
one man's fish is another man's poisson,Les goûts et les couleurs ne se discutent pas,7
one man's loss is another man's gain,Le malheur des uns fait le bonheur des autres,10
one man's meat is another man's poison,Les goûts et les couleurs ne se discutent pas,10
one man's terrorist is another man's freedom fighter,La vérité de l’un n’est pas celle de l’autre,5
one man's trash is another man's treasure,Le malheur des uns fait le bonheur des autres,7
one may as well hang for a sheep as a lamb,"Quitte à être pendu, autant voler un bœuf qu’un œuf",10
one might as well be hanged for a sheep as a lamb,"Quitte à être pendu, autant voler un bœuf qu’un œuf",10
one might as well throw water into the sea as to do a kindness to rogues,Charité bien ordonnée commence par soi-même,4
one nail drives out another,Un clou chasse l’autre,10
one should never meet one's heroes,Il ne faut pas rencontrer ses idoles,6
one swallow does not a spring make,Une hirondelle ne fait pas le printemps,10
one swallow does not a summer make,Une hirondelle ne fait pas le printemps,10
one swallow does not make a spring,Une hirondelle ne fait pas le printemps,10
one swallow does not make a summer,Une hirondelle ne fait pas le printemps,10
one swallow doesn't a spring make,Une hirondelle ne fait pas le printemps,10
one swallow doesn't a summer make,Une hirondelle ne fait pas le printemps,10
one swallow doesn't make a spring,Une hirondelle ne fait pas le printemps,10
one swallow doesn't make a summer,Une hirondelle ne fait pas le printemps,10
"one who believes in sword, dies by the sword",Qui vit par l’épée périra par l’épée,10
one who hesitates is lost,Qui hésite est perdu,9
"one who speaks only one language is one person, but one who speaks two languages is two people","Autant de langues, autant de fois homme",8
one woman's trash is another woman's treasure,Le malheur des uns fait le bonheur des autres,7
one year's seeding makes seven years weeding,On récolte ce que l’on sème,7
one's time is one's own,"Le temps, c’est la liberté",2
only dead fish go with the flow,Il n’y a que les poissons morts qui suivent le courant,9
only the good die young,Les meilleurs partent les premiers,8
only time will tell,Seul l’avenir le dira,9
open confession is good for the soul,Faute avouée est à moitié pardonnée,10
opinions are like assholes,"Des avis, tout le monde en a",6
opportunity does not knock until you build a door,"Aide-toi, le ciel t’aidera",7
opportunity knocks at every man's door,À chacun sa chance,8
opportunity makes a thief,L’occasion fait le larron,10
opportunity makes the thief,L’occasion fait le larron,10
opportunity never knocks twice at any man's door,L’occasion ne se présente pas deux fois,9
opportunity seldom knocks twice,L’occasion ne se présente pas deux fois,9
opposites attract,Les contraires s’attirent,10
"other days, other ways","Autres temps, autres mœurs",9
other times other manners,"Autres temps, autres mœurs",10
out of sight is out of mind,"Loin des yeux, loin du cœur",10
"out of sight, out of mind","Loin des yeux, loin du cœur",10
out of the frying pan and into the fire,Tomber de Charybde en Scylla,10
out of the mouths of babes,La vérité sort de la bouche des enfants,10
out of the mouths of babes and sucklings,La vérité sort de la bouche des enfants,9
"outta sight, outta mind","Loin des yeux, loin du cœur",10
patience is a virtue,Tout vient à point à qui sait attendre,9
pearls of wisdom,Paroles pleines de sagesse,6
penny wise and pound foolish,Être économe de bouts de chandelle,8
"penny, penny. makes many",Les petits ruisseaux font les grandes rivières,10
people that live in glass houses should not throw stones,Qui veut tuer son chien l’accuse de la rage,3
"people who have, get",On ne prête qu’aux riches,10
"people who have, get more",On ne prête qu’aux riches,10
perfect is the enemy of good,Le mieux est l’ennemi du bien,10
perfect is the enemy of good enough,Le mieux est l’ennemi du bien,10
perfection is the enemy of good,Le mieux est l’ennemi du bien,10
"physician, heal thyself",Charité bien ordonnée commence par soi-même,8
"pink sky at night, sailors' delight; pink sky at morning, sailors take warning","Ciel rouge le soir, laisse bon espoir ; ciel rouge le matin, pluie en chemin",9
"pink sky at night, sailors' delight; pink sky in the morning, sailors take warning","Ciel rouge le soir, laisse bon espoir ; ciel rouge le matin, pluie en chemin",9
pitchers have ears,Les murs ont des oreilles,10
"play stupid games, win stupid prizes",Qui sème le vent récolte la tempête,9
plus ça change,"Plus ça change, plus c’est la même chose",10
possession is nine points of the law,Possession vaut titre,8
possession is nine-tenths of the law,Possession vaut titre,8
"power corrupts, absolute power corrupts absolutely","Le pouvoir corrompt, le pouvoir absolu corrompt absolument",7
power corrupts; absolute power corrupts absolutely,"Le pouvoir corrompt, le pouvoir absolu corrompt absolument",7
practice makes perfect,C’est en forgeant qu’on devient forgeron,10
practice makes progress,C’est en forgeant qu’on devient forgeron,8
practice what you preach,Il faut prêcher d’exemple,8
preaching to the choir,Prêcher des convaincus,9
"right or wrong, my country","Quoi qu’il arrive, c’est mon pays",6
risk it for a biscuit,Qui ne tente rien n’a rien,10
rome was not built in a day,Paris ne s’est pas fait en un jour,10
rome was not built in one day,Paris ne s’est pas fait en un jour,10
rome wasn't built in a day,Paris ne s’est pas fait en un jour,10
rome wasn't burned in a day,Paris ne s’est pas fait en un jour,7
"rubbish in, rubbish out","À mauvais ouvrier, point de bons outils",5
rules are made to be broken,Les règles sont faites pour être transgressées,6
rules are meant to be broken,Les règles sont faites pour être transgressées,6
rules are rules,Un règlement est un règlement,7
rules are there to be broken,Les règles sont faites pour être transgressées,6
rules is rules,Un règlement est un règlement,6
rules were made to be broken,Les règles sont faites pour être transgressées,6
"same shit, different toilet","Même merde, autre emballage",4
sauce for the goose,Ce qui est bon pour l’un est bon pour l’autre,7
scientia potentia est,"Savoir, c’est pouvoir",10
see naples and die,Voir Naples et mourir,10
"see no evil, hear no evil, speak no evil","Ne rien voir, ne rien entendre, ne rien dire",9
seeing is believing,"Voir, c’est croire",10
seek and ye shall find,Qui cherche trouve,10
self-praise is no recommendation,On n’est jamais si bien servi que par soi-même,2
set a beggar on horseback and he'll ride to the devil,À cheval donné on ne regarde pas la bride,2
set a thief to catch a thief,Il faut un voleur pour en connaître un autre,6
sex sells,Le sexe fait vendre,8
shallow brooks are noisy,Les tonneaux vides sont ceux qui font le plus de bruit,9
shared joy is double joy,La joie partagée est une joie multipliée,6
shared sorrow is half sorrow,Un malheur partagé est un malheur allégé,6
shiny are the distant hills,L’herbe est toujours plus verte chez le voisin,9
shirtsleeves to shirtsleeves in three generations,"Riche en trois générations, pauvre en quatre",5
shit rolls downhill,La merde tombe toujours en bas,7
"shoemaker, stick to your last",À chacun son métier et les vaches seront bien gardées,10
short accounts make long friends,Les bons comptes font les bons amis,10
short reckonings make long friends,Les bons comptes font les bons amis,10
shrouds have no pockets,On n’emporte pas ses richesses dans la tombe,9
shy bairns get noot,Qui ne tente rien n’a rien,10
shy bairns get nowt,Qui ne tente rien n’a rien,10
silence is consent,Qui ne dit mot consent,10
silence is golden,Le silence est d’or,10
slow and steady wins the race,"Rien ne sert de courir, il faut partir à point",10
slow but sure,"Petit à petit, l’oiseau fait son nid",8
slow but sure wins the race,"Rien ne sert de courir, il faut partir à point",10
small rain lays great dust,Les petits ruisseaux font les grandes rivières,8
snake in the grass,Un serpent dans l’herbe,7
"softly, softly, catchee monkey",Doucement mais sûrement,7
some are more equal than others,"Selon que vous serez puissant ou misérable, les jugements de cour vous rendront blanc ou noir",8
some days you eat the bear and some days the bear eats you,"Un jour on rit, un jour on pleure",7
"some days you get the bear, other days the bear gets you","Un jour on rit, un jour on pleure",7
something is better than nothing,C’est mieux que rien,10
sometimes you eat the bear and sometimes the bear eats you,"Un jour on rit, un jour on pleure",7
sow the wind and reap the whirlwind,Qui sème le vent récolte la tempête,10
"sow the wind, reap the whirlwind",Qui sème le vent récolte la tempête,10
spare the rod and spoil the child,Qui aime bien châtie bien,9
spare the rod and you will spoil the child,Qui aime bien châtie bien,9
"spare the rod, spoil the child",Qui aime bien châtie bien,9
speak as you find,Appeler un chat un chat,8
speak of the devil and he appears,"Quand on parle du loup, on en voit la queue",10
speak of the devil and he shall/is sure/will appear,"Quand on parle du loup, on en voit la queue",10
speak softly and carry a big stick,Il faut ménager la chèvre et le chou,3
speech is silver but) silence is golden,"La parole est d’argent, mais le silence est d’or",10
"speech is silver, but silence is golden","La parole est d’argent, mais le silence est d’or",10
"speech is silver, silence is gold","La parole est d’argent, le silence est d’or",10
"speech is silver, silence is golden","La parole est d’argent, le silence est d’or",10
squeaky wheels get oiled,Qui ne dit mot n’a rien,7
start from where you are,"Petit à petit, l’oiseau fait son nid",5
sticks in a bundle are unbreakable,L’union fait la force,10
sticks in a bundle can't be broken,L’union fait la force,10
sticks in a bundle cannot be broken,L’union fait la force,10
still water runs deep,Il n’est pire eau que l’eau qui dort,10
still waters run deep,Il n’est pire eau que l’eau qui dort,10
strike while the iron is hot,Il faut battre le fer pendant qu’il est chaud,10
stupid is as stupid does,Il n’y a pas plus sourd que celui qui ne veut pas entendre,5
"success depends on your backbone, not your wishbone",On n’a rien sans rien,8
"success has many fathers, failure is an orphan","La victoire a cent pères, la défaite est orpheline",9
"success has many fathers, while failure is an orphan","La victoire a cent pères, la défaite est orpheline",9
sufficient unto the day is the evil thereof,À chaque jour suffit sa peine,10
sunlight is the best disinfectant,La lumière du jour est le meilleur désinfectant,6
take care of the pence and the pounds will take care of themselves,Les petits ruisseaux font les grandes rivières,9
take care of the pennies and the pounds will take care of themselves,Les petits ruisseaux font les grandes rivières,9
"take care of the pennies, and the pounds will take care of themselves",Les petits ruisseaux font les grandes rivières,9
take the cash and let the credit go,Un tiens vaut mieux que deux tu l’auras,10
takes one to know one,C’est le monde à l’envers,4
talk is cheap,"Les paroles s’envolent, les écrits restent",7
"talk of the devil, and he is bound to appear","Quand on parle du loup, on en voit la queue",10
talk softly and carry a big stick,Il faut savoir ménager la chèvre et le chou,4
tall oaks from little acorns grow,Les grands chênes naissent de petits glands,7
teamwork makes the dream work,L’union fait la force,8
"tell me who your friends are, and i'll tell you who you are","Dis-moi qui tu hantes, je te dirai qui tu es",10
tell the truth and shame the devil,La vérité finit toujours par se savoir,7
tempus fugit,Le temps passe vite,6
that which doesn't kill you makes you stronger,Ce qui ne tue pas rend plus fort,10
that's how the cookie crumbles,C’est la vie,8
that's the way it goes,C’est comme ça,9
that's the way life is,C’est la vie,10
that's the way the ball bounces,C’est le jeu,8
that's the way the cookie crumbles,C’est la vie,8
that's the way the mop flops,C’est comme ça,8
the age of miracles is past,Le temps des miracles est passé,6
the apple does not fall far from the stem,Les chiens ne font pas des chats,9
the apple does not fall far from the tree,Les chiens ne font pas des chats,10
the apple does not fall far from the trunk,Les chiens ne font pas des chats,9
the apple does not fall/never falls far from the tree,Les chiens ne font pas des chats,10
the apple doesn't fall far from the tree,Les chiens ne font pas des chats,10
the apple never falls far from the tree,Les chiens ne font pas des chats,10
the apples on the other side of the wall are the sweetest,L’herbe est toujours plus verte chez le voisin,10
the bad penny always comes back,On revoit toujours les mêmes têtes,6
the bad penny always turns up,On revoit toujours les mêmes têtes,6
the best defence is attack,"La meilleure défense, c’est l’attaque",10
the best defense is a good offense,"La meilleure défense, c’est l’attaque",10
the best is the enemy of the good,Le mieux est l’ennemi du bien,10
the best laid plans of mice and men go oft astray,Rien ne se passe jamais comme prévu,7
the best laid plans of mice and men often go awry,Rien ne se passe jamais comme prévu,7
the best things in life are free,Les meilleures choses de la vie sont gratuites,8
the best-laid schemes of mice and men often go awry,Rien ne se passe jamais comme prévu,7
the better is the enemy of the good,Le mieux est l’ennemi du bien,10
"the bigger they are, the harder they fall","Plus ils sont grands, plus dure est la chute",10
"the bigger they come, the harder they fall","Plus ils sont grands, plus dure est la chute",10
the boy is father to the man,C’est au berceau qu’on voit le génie,6
the bread never falls but on its buttered side,La tartine tombe toujours du côté beurré,10
the burnt child dreads the fire,Chat échaudé craint l’eau froide,10
the burnt child fears the fire,Chat échaudé craint l’eau froide,10
the candle that burns twice as bright burns half as long,Qui brûle sa chandelle par les deux bouts ne la fait pas durer longtemps,8
the captain goes down with the ship,Un bon capitaine ne quitte pas son navire,8
the cat would eat fish but would not wet her feet,On ne peut pas avoir le beurre et l’argent du beurre,7
the chickens come home to roost,On récolte ce que l’on sème,9
the child is the father of the man,C’est au berceau qu’on voit le génie,6
the cobbler always wears the worst shoes,Les cordonniers sont les plus mal chaussés,10
the cobbler's children are the worst shod,Les cordonniers sont les plus mal chaussés,10
the cobbler's children go barefoot,Les cordonniers sont les plus mal chaussés,10
the course of true love never did run smooth,L’amour n’est pas un long fleuve tranquille,10
the cow knows not the worth of its tail till it loses it,On ne connaît la valeur des choses qu’en les perdant,7
the cowl does not make the monk,L’habit ne fait pas le moine,10
the customer is always right,Le client est roi,10
the darkest hour is always just before the dawn,C’est la nuit qu’il fait le plus sombre juste avant l’aube,7
the darkest hour is just before the dawn,C’est la nuit qu’il fait le plus sombre juste avant l’aube,7
the darkest place is under the candlestick,C’est toujours près de la chandelle qu’il fait le plus sombre,6
the devil finds work for idle hands,L’oisiveté est la mère de tous les vices,10
the devil finds work for idle hands to do,L’oisiveté est la mère de tous les vices,10
the devil is in the detail,Le diable se cache dans les détails,10
the devil is in the details,Le diable se cache dans les détails,10
the devil looks after his own,Le diable protège les siens,5
the devil makes work for idle hands,L’oisiveté est la mère de tous les vices,10
the devil takes care of his own,Le diable protège les siens,5
the devil that you know is better than the devil that you don't know,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
the devil we know is better than the devil we don't,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
the devil we know is better than the devil we don't know,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
the devil you know,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",7
the devil you know is better than the devil you don't,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
the devil you know is better than the devil you don't know,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
the die is cast,Les dés sont jetés,10
"the dogs bark, but the caravan goes on","Les chiens aboient, la caravane passe",10
"the dogs bark, but the caravan moves on","Les chiens aboient, la caravane passe",10
the dose makes the poison,C’est la dose qui fait le poison,10
the early bird catches the worm,Le monde appartient à ceux qui se lèvent tôt,10
the early bird gets the worm,Le monde appartient à ceux qui se lèvent tôt,10
the end justifies the means,La fin justifie les moyens,10
the ends justify the means,La fin justifie les moyens,10
the enemy of my enemy is my friend,L’ennemi de mon ennemi est mon ami,10
the exception which proves the rule,L’exception confirme la règle,10
the eyes are the window to the soul,Les yeux sont le miroir de l’âme,10
the family that prays together stays together,Famille qui prie ensemble reste unie,7
the fewer the better fare,"Moins on est de fous, mieux on se porte",8
the first step is always the hardest,C’est le premier pas qui coûte,10
the fish rots from the head,Le poisson pourrit par la tête,9
the forbidden fruit tastes the sweetest,Il n’est si bon pain que de pain défendu,9
the fox may grow grey but never good,"Chassez le naturel, il revient au galop",8
the game is not worth the candle,Le jeu n’en vaut pas la chandelle,10
the good die young,Les meilleurs partent les premiers,8
the grass is always greener,L’herbe est toujours plus verte chez le voisin,10
the grass is always greener (on the other side,L’herbe est toujours plus verte chez le voisin,10
the grass is always greener on the other side,L’herbe est toujours plus verte chez le voisin,10
the grass is always greener on the other side of the fence,L’herbe est toujours plus verte chez le voisin,10
the grass is always greener on the other side of the road,L’herbe est toujours plus verte chez le voisin,10
the hand that rocks the cradle is the hand that rules the world,La main qui berce le berceau gouverne le monde,7
the hand that rocks the cradle rules the world,La main qui berce le berceau gouverne le monde,7
the heart wants what it wants,Le cœur a ses raisons que la raison ne connaît point,10
the heart wants what the heart wants,Le cœur a ses raisons que la raison ne connaît point,10
the hit dog hollers,Qui se sent morveux se mouche,9
the house always wins,C’est toujours la banque qui gagne,9
the husband is always the last to know,Le mari est toujours le dernier au courant,6
the innocent seldom find an uncomfortable pillow,Bonne conscience est un doux oreiller,10
the internet never forgets,Internet n’oublie jamais,8
the jug goes to the well until it breaks,Tant va la cruche à l’eau qu’à la fin elle se casse,10
the laborer is worthy of his hire,Tout travail mérite salaire,10
the labourer is worthy of his hire,Tout travail mérite salaire,10
the last drop makes the cup run over,C’est la goutte d’eau qui fait déborder le vase,10
the law is a ass,La loi est parfois bien mal faite,5
the law is an arse,La loi est parfois bien mal faite,5
the law is an ass,La loi est parfois bien mal faite,5
the left hand doesn't know what the right hand is doing,La main gauche ne sait pas ce que fait la main droite,8
the leopard does not change his spots,"Chassez le naturel, il revient au galop",10
the light is on but nobody is home,Il a une case en moins,7
the longest day must have an end,"À tout seigneur tout honneur, à toute chose fin",6
the longest journey starts with a single step,Un voyage de mille lieues commence par un pas,9
the lord helps those that help themselves,"Aide-toi, le ciel t’aidera",10
the lord helps those who help themselves,"Aide-toi, le ciel t’aidera",10
the lord works in mysterious ways,Les voies du Seigneur sont impénétrables,10
the love of money is the root of all evil,L’amour de l’argent est la racine de tous les maux,8
the map is not the territory,La carte n’est pas le territoire,8
the mill cannot grind with water that is past,On ne fait pas tourner le moulin avec l’eau déjà passée,6
the mills of the gods grind slowly,Les moulins de Dieu moulent lentement,7
the more the merrier,"Plus on est de fous, plus on rit",10
"the more things change, the more they stay the same","Plus ça change, plus c’est la même chose",10
"the more you know, the higher you go","Savoir, c’est pouvoir",7
the nail that sticks out gets hammered down,"Pour vivre heureux, vivons cachés",7
the nail that sticks up gets hammered down,"Pour vivre heureux, vivons cachés",7
the nut does not fall far from the tree,Les chiens ne font pas des chats,10
the only disability in life is a bad attitude,À cœur vaillant rien d’impossible,6
the only way to find a friend is to be one,Qui veut des amis doit se montrer ami,8
the pen is mightier than the sword,La plume est plus forte que l’épée,10
the perfect is the enemy of the good,Le mieux est l’ennemi du bien,10
the pitcher goes so often to the well that it is broken at last,Tant va la cruche à l’eau qu’à la fin elle se casse,10
the poor we will always have with us,Il y aura toujours des pauvres,7
the pot calling the kettle black,C’est l’hôpital qui se moque de la charité,10
the proof is in the eating,C’est à l’usage qu’on juge,7
the proof is in the pudding,C’est à l’usage qu’on juge,7
the proof of the pudding is in the eating,C’est à l’usage qu’on juge,8
the rich get richer,On ne prête qu’aux riches,8
the rich get richer and the poor get poorer,Les riches deviennent plus riches et les pauvres plus pauvres,6
the road to hell is paved with good intentions,L’enfer est pavé de bonnes intentions,10
the shoemaker always wears the worst shoes,Les cordonniers sont les plus mal chaussés,10
the shoemaker's children go barefoot,Les cordonniers sont les plus mal chaussés,10
the shoemaker's son always goes barefoot,Les cordonniers sont les plus mal chaussés,10
the sky is the limit,Tout est possible,6
the sky's the limit,Tout est possible,6
the spirit is strong but the flesh is weak,"L’esprit est prompt, mais la chair est faible",10
"the spirit is strong, but the flesh is weak","L’esprit est prompt, mais la chair est faible",10
the spirit is willing but the flesh is weak,"L’esprit est prompt, mais la chair est faible",10
"the spirit is willing, but the flesh is weak","L’esprit est prompt, mais la chair est faible",10
the squeaky wheel gets the grease,Qui ne dit mot n’obtient rien,7
the squeaky wheel gets the oil,Qui ne dit mot n’obtient rien,7
the streets are paved with gold,C’est l’eldorado,6
the tongue wounds more than a lance,La langue est plus tranchante qu’une épée,8
the truth is effortless,La vérité va toute nue,6
the truth is in the wine,La vérité est dans le vin,10
the truth will set you free,La vérité rend libre,9
the victor gets the spoils,"À vainqueur, les dépouilles",9
"the voice of the people, the voice of god",La voix du peuple est la voix de Dieu,9
the way to a man's heart is through his stomach,L’amour passe par l’estomac,9
the wheel turns,La roue tourne,10
the whistle does not pull the train,Ce n’est pas en sifflant qu’on fait avancer le train,6
the whistle doesn't pull the train,Ce n’est pas en sifflant qu’on fait avancer le train,6
the winner takes it all,Le gagnant rafle tout,8
the wolf may lose his teeth but never his nature,"Chassez le naturel, il revient au galop",10
the work praises the man,C’est à l’ouvrage qu’on connaît l’artisan,10
the world is someone's oyster,Le monde lui appartient,7
the) truth will out,La vérité finit toujours par éclater,10
them that has gets,On ne prête qu’aux riches,10
"them that has, gets",On ne prête qu’aux riches,10
"them that has, gets more",On ne prête qu’aux riches,10
them what has gets,On ne prête qu’aux riches,10
"them what has, gets",On ne prête qu’aux riches,10
"them what has, gets more",On ne prête qu’aux riches,10
there ain't no such thing as a free lunch,On n’a rien sans rien,10
there are always more fish in the sea,"Un de perdu, dix de retrouvés",9
there are bad apples in every orchard,Il y a des brebis galeuses dans tous les troupeaux,9
there are many ways to skin a cat,Tous les chemins mènent à Rome,8
there are more ways of killing a cat than choking it with cream,Il y a plus d’une façon de tuer un chat,7
there are no atheists in foxholes,À la guerre comme à la guerre,3
there are none so blind as those who will not see,Il n’est pire aveugle que celui qui ne veut pas voir,10
there are none so deaf as those who will not hear,Il n’est pire sourd que celui qui ne veut pas entendre,10
there are plenty more fish in the sea,"Un de perdu, dix de retrouvés",10
there are plenty more pebbles on the beach,"Un de perdu, dix de retrouvés",8
there are plenty of fish in the sea,"Un de perdu, dix de retrouvés",10
there are plenty of pebbles on the beach,"Un de perdu, dix de retrouvés",8
there are two sides to every question,Toute médaille a son revers,9
there are two sides to every story,Toute médaille a son revers,9
there but for the grace of god go i,"Grâce à Dieu, ce n’est pas moi",4
there is a lid for every pot,À chaque pot son couvercle,9
there is a place and time for everything,Chaque chose en son temps et à sa place,8
there is a time and a place for everything,Chaque chose en son temps et à sa place,8
there is a time and place for everything,Chaque chose en son temps,9
there is an exception to every rule,Toute règle a son exception,10
there is honour among thieves,Il y a de l’honneur même chez les voleurs,7
there is many a good tune played on an old fiddle,C’est dans les vieux pots qu’on fait les meilleures soupes,10
there is more than one way to skin a cat,Tous les chemins mènent à Rome,8
there is no accounting for tastes,"Des goûts et des couleurs, ça ne se discute pas",10
there is no fool like an old fool,Il n’est pire fou que le vieux fou,7
there is no honor among thieves,Il n’y a pas d’honneur entre voleurs,8
there is no i in team,L’union fait la force,7
there is no place like home,On n’est jamais aussi bien que chez soi,10
there is no shame in not knowing; the shame lies in not finding out,"Il n’y a pas de honte à ne pas savoir, seulement à ne pas vouloir apprendre",6
"there is no smoke without fire/where there is smoke, there is fire",Il n’y a pas de fumée sans feu,10
there is no such thing as a free lunch,On n’a rien sans rien,9
there is no such thing as bad publicity,Il n’y a pas de mauvaise publicité,9
"there is no such thing as bad weather, only bad clothing","Il n’y a pas de mauvais temps, seulement de mauvais vêtements",9
there is no time like the present,Il n’y a pas de temps comme le présent,6
there is nothing new under the sun,Rien de nouveau sous le soleil,10
there is one born every minute,Un pigeon se lève tous les matins,5
there is safety in numbers,L’union fait la force,9
there is strength in numbers,L’union fait la force,10
there's a first time for everything,Il y a un début à tout,10
there's a lid for every pot,À chaque pot son couvercle,8
there's a place and time for everything,Chaque chose en son temps,9
there's a rotten apple in every barrel,Il y a une brebis galeuse dans chaque troupeau,8
there's a sucker born every minute,Un pigeon se lève tous les matins,6
there's a time and a place for everything,Chaque chose en son temps,9
there's a time and place for everything,Chaque chose en son temps,9
there's always a bigger fish,Il y a toujours plus grand que soi,8
there's many a good tune played on an old fiddle,C’est dans les vieux pots qu’on fait les meilleures soupes,10
there's many a slip 'twixt the cup and the lip,Il y a loin de la coupe aux lèvres,10
there's many a slip between the cup and the lip,Il y a loin de la coupe aux lèvres,10
there's many a slip twixt cup and lip,Il y a loin de la coupe aux lèvres,10
there's many a slip twixt the cup and the lip,Il y a loin de la coupe aux lèvres,10
there's more than one way to cook an egg,Tous les chemins mènent à Rome,8
there's more than one way to crack an egg,Tous les chemins mènent à Rome,8
there's more than one way to feed a cat,Tous les chemins mènent à Rome,8
there's more than one way to fuck a cat,Tous les chemins mènent à Rome,7
there's more than one way to peel an orange,Tous les chemins mènent à Rome,8
there's more than one way to skin a cat,Tous les chemins mènent à Rome,9
there's no accounting for taste,"Des goûts et des couleurs, ça ne se discute pas",10
there's no fool like an old fool,Il n’est pire fou que le vieux fou,8
there's no i in team,L’union fait la force,7
there's no need to wear a hair shirt,Inutile de se faire du mauvais sang,6
there's no place like home,On n’est bien que chez soi,10
there's no point crying over spilt milk,Ce qui est fait est fait,9
there's no smoke without fire,Il n’y a pas de fumée sans feu,10
there's no time like the present,Il n’y a pas de temps à perdre,7
there's no use crying over spilt milk,Ce qui est fait est fait,9
there's none so blind as those who will not see,Il n’est pire aveugle que celui qui ne veut pas voir,10
there's nowt so queer as folk,Il n’est pire bête que l’homme,5
there's one born every minute,Un pigeon se lève tous les matins,6
they that sow the wind shall reap the whirlwind,Qui sème le vent récolte la tempête,10
third time is a charm,Jamais deux sans trois,8
third time pays for all,Jamais deux sans trois,7
third time's a charm,Jamais deux sans trois,9
third time's the charm,Jamais deux sans trois,9
this too shall pass,"Après la pluie, le beau temps",8
this too shall pass away,"Après la pluie, le beau temps",8
those that have get,On ne prête qu’aux riches,9
those that have get more,On ne prête qu’aux riches,9
"those that have, get",On ne prête qu’aux riches,9
"those that have, get more",On ne prête qu’aux riches,9
those who do not learn from history are doomed to repeat it,L’histoire se répète pour qui ne sait pas en tirer les leçons,6
those who have get,On ne prête qu’aux riches,9
those who have get more,On ne prête qu’aux riches,9
"those who have, get",On ne prête qu’aux riches,9
"those who have, get more",On ne prête qu’aux riches,9
