en,fa,confidence
"no matter how thin you slice it, it's still boloney",آش همان آش است و کاسه همان کاسه,9
"no matter how you slice it, it's still the same old baloney",آش همان آش است و کاسه همان کاسه,9
"no mill, no meal",بی‌مایه فطیره,7
no news is good news,از بی‌خبری است که طرف خوش‌خبری است,8
no one can make you feel inferior without your consent,هیچ‌کس نمی‌تواند تحقیرت کند مگر با اجازهٔ خودت,6
no one is born a master,هیچ‌کس دانا زِ مادر زاده نشده,8
no one should be judge in his own case,کسی نباید قاضی دعوای خودش باشد,6
no one should be judge in his own cause,کسی نباید قاضی دعوای خودش باشد,6
"no pain, no gain",نابرده رنج گنج میسر نمی‌شود,10
no peace for the weary,خستگان را خواب کجا,6
no rest for the weary,خستگان را خواب کجا,7
no rest for the wicked,بدکردار آسایش ندارد,6
no rose without a thorn,گل بی‌خار خداست,10
no sleep for the wicked,بدکردار آسایش ندارد,6
no smoke without fire,تا نباشد چیزکی مردم نگویند چیزها,10
no time like the present,کار امروز را به فردا مینداز,9
not all heroes wear capes,قهرمان همیشه شمشیر به‌دست نیست,5
not all those who wander are lost,هر که بی‌راهه می‌رود گمراه نیست,5
nothing gold can stay,هیچ خوشی دوامی ندارد,6
nothing is certain but death and taxes,مرگ و مالیات گریزی ندارد,4
nothing is said that has not been said before,هیچ حرف تازه‌ای زیر این آسمان نیست,4
nothing new under the sun,هیچ چیز تازه‌ای زیر این آسمان نیست,5
nothing succeeds like success,موفقیت، موفقیت می‌آورد,5
"nothing ventured, nothing gained",نابرده رنج گنج میسر نمی‌شود,9
oil and water do not mix,آب و روغن قاطی نمی‌شود,9
oil and water don't mix,آب و روغن قاطی نمی‌شود,9
old habits die hard,ترک عادت موجب مرض است,10
old sins cast long shadows,گناه کهنه دامن‌گیر است,6
old sins have long shadows,گناه قدیمی دُم دراز دارد,6
"once a man, twice a boy",آدم یک‌بار جوان می‌شود و دو بار بچه,5
"once a man, twice a child",آدم یک‌بار جوان می‌شود و دو بار بچه,7
"once a thief, always a thief",دزد، دزد زاییده شده,8
"once a woman, twice a child",آدم یک‌بار جوان می‌شود و دو بار بچه,5
once an adult and twice a child,آدم یک‌بار جوان می‌شود و دو بار بچه,7
"once an adult, twice a child",آدم یک‌بار جوان می‌شود و دو بار بچه,7
"once bitten, twice shy",مارگزیده از ریسمان سیاه و سفید می‌ترسد,10
"once burned, twice cautious",مارگزیده از ریسمان سیاه و سفید می‌ترسد,10
"once burned, twice shy",مارگزیده از ریسمان سیاه و سفید می‌ترسد,10
"once hurt, twice shy",مارگزیده از ریسمان سیاه و سفید می‌ترسد,9
"once on shore, we pray no more",تا خر از پل گذشت، هزار تا چوبش می‌زنند,6
one bad apple can spoil the barrel,یک سیب گندیده، صد تا سیب سالم را خراب می‌کند,8
one bad apple can spoil the whole bunch,یک سیب گندیده، صد تا سیب سالم را خراب می‌کند,8
one bad turn deserves another,جواب بدی، بدی است,7
one can run but one can't hide,دزد هر قدر بدود، آخرش پای دار است,6
one can't break a stick in a bundle,یک دست صدا ندارد,7
one can't break a twig in a bundle,یک دست صدا ندارد,7
one can't break sticks in a bundle,یک دست صدا ندارد,7
one can't carry two watermelons under one arm,یک دست دو تا هندوانه برنمی‌دارد,10
one can't hold two watermelons in one hand,یک دست دو تا هندوانه برنمی‌دارد,10
one cannot break a stick in a bundle,یک دست صدا ندارد,7
one cannot break a twig in a bundle,یک دست صدا ندارد,7
one good turn deserves another,یک دست بده، یک دست بگیر,7
one hair of a woman can draw more than a hundred pair of oxen,موی زن از صد تا گاو نر قوی‌تر است,6
one half of the world does not know how the other half lives,یکی نان ندارد بخورد، یکی دندان ندارد بجود,9
one hand can't hold two watermelons,یک دست دو تا هندوانه برنمی‌دارد,10
one hand washes the other,یک دست، دست دیگر را می‌شوید,9
one kind word can warm three winter months,یک کلام خوش، سرمای زمستان را آب می‌کند,6
one law for the rich and another for the poor,قانون برای فقیر است، پولدار قانون‌بردار نیست,6
one man's fish is another man's poison,زهرِ مار، تریاکِ مارگیر است,7
one man's fish is another man's poisson,زهرِ مار، تریاکِ مارگیر است,7
one man's loss is another man's gain,از بدبختی یکی، خوشبختی دیگری است,6
one man's meat is another man's poison,زهرِ مار، تریاکِ مارگیر است,8
one man's terrorist is another man's freedom fighter,هر کسی از ظن خود شد یار من,5
one man's trash is another man's treasure,آشغال یک نفر، گنج نفر دیگر است,3
one may as well hang for a sheep as a lamb,سنگ بزرگ علامت نزدن است,2
one might as well be hanged for a sheep as a lamb,سنگ بزرگ علامت نزدن است,2
one might as well throw water into the sea as to do a kindness to rogues,احسان به گرگ، خیانت به گوسفند است,6
one nail drives out another,میخ تازه، میخ کهنه را در می‌آورد,3
one swallow does not a spring make,یک گل بهار نمی‌شود,10
one swallow does not a summer make,یک گل بهار نمی‌شود,10
one swallow does not make a spring,یک گل بهار نمی‌شود,10
one swallow does not make a summer,یک گل بهار نمی‌شود,10
one swallow doesn't a spring make,یک گل بهار نمی‌شود,10
one swallow doesn't a summer make,یک گل بهار نمی‌شود,10
one swallow doesn't make a spring,یک گل بهار نمی‌شود,10
one swallow doesn't make a summer,یک گل بهار نمی‌شود,10
"one who believes in sword, dies by the sword",هر که باد بکارد، طوفان درو می‌کند,8
one who hesitates is lost,کار امروز را به فردا مینداز,6
"one who speaks only one language is one person, but one who speaks two languages is two people",یک زبان، یک انسان؛ دو زبان، دو انسان,7
one woman's trash is another woman's treasure,آشغال یک نفر، گنج نفر دیگر است,3
only dead fish go with the flow,ماهی زنده خلاف جریان آب شنا می‌کند,9
only time will tell,زمان همه چیز را روشن می‌کند,7
open confession is good for the soul,راست گفتن، روح را سبک می‌کند,4
opportunity knocks at every man's door,فرصت درِ خانهٔ هر کسی را می‌زند,4
opportunity makes a thief,فرصت، دزد می‌سازد,6
opportunity makes the thief,فرصت، دزد می‌سازد,6
opportunity never knocks twice at any man's door,فرصت دوبار درِ یک خانه را نمی‌زند,5
opportunity seldom knocks twice,فرصت دوبار درِ یک خانه را نمی‌زند,6
opposites attract,ضدها همدیگر را جذب می‌کنند,5
"other days, other ways",هر زمان را کاری و هر کار را زمانی,4
other times other manners,هر زمان را کاری و هر کار را زمانی,4
out of sight is out of mind,از دل برود هر آن‌که از دیده برفت,10
"out of sight, out of mind",از دل برود هر آن‌که از دیده برفت,10
out of the frying pan and into the fire,از چاله دراومدن و تو چاه افتادن,10
out of the mouths of babes,حقیقت را از زبان بچه می‌شنوی,6
out of the mouths of babes and sucklings,حقیقت را از زبان بچه می‌شنوی,6
"outta sight, outta mind",از دل برود هر آن‌که از دیده برفت,10
patience is a virtue,صبر کلیدِ فتحِ باب است,8
pearls of wisdom,حرفِ حساب,7
penny wise and pound foolish,شاهی را بچسب، تومنی بره,8
"penny, penny. makes many",قطره قطره جمع گردد وانگهی دریا شود,10
people that live in glass houses should not throw stones,شیشه‌خانه نشین سنگ به مردم نمی‌اندازد,9
people that live in glass houses shouldn't throw stones,شیشه‌خانه نشین سنگ به مردم نمی‌اندازد,9
"people who have, get",پول، پول می‌آورد,9
"people who have, get more",پول، پول می‌آورد,9
people who live in glass houses should not throw stones,شیشه‌خانه نشین سنگ به مردم نمی‌اندازد,9
people who live in glass houses shouldn't throw stones,شیشه‌خانه نشین سنگ به مردم نمی‌اندازد,9
perfect is the enemy of good,بهتر، دشمنِ خوب است,7
perfect is the enemy of good enough,بهتر، دشمنِ خوب است,7
perfection is the enemy of good,بهتر، دشمنِ خوب است,7
"physician, heal thyself",طبیب، اول خودت را دوا کن,7
pitchers have ears,دیوار موش داره، موش هم گوش داره,10
"play stupid games, win stupid prizes",خودکرده را تدبیر نیست,8
plus ça change,آب از آب تکان نمی‌خورد,6
possession is nine points of the law,مالِ دستِ کسی است که توی دستش است,6
possession is nine-tenths of the law,مالِ دستِ کسی است که توی دستش است,6
"power corrupts, absolute power corrupts absolutely",قدرت، آدم را از راه به در می‌کند,6
power corrupts; absolute power corrupts absolutely,قدرت، آدم را از راه به در می‌کند,6
practice makes perfect,کار نیکو کردن از پر کردن است,10
practice makes progress,کار نیکو کردن از پر کردن است,7
practice what you preach,اول خودت عمل کن بعد نصیحت کن,7
preaching to the choir,برای اهلش روضه می‌خوانی,6
pressure makes diamonds,فشار است که زغال را الماس می‌کند,6
"right or wrong, my country",عیبش را می‌پوشانیم که از خودمان است,6
risk it for a biscuit,نابرده رنج گنج میسر نمی‌شود,9
rome was not built in a day,روم در یک روز ساخته نشد,7
rome was not built in one day,روم در یک روز ساخته نشد,7
rome wasn't built in a day,روم در یک روز ساخته نشد,7
"rubbish in, rubbish out",از کوزه همان برون تراود که در اوست,8
rules are made to be broken,قانون برای شکستن است,6
rules are meant to be broken,قانون برای شکستن است,6
rules are rules,قانون، قانون است,8
rules are there to be broken,قانون برای شکستن است,6
rules is rules,قانون، قانون است,8
rules were made to be broken,قانون برای شکستن است,6
"same shit, different toilet",آش همان است و کاسه همان,9
sauce for the goose,حکم یکی است برای همه,5
scientia potentia est,دانایی توانایی است,9
see naples and die,اصفهان نصف جهان,4
"see no evil, hear no evil, speak no evil",نه می‌بینم، نه می‌شنوم، نه می‌گویم,7
seeing is believing,شنیدن کی بود مانند دیدن,10
seek and ye shall find,جوینده یابنده است,10
self-praise is no recommendation,خودگویی و خودخندی، عجب هنرمندی,9
set a beggar on horseback and he'll ride to the devil,گدا اگر پادشاه شود، از خدا بی‌خبر می‌شود,6
set a thief to catch a thief,دزد را دزد می‌شناسد,9
shallow brooks are noisy,دیگ که خالیه بیشتر صدا می‌کنه,8
shared joy is double joy,خوشی وقتی خوشی است که با دیگران قسمت شود,6
shared sorrow is half sorrow,درد دل که بگویی سبک می‌شوی,6
shiny are the distant hills,مرغ همسایه غاز است,10
shirtsleeves to shirtsleeves in three generations,پول بادآورده را باد می‌برد,5
shit rolls downhill,از ماست که بر ماست,4
"shoemaker, stick to your last",کفشگر به کار خود,7
short accounts make long friends,حساب، حساب است؛ کاکا برادر,9
short reckonings make long friends,حساب، حساب است؛ کاکا برادر,9
shrouds have no pockets,کفن جیب ندارد,10
shy bairns get noot,حرف بزنی حقت رو می‌گیری,6
shy bairns get nowt,حرف بزنی حقت رو می‌گیری,7
silence is consent,سکوت علامت رضاست,10
silence is golden,سکوت سرِّ سلامتی است,8
sit crooked and talk straight,کج بنشین راست بگو,10
slow and steady wins the race,آهسته و پیوسته رفتن به از تند و گسسته رفتن است,9
slow but sure,دیر و درست,9
slow but sure wins the race,آهسته و پیوسته رفتن به از تند و گسسته رفتن است,9
snake in the grass,مارِ آستین,9
"softly, softly, catchee monkey",نرم نرمک می‌رسد اینک بهار,3
some are more equal than others,بعضی‌ها برابرترند,7
some days you eat the bear and some days the bear eats you,یک روز نان است و یک روز جان,6
"some days you get the bear, other days the bear gets you",یک روز نان است و یک روز جان,6
something is better than nothing,کاچی به از هیچی,10
sometimes you eat the bear and sometimes the bear eats you,یک روز نان است و یک روز جان,6
sow the wind and reap the whirlwind,کِشتی همان را درو می‌کنی,7
"sow the wind, reap the whirlwind",کِشتی همان را درو می‌کنی,7
spare the rod and spoil the child,تا تنبیه نباشد تأدیب نمی‌شود,6
spare the rod and you will spoil the child,تا تنبیه نباشد تأدیب نمی‌شود,6
"spare the rod, spoil the child",تا تنبیه نباشد تأدیب نمی‌شود,6
speak as you find,هر چه می‌بینی همان را بگو,6
speak of the devil and he appears,حرفش رو زدیم، حاضر شد,8
speak of the devil and he shall/is sure/will appear,حرفش رو زدیم، حاضر شد,8
speech is silver but) silence is golden,کم گوی و گزیده گوی چون دُر,7
"speech is silver, but silence is golden",کم گوی و گزیده گوی چون دُر,7
"speech is silver, silence is gold",کم گوی و گزیده گوی چون دُر,7
"speech is silver, silence is golden",کم گوی و گزیده گوی چون دُر,7
squeaky wheels get oiled,حق گرفتنی است، دادنی نیست,7
start from where you are,از همین‌جا که هستی شروع کن,4
sticks in a bundle are unbreakable,یک دست صدا ندارد,8
sticks in a bundle can't be broken,اتحاد، قدرت می‌آورد,7
sticks in a bundle cannot be broken,همه با هم، هیچ‌کس تنها نیست,5
still water runs deep,ساکت از همه خطرناک‌تر است,6
still waters run deep,آدم ساکت، دریای درونش متلاطم است,5
strike while the iron is hot,تا تنور داغ است نان را بچسبان,10
stupid is as stupid does,از کوزه همان برون تراود که در اوست,7
"success depends on your backbone, not your wishbone",با آرزو نان و آب نمی‌شود,8
"success has many fathers, failure is an orphan",پیروزی هزار پدر دارد، شکست یتیم است,6
"success has many fathers, while failure is an orphan",وقتی کار می‌گیرد همه صاحبش می‌شوند، وقتی می‌بازد همه انکارش می‌کنند,6
sufficient unto the day is the evil thereof,غم فردا را فردا بخور,8
sunlight is the best disinfectant,آفتاب آمد دلیل آفتاب,7
take care of the pence and the pounds will take care of themselves,قطره‌قطره جمع گردد وانگهی دریا شود,9
take care of the pennies and the pounds will take care of themselves,ریزه‌ریزه جمع کنی، کوه می‌شود,7
"take care of the pennies, and the pounds will take care of themselves",از خرد، کل به‌وجود می‌آید,4
take the cash and let the credit go,سیلی نقد به از حلوای نسیه,10
takes one to know one,جنس خودش زودتر می‌شناسد,6
talk is cheap,عمل مهم است نه حرف,7
"talk of the devil, and he is bound to appear",حرفش را زدیم، سر و کله‌اش پیدا شد,6
tall oaks from little acorns grow,درخت تنومند از نهال کوچک شروع می‌شود,6
teamwork makes the dream work,یک دست صدا ندارد,9
"tell me who your friends are, and i'll tell you who you are",بگو با کیان زیستی تا بگویم کیستی,10
tell the truth and shame the devil,راست بگو و از هیچ‌کس نترس,6
tempus fugit,وقت طلاست,7
that which doesn't kill you makes you stronger,آنچه تو را نکشد قوی‌ترت می‌کند,8
that's how the cookie crumbles,دنیا همین است که هست,7
that's the way it goes,همینه که هست,9
that's the way life is,روزگار همین است,8
that's the way the ball bounces,بازی روزگار همین است,6
that's the way the cookie crumbles,قسمت همین بوده,7
that's the way the mop flops,همین‌قدر می‌ارزد,3
the age of miracles is past,دوران معجزه گذشته است,6
the apple does not fall far from the stem,بچه هرچی بَره به مادر می‌ره,9
the apple does not fall far from the tree,بچه هرچی بَره به مادر می‌ره,10
the apple does not fall far from the trunk,بچه هرچی بَره به مادر می‌ره,9
the apple does not fall/never falls far from the tree,بچه هرچی بَره به مادر می‌ره,10
the apple doesn't fall far from the tree,بچه هرچی بَره به مادر می‌ره,10
the apple never falls far from the tree,بچه هرچی بَره به مادر می‌ره,10
the apples on the other side of the wall are the sweetest,مرغ همسایه غازه,10
the bad penny always comes back,آدم بد را هرجا بندازی جلوی پات سبز می‌شود,7
the bad penny always turns up,آدم بد را هرجا بندازی جلوی پات سبز می‌شود,7
the best defence is attack,حمله بهترین دفاع است,9
the best defense is a good offense,حمله بهترین دفاع است,9
the best is the enemy of the good,بهتر، دشمنِ خوب است,8
the best laid plans of mice and men go oft astray,حساب حسابه، کاکا برادر,6
the best laid plans of mice and men often go awry,حساب حسابه، کاکا برادر,6
the best things in life are free,بهترین چیزهای دنیا مجانی‌اند,6
the best-laid schemes of mice and men often go awry,حساب حسابه، کاکا برادر,6
the better is the enemy of the good,بهتر، دشمنِ خوب است,8
"the bigger they are, the harder they fall",هرچه باد بزرگ‌تر، ترکیدنش تماشایی‌تر,6
"the bigger they come, the harder they fall",هرچه باد بزرگ‌تر، ترکیدنش تماشایی‌تر,6
the boy is father to the man,از همون بچگی معلومه چی می‌شه,7
the bread never falls but on its buttered side,سنگ مفت، گنجشک مفت,3
the burnt child dreads the fire,مارگزیده از ریسمان سیاه و سفید می‌ترسد,10
the burnt child fears the fire,مارگزیده از ریسمان سیاه و سفید می‌ترسد,10
the candle that burns twice as bright burns half as long,چراغی که خیلی تند می‌سوزد زود خاموش می‌شود,6
the captain goes down with the ship,ناخدا با کشتی‌اش غرق می‌شود,5
the cat would eat fish but would not wet her feet,هم خر را می‌خواهد هم خرما را,9
the chickens come home to roost,از هر دست بدهی از همان دست می‌گیری,8
the child is the father of the man,از همون بچگی معلومه چی می‌شه,7
the cobbler always wears the worst shoes,کوزه‌گر از کوزه شکسته آب می‌خورد,10
the cobbler's children are the worst shod,کوزه‌گر از کوزه شکسته آب می‌خورد,10
the cobbler's children go barefoot,کوزه‌گر از کوزه شکسته آب می‌خورد,10
the course of true love never did run smooth,عشق بی‌رنج نمی‌شود,7
the cow knows not the worth of its tail till it loses it,قدر عافیت کسی داند که به مصیبتی گرفتار آید,8
the cowl does not make the monk,حرف، حرف است؛ عمل مهم است,4
the customer is always right,حق با مشتری است,10
the darkest hour is always just before the dawn,سحر از شب سیاه‌تر است,8
the darkest hour is just before the dawn,سحر از شب سیاه‌تر است,8
the darkest place is under the candlestick,چراغی که به خونه رواست به مسجد حرام است,6
the devil finds work for idle hands,بیکاری مادر همهٔ بدبختی‌هاست,8
the devil finds work for idle hands to do,بیکاری مادر همهٔ بدبختی‌هاست,8
the devil is in the detail,شیطان در جزئیات پنهان است,5
the devil is in the details,شیطان در جزئیات پنهان است,5
the devil makes work for idle hands,بیکاری مادر همهٔ بدبختی‌هاست,8
the devil that you know is better than the devil that you don't know,دیگری را که نشناسی از خودت بدتر است,4
the devil we know is better than the devil we don't,دیگری را که نشناسی از خودت بدتر است,4
the devil we know is better than the devil we don't know,دیگری را که نشناسی از خودت بدتر است,4
the devil you know is better than the devil you don't,دیگری را که نشناسی از خودت بدتر است,4
the devil you know is better than the devil you don't know,دیگری را که نشناسی از خودت بدتر است,4
the die is cast,کار از کار گذشته است,7
"the dogs bark, but the caravan goes on",سگ‌ها پارس می‌کنند، کاروان به راه خود می‌رود,9
"the dogs bark, but the caravan moves on",سگ‌ها پارس می‌کنند، کاروان به راه خود می‌رود,9
the early bird catches the worm,سحرخیز باش تا کامروا شوی,10
the early bird gets the worm,سحرخیز باش تا کامروا شوی,10
the end justifies the means,هدف وسیله را توجیه می‌کند,6
the ends justify the means,هدف وسیله را توجیه می‌کند,6
the enemy of my enemy is my friend,دشمنِ دشمنم دوست من است,7
the fewer the better fare,کم باش و خود باش,4
the first step is always the hardest,شروع هر کاری سخت‌ترین قسمت آن است,6
the fish rots from the head,ماهی از سر گنده گردد نی ز دم,10
the forbidden fruit tastes the sweetest,مرغ همسایه غاز است,6
the fox may grow grey but never good,گرگ پیر هم گرگ است,8
the game is not worth the candle,این شتر سواری دولا دولا نمی‌شود,5
the good die young,گل خوب زود می‌پژمرد,5
the grass is always greener,مرغ همسایه غاز است,10
the grass is always greener (on the other side,مرغ همسایه غازه,10
the grass is always greener on the other side,مرغ همسایه غازه,10
the grass is always greener on the other side of the fence,مرغ همسایه غازه,10
the grass is always greener on the other side of the road,مرغ همسایه غازه,9
the hand that rocks the cradle is the hand that rules the world,مادر یک دست گهواره را تکان می‌دهد و با دست دیگر دنیا را,7
the hand that rocks the cradle rules the world,مادر یک دست گهواره را تکان می‌دهد و با دست دیگر دنیا را,7
the heart wants what it wants,دل به دل راه داره,6
the heart wants what the heart wants,دل به دل راه داره,6
the hit dog hollers,دزد همیشه از سایه خودش می‌ترسه,5
the innocent seldom find an uncomfortable pillow,آن را که حساب پاک است از محاسبه چه باک است,7
the jug goes to the well until it breaks,تا نباشد چوب تر فرمان نبرد گاو و خر,5
the laborer is worthy of his hire,کار را که کرد آن که مزد گرفت,6
the labourer is worthy of his hire,کار را که کرد آن که مزد گرفت,6
the last drop makes the cup run over,قطره‌قطره جمع گردد وانگهی دریا شود,4
the left hand doesn't know what the right hand is doing,یک دستش خبر از دست دیگرش ندارد,5
the leopard does not change his spots,ذات نایافته از هستی‌بخش کی تواند که شود هستی‌بخش,6
the light is on but nobody is home,چراغ روشنه ولی کسی خونه نیست,6
the longest day must have an end,هیچ شب سیاهی تا سحر نمانده,7
the longest journey starts with a single step,هزار فرسنگ راه با قدم اول شروع می‌شود,6
the lord helps those that help themselves,از تو حرکت از خدا برکت,10
the lord helps those who help themselves,از تو حرکت از خدا برکت,10
the lord works in mysterious ways,حکمت خدا در کارهاست,5
the love of money is the root of all evil,پول چرک کف دسته,4
the mill cannot grind with water that is past,آب رفته به جوی بازنمی‌گردد,9
the mills of the gods grind slowly,خدا دیرگیر است ولی سخت‌گیر است,9
the more the merrier,جمع‌شدن ما شادی می‌آورد,4
"the more things change, the more they stay the same",هر چه بگندد نمکش می‌زنند وای به روزی که بگندد نمک,4
"the more you know, the higher you go",توانا بود هر که دانا بود,9
the nail that sticks out gets hammered down,سری که درد نمی‌کنه دستمال نمی‌بندن,7
the nail that sticks up gets hammered down,سری که درد نمی‌کنه دستمال نمی‌بندن,7
the nut does not fall far from the tree,بچه هر چی باشه به ننه‌اش می‌ره,9
the only disability in life is a bad attitude,همت بلند دار که مردان روزگار از همت بلند به جایی رسیده‌اند,5
the only way to find a friend is to be one,از هر دست بدهی از همان دست می‌گیری,7
the pen is mightier than the sword,جوهر قلم از خون شهید بالاتر است,9
the perfect is the enemy of the good,بهتر، دشمنِ خوب است,8
the pitcher goes so often to the well that it is broken at last,قدر عافیت کسی داند که به مصیبتی گرفتار آید,3
the poor we will always have with us,فقیر همیشه هست,4
the pot calling the kettle black,دیگ به دیگ می‌گه روت سیاه,10
the proof is in the eating,دو صد گفته چون نیم کردار نیست,6
the proof is in the pudding,دو صد گفته چون نیم کردار نیست,6
the proof of the pudding is in the eating,دو صد گفته چون نیم کردار نیست,7
the rich get richer,پول، پول می‌آورد,9
the rich get richer and the poor get poorer,پول، پول می‌آورد و فقر، فقر,7
the road to hell is paved with good intentions,جهنم را با نیت خوب سنگ‌فرش کرده‌اند,6
the shoemaker always wears the worst shoes,کوزه‌گر از کوزه شکسته آب می‌خورد,10
the shoemaker's children go barefoot,کوزه‌گر از کوزه شکسته آب می‌خورد,10
the shoemaker's son always goes barefoot,کوزه‌گر از کوزه شکسته آب می‌خورد,10
the sky is the limit,کار نشد ندارد,6
the sky's the limit,کار نشد ندارد,6
the spirit is strong but the flesh is weak,دل می‌خواهد، تن نمی‌کشد,9
"the spirit is strong, but the flesh is weak",دل می‌خواهد، تن نمی‌کشد,9
the spirit is willing but the flesh is weak,دل می‌خواهد، تن نمی‌کشد,9
"the spirit is willing, but the flesh is weak",دل می‌خواهد، تن نمی‌کشد,9
the squeaky wheel gets the grease,حق گرفتنی است، دادنی نیست,6
the squeaky wheel gets the oil,حق گرفتنی است، دادنی نیست,6
the streets are paved with gold,آنجا همه‌چیز مثل نقل و نبات است,4
the strong do what they can and the weak suffer what they must,حق با کسی است که زورش بیش‌تر است,7
"the strong do what they can, the weak suffer what they must",حق با کسی است که زورش بیش‌تر است,7
the tongue wounds more than a lance,زخمِ زبان بدتر از زخمِ شمشیر است,10
the truth is effortless,راست راستی می‌آره,6
the truth is in the wine,مستی و راستی,9
the truth will set you free,راستگویی نجات می‌دهد,7
the victor gets the spoils,حرف، حرف برنده است,5
"the voice of the people, the voice of god",صدای مردم صدای خداست,10
the way to a man's heart is through his stomach,دل مرد را از راه شکمش می‌توان به دست آورد,8
the wheel turns,دور گردون می‌گرده,7
the winner takes it all,برد با برنده است,6
the wolf may lose his teeth but never his nature,گرگ زاده گرگ شود گرچه با آدم بزرگ شود,10
the work praises the man,کارنامهٔ هر کس عمل اوست,7
the world is someone's oyster,دنیا زیر پای اوست,7
the) truth will out,ماه پشت ابر نمی‌ماند,10
them that has gets,پول، پول می‌آورد,9
"them that has, gets",پول، پول می‌آورد,9
"them that has, gets more",پول، پول می‌آورد,9
them what has gets,پول، پول می‌آورد,9
"them what has, gets",پول، پول می‌آورد,9
"them what has, gets more",پول، پول می‌آورد,9
there ain't no such thing as a free lunch,هیچ‌چیز مجانی به دست نمی‌آید,8
there are always more fish in the sea,از این قبیل تا دلت بخواهد هست,7
there are bad apples in every orchard,در هر گلی خاری هست,6
there are many ways to skin a cat,هزار راه نرفته هست,6
there are more ways of killing a cat than choking it with cream,برای کشتن یک نفر هزار جور راه هست,5
there are no atheists in foxholes,آدم توی گرفتاری یاد خدا می‌افتد,7
there are none so blind as those who will not see,کسی که خود را به خواب زده نمی‌توان بیدار کرد,10
there are none so deaf as those who will not hear,کسی که خود را به کری زده نمی‌توان شنوا کرد,9
there are plenty more fish in the sea,از این قبیل تا دلت بخواهد هست,8
there are plenty more pebbles on the beach,از این قبیل تا دلت بخواهد هست,7
there are plenty of fish in the sea,از این قبیل تا دلت بخواهد هست,8
there are plenty of pebbles on the beach,از این قبیل تا دلت بخواهد هست,7
there are two sides to every question,هر سکه‌ای دو رو دارد,9
there are two sides to every story,هر سکه‌ای دو رو دارد,10
there but for the grace of god go i,خدا را شکر که بدتر از این هم می‌توانست باشد,5
there is a lid for every pot,هر دیگی درِ خودش را دارد,9
there is a place and time for everything,هر سخن جایی و هر نکته مکانی دارد,10
there is a time and a place for everything,هر سخن جایی و هر نکته مکانی دارد,10
there is a time and place for everything,هر سخن جایی و هر نکته مکانی دارد,10
there is an exception to every rule,هر قاعده‌ای استثنا هم دارد,9
there is honour among thieves,دزد هم برای خودش مرام دارد,7
there is many a good tune played on an old fiddle,اسب پیر را سواری است,8
there is more than one way to skin a cat,هزار راه نرفته دارد این شهر,6
there is no accounting for tastes,در سلیقه بحثی نیست,9
there is no fool like an old fool,پیرِ خرفت از بچه بدتر است,6
there is no honor among thieves,میان دزدها حرمت نیست,7
there is no i in team,یک دست صدا ندارد,8
there is no place like home,هیچ جا خانه‌ی آدم نمی‌شود,9
there is no shame in not knowing; the shame lies in not finding out,ندانستن عیب نیست، نپرسیدن عیب است,10
"there is no smoke without fire/where there is smoke, there is fire",تا نباشد چیزکی مردم نگویند چیزها,10
there is no such thing as a free lunch,هیچ‌کس بی‌حساب چیزی نمی‌دهد,7
there is no time like the present,کار امروز را به فردا مینداز,9
there is nothing new under the sun,هیچ چیز تازه‌ای زیر این آسمان نیست,6
there is one born every minute,آدم ساده‌لوح همه‌جا پیدا می‌شود,4
there is safety in numbers,در جمع بودن امن‌تر است,3
there is strength in numbers,یک دست صدا ندارد,9
there's a first time for everything,همه چیز یک بار اولی دارد,8
there's a lid for every pot,هر دیگی درِ خودش را دارد,8
there's a place and time for everything,هر سخن جایی و هر نکته مکانی دارد,10
there's a rotten apple in every barrel,در هر گلی خاری هست,6
there's a sucker born every minute,آدم ساده‌لوح همه‌جا پیدا می‌شود,5
there's a time and a place for everything,هر سخن جایی و هر نکته مکانی دارد,10
there's a time and place for everything,هر سخن جایی و هر نکته مکانی دارد,10
there's always a bigger fish,بالای دستِ بالا زیاد است,9
there's many a good tune played on an old fiddle,اسب پیر را سواری است,8
there's many a slip 'twixt the cup and the lip,تا کجا برسد کلاه به سرِ کچل,4
there's many a slip between the cup and the lip,تا کجا برسد کلاه به سرِ کچل,4
there's many a slip twixt cup and lip,تا کجا برسد کلاه به سرِ کچل,4
there's many a slip twixt the cup and the lip,تا کجا برسد کلاه به سرِ کچل,4
there's more than one way to cook an egg,هزار راه نرفته دارد این شهر,6
there's more than one way to crack an egg,هزار راه نرفته دارد این شهر,6
there's more than one way to feed a cat,همه راه‌ها به رم ختم می‌شود,6
there's more than one way to fuck a cat,همه راه‌ها به رم ختم می‌شود,5
there's more than one way to peel an orange,همه راه‌ها به رم ختم می‌شود,6
there's more than one way to skin a cat,همه راه‌ها به رم ختم می‌شود,7
there's no accounting for taste,در سلیقه بحثی نیست,9
there's no fool like an old fool,پیر که شدی گرگ شو، بازیچهٔ کودک مشو,6
there's no i in team,یک دست صدا ندارد,8
there's no need to wear a hair shirt,خودت را بی‌خودی عذاب نده,6
there's no place like home,هیچ جا خونهٔ خود آدم نمی‌شه,10
there's no point crying over spilt milk,آبِ رفته به جوی بازنمی‌گردد,10
there's no smoke without fire,تا نباشد چیزکی مردم نگویند چیزها,10
there's no time like the present,کار امروز را به فردا مینداز,9
there's no use crying over spilt milk,آبِ رفته به جوی بازنمی‌گردد,10
