en,de,confidence
no one is born a master,Es ist noch kein Meister vom Himmel gefallen,10
no one should be judge in his own case,Niemand soll Richter in eigener Sache sein,9
no one should be judge in his own cause,Niemand soll Richter in eigener Sache sein,9
"no pain, no gain",Ohne Fleiß kein Preis,10
no peace for the weary,Keine Ruhe für die Müden,3
no rest for the weary,Keine Ruhe für die Müden,3
no rest for the wicked,Keine Ruhe den Bösen,7
no rose without a thorn,Keine Rose ohne Dornen,10
no sleep for the wicked,Keine Ruhe den Bösen,7
no smoke without fire,"Wo Rauch ist, ist auch Feuer",10
no time like the present,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",10
not all heroes wear capes,Nicht alle Helden tragen einen Umhang,4
not all those who wander are lost,Der Weg ist das Ziel,6
nothing gold can stay,Alles hat ein Ende,6
nothing is certain but death and taxes,Nur der Tod ist gewiss,6
nothing is said that has not been said before,Es gibt nichts Neues unter der Sonne,8
nothing new under the sun,Es gibt nichts Neues unter der Sonne,10
nothing succeeds like success,Der Erfolg gibt einem recht,7
"nothing ventured, nothing gained","Wer nicht wagt, der nicht gewinnt",10
oil and water do not mix,Wie Feuer und Wasser,7
oil and water don't mix,Wie Feuer und Wasser,7
old habits die hard,Alte Gewohnheiten legt man schwer ab,8
old sins cast long shadows,Alte Sünden werfen lange Schatten,10
one man's terrorist is another man's freedom fighter,Des einen Terrorist ist des anderen Freiheitskämpfer,6
one man's trash is another man's treasure,Des einen Freud ist des andern Leid,7
one may as well hang for a sheep as a lamb,"Wenn schon, denn schon",6
one might as well be hanged for a sheep as a lamb,"Wenn schon, denn schon",6
one might as well throw water into the sea as to do a kindness to rogues,Perlen vor die Säue werfen,7
one nail drives out another,Ein Nagel treibt den anderen heraus,8
one should never meet one's heroes,Man soll seine Idole nicht persönlich kennenlernen,5
one swallow does not a spring make,Eine Schwalbe macht noch keinen Sommer,10
one swallow does not a summer make,Eine Schwalbe macht noch keinen Sommer,10
one swallow does not make a spring,Eine Schwalbe macht noch keinen Sommer,10
one swallow does not make a summer,Eine Schwalbe macht noch keinen Sommer,10
one swallow doesn't a spring make,Eine Schwalbe macht noch keinen Sommer,10
one swallow doesn't a summer make,Eine Schwalbe macht noch keinen Sommer,10
one swallow doesn't make a spring,Eine Schwalbe macht noch keinen Sommer,10
one swallow doesn't make a summer,Eine Schwalbe macht noch keinen Sommer,10
"one who believes in sword, dies by the sword","Wer mit dem Schwert lebt, wird durch das Schwert umkommen",9
one who hesitates is lost,"Wer zögert, verliert",10
"one who speaks only one language is one person, but one who speaks two languages is two people","Wer eine fremde Sprache nicht kennt, weiß nichts von seiner eigenen",6
one woman's trash is another woman's treasure,Des einen Freud ist des andern Leid,7
one year's seeding makes seven years weeding,Unkraut vergeht nicht,5
one's time is one's own,Zeit ist kostbar,4
only dead fish go with the flow,Nur tote Fische schwimmen mit dem Strom,10
only the good die young,Die Guten sterben jung,9
only time will tell,Die Zeit wird es zeigen,10
open confession is good for the soul,Ehrlich währt am längsten,6
opinions are like assholes,Meinungen hat jeder,4
opportunity does not knock until you build a door,Jeder ist seines Glückes Schmied,8
opportunity knocks at every man's door,Gelegenheit klopft an jede Tür,5
opportunity makes a thief,Gelegenheit macht Diebe,10
opportunity makes the thief,Gelegenheit macht Diebe,10
opportunity never knocks twice at any man's door,Gelegenheit kommt nicht zweimal,8
opportunity seldom knocks twice,Gelegenheit kommt nicht zweimal,9
opposites attract,Gegensätze ziehen sich an,10
"other days, other ways","Andere Zeiten, andere Sitten",9
other times other manners,"Andere Zeiten, andere Sitten",10
out of sight is out of mind,"Aus den Augen, aus dem Sinn",10
"out of sight, out of mind","Aus den Augen, aus dem Sinn",10
out of the frying pan and into the fire,Vom Regen in die Traufe kommen,10
out of the mouths of babes,Kindermund tut Wahrheit kund,10
out of the mouths of babes and sucklings,Kindermund tut Wahrheit kund,9
"outta sight, outta mind","Aus den Augen, aus dem Sinn",10
patience is a virtue,Geduld ist eine Tugend,10
pearls of wisdom,weise Worte,7
penny wise and pound foolish,Am Pfennig sparen und am Taler verlieren,8
"penny, penny. makes many",Kleinvieh macht auch Mist,9
people that live in glass houses should not throw stones,"Wer im Glashaus sitzt, soll nicht mit Steinen werfen",10
people that live in glass houses shouldn't throw stones,"Wer im Glashaus sitzt, soll nicht mit Steinen werfen",10
"people who have, get","Wer hat, dem wird gegeben",10
"people who have, get more","Wer hat, dem wird gegeben",10
people who live in glass houses should not throw stones,"Wer im Glashaus sitzt, soll nicht mit Steinen werfen",10
people who live in glass houses shouldn't throw stones,"Wer im Glashaus sitzt, soll nicht mit Steinen werfen",10
perfect is the enemy of good,Das Bessere ist der Feind des Guten,10
perfect is the enemy of good enough,Das Bessere ist der Feind des Guten,9
perfection is the enemy of good,Das Bessere ist der Feind des Guten,10
"physician, heal thyself","Arzt, hilf dir selbst",6
"pink sky at night, sailors' delight; pink sky at morning, sailors take warning",Abendrot – Gutwetterbot; Morgenrot – Schlechtwetter droht,9
"pink sky at night, sailors' delight; pink sky in the morning, sailors take warning",Abendrot – Gutwetterbot; Morgenrot – Schlechtwetter droht,9
pitchers have ears,Die Wände haben Ohren,10
"play stupid games, win stupid prizes","Wie man in den Wald hineinruft, so schallt es heraus",7
plus ça change,Es ändert sich alles und doch bleibt alles beim Alten,7
possession is nine points of the law,Besitz ist neun Zehntel des Rechts,8
possession is nine-tenths of the law,Besitz ist neun Zehntel des Rechts,8
"power corrupts, absolute power corrupts absolutely","Macht korrumpiert, absolute Macht korrumpiert absolut",9
power corrupts; absolute power corrupts absolutely,"Macht korrumpiert, absolute Macht korrumpiert absolut",9
practice makes perfect,Übung macht den Meister,10
practice makes progress,Übung macht den Meister,7
practice what you preach,Wasser predigen und Wein trinken,7
preaching to the choir,Eulen nach Athen tragen,8
pressure makes diamonds,Ohne Fleiß kein Preis,6
prevention is better than cure,Vorsicht ist besser als Nachsicht,10
pride comes before a fall,Hochmut kommt vor dem Fall,10
pride comes before the fall,Hochmut kommt vor dem Fall,10
pride comes/goes before a fall,Hochmut kommt vor dem Fall,10
pride cometh before a fall,Hochmut kommt vor dem Fall,10
pride goes before a fall,Hochmut kommt vor dem Fall,10
pride goeth before a fall,Hochmut kommt vor dem Fall,10
pride wenteth before a fall,Hochmut kommt vor dem Fall,10
procrastination is the thief of time,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",10
put one's hand to the plough,die Hand an den Pflug legen,7
put your best foot forward,sich von seiner besten Seite zeigen,9
put your money where your mouth is,Nägel mit Köpfen machen,8
putting the cart before the horse,das Pferd von hinten aufzäumen,10
rain does not fall on one roof alone,Geteiltes Leid ist halbes Leid,5
"red sky at night shepherd's delight; red sky in the morning, shepherd's warning","Abendrot – Schönwetterbot, Morgenrot – schlecht Wetter droht",10
"red sky at night, sailors' delight; red sky at morn, sailors forlorn","Abendrot – Schönwetterbot, Morgenrot – schlecht Wetter droht",10
"red sky at night, sailors' delight; red sky at morning, sailors take warning","Abendrot – Schönwetterbot, Morgenrot – schlecht Wetter droht",10
"red sky at night, sailors' delight; red sky in the morn, sailors forlorn","Abendrot – Schönwetterbot, Morgenrot – schlecht Wetter droht",10
"red sky at night, shepherds' delight; red sky at morning, shepherds' warning","Abendrot – Schönwetterbot, Morgenrot – schlecht Wetter droht",10
"red sky at night, shepherds' delight; red sky in the morning, shepherds' warning","Abendrot – Schönwetterbot, Morgenrot – schlecht Wetter droht",10
render unto caesar the things which are caesar's,"Gebt dem Kaiser, was des Kaisers ist",10
"repetition, repetition, repetition",Übung macht den Meister,7
"respect is not given, it is earned",Respekt muss man sich verdienen,10
revenge is a dish best served cold,"Rache ist ein Gericht, das man kalt serviert",8
revenge is sweet,Rache ist süß,10
"right or wrong, my country","Recht oder Unrecht, mein Vaterland",10
risk it for a biscuit,"Wer nicht wagt, der nicht gewinnt",10
rome was not built in a day,Rom wurde nicht an einem Tag erbaut,10
rome was not built in one day,Rom wurde nicht an einem Tag erbaut,10
rome wasn't built in a day,Rom wurde nicht an einem Tag erbaut,10
rome wasn't burned in a day,Rom wurde nicht an einem Tag erbaut,7
"rubbish in, rubbish out","Was hinten rauskommt, hängt davon ab, was vorne reinkommt",6
rules are made to be broken,"Regeln sind da, um gebrochen zu werden",10
rules are meant to be broken,"Regeln sind da, um gebrochen zu werden",10
rules are rules,Regeln sind Regeln,9
rules are there to be broken,"Regeln sind da, um gebrochen zu werden",10
rules is rules,Regeln sind Regeln,8
rules were made to be broken,"Regeln sind da, um gebrochen zu werden",10
"same shit, different toilet","Gleiche Suppe, nur in einem anderen Topf",7
sauce for the goose,"Was für den einen recht ist, ist für den anderen billig",9
scientia potentia est,Wissen ist Macht,10
"see a pin and pick it up, all the day you will have good luck; see a pin and let it lay, bad luck you will have all day","Wer den Pfennig nicht ehrt, ist des Talers nicht wert",5
see naples and die,Neapel sehen und sterben,10
"see no evil, hear no evil, speak no evil","Nichts sehen, nichts hören, nichts sagen",10
seeing is believing,Sehen heißt glauben,8
seek and ye shall find,"Wer suchet, der findet",10
self-praise is no recommendation,Eigenlob stinkt,10
"sell in may, then go away",Sell in May and go away,7
"sell in may, then stay away",Sell in May and go away,7
set a beggar on horseback and he'll ride to the devil,"Setz einen Bettler auf ein Pferd, und er reitet dir davon",6
set a thief to catch a thief,Gleich und Gleich gesellt sich gern,4
sex sells,Sex sells,9
shallow brooks are noisy,Stille Wasser sind tief,9
shared joy is double joy,Geteilte Freude ist doppelte Freude,10
shared sorrow is half sorrow,Geteiltes Leid ist halbes Leid,10
shiny are the distant hills,Die Ferne macht die Berge blau,6
shirtsleeves to shirtsleeves in three generations,Vom Stall in den Saal und wieder in den Stall,6
shit rolls downhill,"Die Kleinen hängt man, die Großen lässt man laufen",6
"shoemaker, stick to your last","Schuster, bleib bei deinen Leisten",10
short accounts make long friends,Kurze Rechnungen erhalten die Freundschaft,10
short reckonings make long friends,Kurze Rechnungen erhalten die Freundschaft,10
shrouds have no pockets,Das letzte Hemd hat keine Taschen,10
shy bairns get noot,"Wer nicht wagt, der nicht gewinnt",9
shy bairns get nowt,"Wer nicht wagt, der nicht gewinnt",10
silence is consent,"Wer schweigt, stimmt zu",10
silence is golden,"Reden ist Silber, Schweigen ist Gold",10
slow and steady wins the race,Steter Tropfen höhlt den Stein,8
slow but sure,Gut Ding will Weile haben,9
slow but sure wins the race,Gut Ding will Weile haben,8
"slow is smooth, smooth is fast",In der Ruhe liegt die Kraft,7
snake in the grass,Eine Schlange im Gras,7
"softly, softly, catchee monkey",Mit Geduld und Spucke fängt man eine Mucke,8
some are more equal than others,"Alle sind gleich, aber manche sind gleicher",10
some days you eat the bear and some days the bear eats you,"Mal bist du der Hund, mal bist du der Baum",7
"some days you get the bear, other days the bear gets you","Mal bist du der Hund, mal bist du der Baum",7
something is better than nothing,Besser etwas als nichts,10
sometimes you eat the bear and sometimes the bear eats you,"Mal bist du der Hund, mal bist du der Baum",7
sow the wind and reap the whirlwind,"Wer Wind sät, wird Sturm ernten",10
"sow the wind, reap the whirlwind","Wer Wind sät, wird Sturm ernten",10
spare the rod and spoil the child,"Wer sein Kind liebt, der züchtigt es",8
spare the rod and you will spoil the child,"Wer sein Kind liebt, der züchtigt es",8
"spare the rod, spoil the child","Wer sein Kind liebt, der züchtigt es",8
speak as you find,"Rede, wie dir der Schnabel gewachsen ist",7
speak of the devil and he appears,"Wenn man vom Teufel spricht, kommt er",10
speak of the devil and he shall/is sure/will appear,"Wenn man vom Teufel spricht, kommt er",10
speak softly and carry a big stick,"Leise Töne, starke Wirkung",3
speech is silver but) silence is golden,"Reden ist Silber, Schweigen ist Gold",10
"speech is silver, but silence is golden","Reden ist Silber, Schweigen ist Gold",10
"speech is silver, silence is gold","Reden ist Silber, Schweigen ist Gold",10
"speech is silver, silence is golden","Reden ist Silber, Schweigen ist Gold",10
squeaky wheels get oiled,"Wer am lautesten schreit, wird zuerst gehört",9
start from where you are,Auch der längste Weg beginnt mit dem ersten Schritt,7
sticks in a bundle are unbreakable,Einigkeit macht stark,8
sticks in a bundle can't be broken,Einigkeit macht stark,8
sticks in a bundle cannot be broken,Einigkeit macht stark,8
still water runs deep,Stille Wasser sind tief,10
still waters run deep,Stille Wasser sind tief,10
strike while the iron is hot,"Man muss das Eisen schmieden, solange es heiß ist",10
stupid is as stupid does,"Dumm bleibt dumm, da helfen keine Pillen",8
"success depends on your backbone, not your wishbone",Ohne Fleiß kein Preis,9
"success has many fathers, failure is an orphan","Erfolg hat viele Väter, Misserfolg ist ein Waisenkind",10
"success has many fathers, while failure is an orphan","Erfolg hat viele Väter, Misserfolg ist ein Waisenkind",10
sufficient unto the day is the evil thereof,Jeder Tag hat seine eigene Plage,7
sunlight is the best disinfectant,Offenheit ist das beste Desinfektionsmittel,4
take care of the pence and the pounds will take care of themselves,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",10
take care of the pennies and the pounds will take care of themselves,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",10
"take care of the pennies, and the pounds will take care of themselves","Wer den Pfennig nicht ehrt, ist des Talers nicht wert",10
takes one to know one,Gleich und Gleich gesellt sich gern,6
talk is cheap,Reden ist leicht,7
"talk of the devil, and he is bound to appear","Wenn man vom Teufel spricht, kommt er gelaufen",10
tall oaks from little acorns grow,Aus kleinen Eicheln wachsen große Eichen,6
teamwork makes the dream work,Gemeinsam sind wir stark,9
"tell me who your friends are, and i'll tell you who you are","Sag mir, mit wem du umgehst, und ich sage dir, wer du bist",10
tempus fugit,Die Zeit vergeht wie im Flug,7
that which doesn't kill you makes you stronger,"Was dich nicht umbringt, macht dich stärker",10
that's how the cookie crumbles,So ist das Leben,7
that's the way it goes,So ist das eben,9
that's the way life is,So ist das Leben,9
that's the way the ball bounces,So spielt das Leben,7
that's the way the cookie crumbles,So ist das Leben,7
that's the way the mop flops,So ist das eben,6
the age of miracles is past,Die Zeit der Wunder ist vorbei,6
the apple does not fall far from the stem,Der Apfel fällt nicht weit vom Stamm,10
the apple does not fall far from the tree,Der Apfel fällt nicht weit vom Stamm,10
the apple does not fall far from the trunk,Der Apfel fällt nicht weit vom Stamm,10
the apple does not fall/never falls far from the tree,Der Apfel fällt nicht weit vom Stamm,10
the apple doesn't fall far from the tree,Der Apfel fällt nicht weit vom Stamm,10
the apple never falls far from the tree,Der Apfel fällt nicht weit vom Stamm,10
the apples on the other side of the wall are the sweetest,Die Kirschen in Nachbars Garten schmecken immer am besten,10
the bad penny always comes back,Ein Unglück kommt selten allein,6
the bad penny always turns up,Ein Unglück kommt selten allein,6
the best defence is attack,Angriff ist die beste Verteidigung,10
the best defense is a good offense,Angriff ist die beste Verteidigung,10
the best is the enemy of the good,Das Bessere ist der Feind des Guten,10
the best laid plans of mice and men go oft astray,Erstens kommt es anders und zweitens als man denkt,9
the best laid plans of mice and men often go awry,Erstens kommt es anders und zweitens als man denkt,9
the best things in life are free,Die besten Dinge im Leben sind umsonst,9
the best-laid schemes of mice and men often go awry,Erstens kommt es anders und zweitens als man denkt,9
the better is the enemy of the good,Das Bessere ist der Feind des Guten,10
"the bigger they are, the harder they fall","Je höher man steigt, desto tiefer fällt man",9
"the bigger they come, the harder they fall","Je höher man steigt, desto tiefer fällt man",9
the boy is father to the man,"Was Hänschen nicht lernt, lernt Hans nimmermehr",7
the bread never falls but on its buttered side,Murphys Gesetz,5
the burnt child dreads the fire,Gebranntes Kind scheut das Feuer,10
the burnt child fears the fire,Gebranntes Kind scheut das Feuer,10
the captain goes down with the ship,Der Kapitän verlässt als Letzter das Schiff,9
the cat would eat fish but would not wet her feet,Ohne Fleiß kein Preis,7
the chickens come home to roost,"Wie man in den Wald hineinruft, so schallt es heraus",7
the child is the father of the man,"Was Hänschen nicht lernt, lernt Hans nimmermehr",7
the cobbler always wears the worst shoes,Der Schuster hat die schlechtesten Schuhe,10
the cobbler's children are the worst shod,Der Schuster hat die schlechtesten Schuhe,10
the cobbler's children go barefoot,Der Schuster hat die schlechtesten Schuhe,10
the course of true love never did run smooth,Liebe geht durch dick und dünn,6
the cow knows not the worth of its tail till it loses it,"Erst wenn der Brunnen trocken ist, schätzt man das Wasser",7
the cowl does not make the monk,Kleider machen nicht den Mann,9
the customer is always right,Der Kunde ist König,10
the darkest hour is always just before the dawn,Die Nacht ist am dunkelsten kurz vor der Dämmerung,7
the darkest hour is just before the dawn,Die Nacht ist am dunkelsten kurz vor der Dämmerung,7
the darkest place is under the candlestick,Der Prophet gilt nichts im eigenen Land,6
the devil finds work for idle hands,Müßiggang ist aller Laster Anfang,10
the devil finds work for idle hands to do,Müßiggang ist aller Laster Anfang,10
the devil is in the detail,Der Teufel steckt im Detail,10
the devil is in the details,Der Teufel steckt im Detail,10
the devil looks after his own,Unkraut vergeht nicht,7
the devil makes work for idle hands,Müßiggang ist aller Laster Anfang,10
the devil takes care of his own,Unkraut vergeht nicht,7
the devil that you know is better than the devil that you don't know,Lieber den Spatz in der Hand als die Taube auf dem Dach,7
the devil we know is better than the devil we don't,Lieber den Spatz in der Hand als die Taube auf dem Dach,7
the devil we know is better than the devil we don't know,Lieber den Spatz in der Hand als die Taube auf dem Dach,7
the devil you know,Lieber den Spatz in der Hand als die Taube auf dem Dach,6
the devil you know is better than the devil you don't,Lieber den Spatz in der Hand als die Taube auf dem Dach,7
the devil you know is better than the devil you don't know,Lieber den Spatz in der Hand als die Taube auf dem Dach,7
the die is cast,Die Würfel sind gefallen,10
"the dogs bark, but the caravan goes on","Die Hunde bellen, die Karawane zieht weiter",10
"the dogs bark, but the caravan moves on","Die Hunde bellen, die Karawane zieht weiter",10
the dose makes the poison,Die Dosis macht das Gift,10
the early bird catches the worm,Morgenstund hat Gold im Mund,9
the early bird gets the worm,Morgenstund hat Gold im Mund,9
the end justifies the means,Der Zweck heiligt die Mittel,10
the ends justify the means,Der Zweck heiligt die Mittel,10
the enemy of my enemy is my friend,Der Feind meines Feindes ist mein Freund,9
the exception which proves the rule,Ausnahmen bestätigen die Regel,10
the eyes are the window to the soul,Die Augen sind der Spiegel der Seele,10
the fewer the better fare,Weniger ist mehr,6
the first step is always the hardest,Aller Anfang ist schwer,10
the fish rots from the head,Der Fisch stinkt vom Kopf her,10
the forbidden fruit tastes the sweetest,Verbotene Früchte schmecken am besten,10
the fox may grow grey but never good,"Was Hänschen nicht lernt, lernt Hans nimmermehr",6
the game is not worth the candle,Die Sache ist den Aufwand nicht wert,6
the good die young,Die Guten sterben jung,9
the grass is always greener,Die Kirschen in Nachbars Garten schmecken immer am besten,9
the grass is always greener (on the other side,Die Kirschen in Nachbars Garten schmecken immer besser,9
the grass is always greener on the other side,Die Kirschen in Nachbars Garten schmecken immer besser,10
the grass is always greener on the other side of the fence,Die Kirschen in Nachbars Garten schmecken immer besser,10
the grass is always greener on the other side of the road,Die Kirschen in Nachbars Garten schmecken immer besser,9
the grey mare is the better horse,"Was ein echter Kerl ist, hat keine Angst vor einer starken Frau",2
the hand that rocks the cradle is the hand that rules the world,"Die Hand, die die Wiege wiegt, lenkt die Welt",6
the hand that rocks the cradle rules the world,"Die Hand, die die Wiege wiegt, lenkt die Welt",6
the heart wants what it wants,"Das Herz hat seine Gründe, die der Verstand nicht kennt",9
the heart wants what the heart wants,"Das Herz hat seine Gründe, die der Verstand nicht kennt",9
the hit dog hollers,Getroffene Hunde bellen,10
the house always wins,Die Bank gewinnt immer,10
the husband is always the last to know,Der Ehemann erfährt alles zuletzt,4
the innocent seldom find an uncomfortable pillow,Ein reines Gewissen ist ein sanftes Ruhekissen,10
the internet never forgets,Das Internet vergisst nie,10
the jug goes to the well until it breaks,"Der Krug geht so lange zum Brunnen, bis er bricht",10
the laborer is worthy of his hire,Der Arbeiter ist seines Lohnes wert,8
the labourer is worthy of his hire,Der Arbeiter ist seines Lohnes wert,8
the last drop makes the cup run over,Der letzte Tropfen bringt das Fass zum Überlaufen,10
the law is a ass,Das Gesetz ist ein Esel,3
the law is an arse,Das Gesetz ist ein Esel,3
the law is an ass,Das Gesetz ist ein Esel,3
the left hand doesn't know what the right hand is doing,"Die linke Hand weiß nicht, was die rechte tut",9
the leopard does not change his spots,Der Leopard ändert seine Flecken nicht,3
the light is on but nobody is home,"Die Lichter brennen, aber keiner ist zu Hause",4
the longest day must have an end,Auch der längste Tag hat einmal ein Ende,8
the longest journey starts with a single step,Auch die längste Reise beginnt mit dem ersten Schritt,9
the lord helps those that help themselves,"Hilf dir selbst, dann hilft dir Gott",10
the lord helps those who help themselves,"Hilf dir selbst, dann hilft dir Gott",10
the lord works in mysterious ways,Gottes Wege sind unergründlich,10
the love of money is the root of all evil,Geldgier ist die Wurzel allen Übels,9
the mill cannot grind with water that is past,Mit vergangenem Wasser mahlt man nicht,6
the mills of the gods grind slowly,Gottes Mühlen mahlen langsam,10
the more the merrier,"Je mehr, desto besser",9
"the more things change, the more they stay the same","Je mehr sich ändert, desto mehr bleibt gleich",5
"the more you know, the higher you go",Wissen ist Macht,6
the nail that sticks out gets hammered down,Der höchste Baum fängt den meisten Wind,8
the nail that sticks up gets hammered down,Der höchste Baum fängt den meisten Wind,8
the nut does not fall far from the tree,Der Apfel fällt nicht weit vom Stamm,10
the only disability in life is a bad attitude,Jeder ist seines Glückes Schmied,6
the only way to find a friend is to be one,"Wie man in den Wald hineinruft, so schallt es heraus",7
the pen is mightier than the sword,Feder und Geist besiegen jede Gewalt,7
the perfect is the enemy of the good,Das Bessere ist der Feind des Guten,10
the pitcher goes so often to the well that it is broken at last,"Der Krug geht so lange zum Brunnen, bis er bricht",10
the poor we will always have with us,Die Armen wird es immer geben,8
the pot calling the kettle black,"Wer im Glashaus sitzt, soll nicht mit Steinen werfen",9
the proof is in the eating,Probieren geht über Studieren,9
the proof is in the pudding,Probieren geht über Studieren,9
the proof of the pudding is in the eating,Probieren geht über Studieren,10
the rich get richer,"Wer hat, dem wird gegeben",9
the rich get richer and the poor get poorer,Die Reichen werden reicher und die Armen werden ärmer,8
the road to hell is paved with good intentions,Der Weg zur Hölle ist mit guten Vorsätzen gepflastert,10
the second mouse gets the cheese,Gut Ding will Weile haben,5
the shoemaker always wears the worst shoes,Der Schuster hat die schlechtesten Schuhe,9
the shoemaker's children go barefoot,Die Schusterkinder haben die schlechtesten Schuhe,9
the shoemaker's son always goes barefoot,Die Schusterkinder haben die schlechtesten Schuhe,9
the sky is the limit,Der Fantasie sind keine Grenzen gesetzt,7
the sky's the limit,Der Fantasie sind keine Grenzen gesetzt,7
the spirit is strong but the flesh is weak,"Der Geist ist willig, aber das Fleisch ist schwach",10
"the spirit is strong, but the flesh is weak","Der Geist ist willig, aber das Fleisch ist schwach",10
the spirit is willing but the flesh is weak,"Der Geist ist willig, aber das Fleisch ist schwach",10
"the spirit is willing, but the flesh is weak","Der Geist ist willig, aber das Fleisch ist schwach",10
the squeaky wheel gets the grease,"Wer am lautesten schreit, wird zuerst gehört",8
the squeaky wheel gets the oil,"Wer am lautesten schreit, wird zuerst gehört",8
the streets are paved with gold,Die Straßen sind mit Gold gepflastert,9
the tongue wounds more than a lance,Die Zunge ist schärfer als ein Schwert,9
the truth is in the wine,Im Wein liegt Wahrheit,10
the truth will set you free,Die Wahrheit macht frei,9
the victor gets the spoils,Der Sieger bekommt die Beute,6
"the voice of the people, the voice of god",Die Stimme des Volkes ist die Stimme Gottes,7
the way to a man's heart is through his stomach,Liebe geht durch den Magen,10
the wheel turns,Das Rad dreht sich weiter,5
the winner takes it all,Der Sieger nimmt alles,5
the wolf may lose his teeth but never his nature,"Der Wolf verliert sein Haar, aber nicht seine Natur",8
the work praises the man,Die Arbeit lobt ihren Meister,9
the world is someone's oyster,Die Welt steht ihm offen,8
the) truth will out,Lügen haben kurze Beine,7
them that has gets,"Wer hat, dem wird gegeben",10
"them that has, gets","Wer hat, dem wird gegeben",10
"them that has, gets more","Wer hat, dem wird gegeben",10
them what has gets,"Wer hat, dem wird gegeben",10
"them what has, gets","Wer hat, dem wird gegeben",10
"them what has, gets more","Wer hat, dem wird gegeben",10
there ain't no such thing as a free lunch,Nichts ist umsonst,8
there are always more fish in the sea,Andere Mütter haben auch schöne Töchter,9
there are bad apples in every orchard,Schwarze Schafe gibt es überall,9
there are many ways to skin a cat,Viele Wege führen nach Rom,10
there are more ways of killing a cat than choking it with cream,Viele Wege führen nach Rom,9
there are no atheists in foxholes,In der Not findet man schnell zu Gott,6
there are none so blind as those who will not see,"Es gibt keinen Schlechteren als den, der nicht sehen will",7
there are none so deaf as those who will not hear,"Es gibt keinen Schlechteren als den, der nicht hören will",7
there are plenty more fish in the sea,Andere Mütter haben auch schöne Töchter,10
there are plenty more pebbles on the beach,Andere Mütter haben auch schöne Töchter,8
there are plenty of fish in the sea,Andere Mütter haben auch schöne Töchter,10
there are plenty of pebbles on the beach,Andere Mütter haben auch schöne Töchter,8
there are two sides to every question,Jede Medaille hat zwei Seiten,10
there are two sides to every story,Jede Medaille hat zwei Seiten,10
there but for the grace of god go i,Gottes Wege sind unergründlich,5
there is a lid for every pot,Auf jeden Topf passt ein Deckel,10
there is a place and time for everything,Alles hat seine Zeit,9
there is a time and a place for everything,Alles hat seine Zeit,9
there is a time and place for everything,Alles hat seine Zeit,9
there is an exception to every rule,Keine Regel ohne Ausnahme,10
there is honour among thieves,Diebe haben ihre eigene Ehre,6
there is many a good tune played on an old fiddle,Auch ein altes Pferd zieht noch,6
there is more than one way to skin a cat,Viele Wege führen nach Rom,10
there is no accounting for tastes,Über Geschmack lässt sich nicht streiten,10
there is no fool like an old fool,Alter schützt vor Torheit nicht,10
there is no honor among thieves,Unter Dieben gibt es keine Ehre,6
there is no i in team,Gemeinsam sind wir stark,6
there is no place like home,"Trautes Heim, Glück allein",10
there is no shame in not knowing; the shame lies in not finding out,Fragen kostet nichts,6
"there is no smoke without fire/where there is smoke, there is fire","Wo Rauch ist, ist auch Feuer",10
there is no such thing as a free lunch,Nichts ist umsonst,8
"there is no such thing as bad weather, only bad clothing","Es gibt kein schlechtes Wetter, nur schlechte Kleidung",10
there is no time like the present,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",10
there is nothing more permanent than a temporary solution,Nichts hält so lange wie ein Provisorium,10
there is nothing new under the sun,Es gibt nichts Neues unter der Sonne,9
there is one born every minute,Jeden Tag steht ein Dummer auf,8
there is safety in numbers,In der Menge ist man sicherer,5
there is strength in numbers,Gemeinsam sind wir stark,9
there's a first time for everything,Alles ist einmal das erste Mal,8
there's a lid for every pot,Auf jeden Topf passt ein Deckel,10
there's a place and time for everything,Alles hat seine Zeit,9
there's a rotten apple in every barrel,Schwarze Schafe gibt es überall,9
there's a sucker born every minute,Jeden Tag steht ein Dummer auf,9
there's a time and a place for everything,Alles hat seine Zeit,9
there's a time and place for everything,Alles hat seine Zeit,9
there's always a bigger fish,Es gibt immer einen Größeren,8
there's many a good tune played on an old fiddle,Auch ein altes Pferd zieht noch,6
there's many a slip 'twixt the cup and the lip,Viele Stolpersteine liegen auf dem Weg zum Ziel,4
there's many a slip between the cup and the lip,Viele Stolpersteine liegen auf dem Weg zum Ziel,4
there's many a slip twixt cup and lip,Viele Stolpersteine liegen auf dem Weg zum Ziel,4
there's many a slip twixt the cup and the lip,Viele Stolpersteine liegen auf dem Weg zum Ziel,4
there's more than one way to cook an egg,Viele Wege führen nach Rom,10
there's more than one way to crack an egg,Viele Wege führen nach Rom,10
there's more than one way to feed a cat,Viele Wege führen nach Rom,9
there's more than one way to fuck a cat,Viele Wege führen nach Rom,7
there's more than one way to peel an orange,Viele Wege führen nach Rom,9
there's more than one way to skin a cat,Viele Wege führen nach Rom,9
there's no accounting for taste,Über Geschmack lässt sich nicht streiten,10
there's no business like show business,Nichts ist so hart wie das Showgeschäft,6
there's no fool like an old fool,Alter schützt vor Torheit nicht,10
there's no i in team,Im Team steht das Wir im Vordergrund,4
